ID	did	seurat_cluster	kmeans_cluster	labels
Cell1	1	1	15	63
Cell2	1	11	10	61
Cell3	1	8	54	25
Cell4	1	26	55	30
Cell5	1	1	64	50
Cell6	1	11	3	25
Cell7	1	1	30	14
Cell8	1	23	51	48
Cell9	1	14	29	57
Cell10	1	22	5	49
Cell12	1	21	50	29
Cell13	1	11	3	25
Cell14	1	21	50	29
Cell15	1	8	26	8
Cell16	1	14	29	57
Cell17	1	10	32	63
Cell18	1	9	39	28
Cell19	1	6	6	33
Cell20	1	8	11	20
Cell21	1	2	13	28
Cell22	1	16	17	17
Cell23	1	15	60	34
Cell24	1	8	26	8
Cell25	1	3	44	16
Cell26	1	10	39	32
Cell28	1	10	32	44
Cell29	1	4	2	21
Cell30	1	25	63	56
Cell31	1	2	64	28
Cell32	1	7	12	15
Cell33	1	3	44	9
Cell34	1	4	23	6
Cell35	1	13	2	27
Cell36	1	12	20	3
Cell37	1	18	28	54
Cell38	1	5	7	7
Cell39	1	1	15	20
Cell40	1	3	62	26
Cell41	1	3	36	53
Cell43	1	24	35	47
Cell44	1	17	42	60
Cell45	1	4	2	51
Cell46	1	19	45	31
Cell47	1	7	12	40
Cell48	1	7	18	1
Cell49	1	2	59	52
Cell50	1	6	53	35
Cell51	1	10	32	45
Cell52	1	9	14	39
Cell53	1	17	42	60
Cell54	1	3	62	55
Cell55	1	20	34	58
Cell56	1	8	26	17
Cell57	1	10	21	44
Cell58	1	1	64	38
Cell59	1	12	20	7
Cell60	1	9	14	39
Cell61	1	22	5	49
Cell62	1	5	7	27
Cell63	1	4	23	51
Cell64	1	6	33	18
Cell65	1	4	23	6
Cell66	1	1	22	11
Cell67	1	18	28	54
Cell68	1	9	1	28
Cell69	1	2	38	4
Cell70	1	25	52	47
Cell71	1	19	45	31
Cell72	1	14	29	14
Cell73	1	12	46	55
Cell74	1	9	14	39
Cell75	1	11	3	25
Cell76	1	5	7	40
Cell77	1	20	34	58
Cell78	1	1	48	36
Cell80	1	3	44	16
Cell82	1	3	62	53
Cell83	1	5	31	42
Cell84	1	4	23	19
Cell85	1	9	1	17
Cell86	1	5	4	59
Cell87	1	13	2	47
Cell88	1	6	33	53
Cell89	1	23	51	36
Cell90	1	5	4	26
Cell91	1	4	16	51
Cell92	1	3	36	1
Cell93	1	1	30	38
Cell95	1	3	40	47
Cell96	1	8	32	27
Cell97	1	17	42	60
Cell98	1	13	12	40
Cell99	1	6	33	10
Cell100	1	17	42	60
Cell101	1	17	42	60
Cell102	1	5	31	42
Cell103	1	8	26	8
Cell104	1	2	38	13
Cell106	1	8	54	21
Cell107	1	1	22	11
Cell108	1	2	59	24
Cell109	1	4	16	21
Cell110	1	8	11	7
Cell111	1	9	39	23
Cell112	1	6	53	18
Cell113	1	19	45	31
Cell114	1	2	61	4
Cell115	1	9	1	61
Cell116	1	5	31	42
Cell118	1	9	1	23
Cell119	1	18	28	54
Cell120	1	18	19	54
Cell121	1	13	2	15
Cell122	1	18	19	54
Cell123	1	8	26	19
Cell124	1	12	20	35
Cell126	1	12	46	64
Cell127	1	10	3	45
Cell128	1	2	38	13
Cell129	1	9	14	39
Cell130	1	4	47	64
Cell131	1	1	30	63
Cell133	1	7	18	22
Cell135	1	15	9	34
Cell136	1	5	4	59
Cell137	1	20	34	58
Cell138	1	16	25	2
Cell139	1	1	21	14
Cell140	1	12	20	25
Cell141	1	6	6	33
Cell142	1	2	38	13
Cell143	1	4	16	5
Cell144	1	13	2	3
Cell145	1	6	33	18
Cell146	1	13	2	15
Cell147	1	8	54	21
Cell148	1	5	4	59
Cell149	1	24	35	62
Cell150	1	12	46	10
Cell151	1	22	5	49
Cell152	1	20	34	58
Cell153	1	1	15	41
Cell154	1	8	26	27
Cell155	1	16	24	2
Cell156	1	6	33	18
Cell157	1	11	3	25
Cell158	1	6	6	33
Cell159	1	4	23	6
Cell161	1	7	56	43
Cell162	1	3	44	16
Cell163	1	9	1	23
Cell164	1	18	28	54
Cell165	1	21	50	29
Cell166	1	15	60	34
Cell167	1	10	30	14
Cell168	1	5	4	9
Cell169	1	1	30	36
Cell170	1	19	45	31
Cell171	1	8	26	45
Cell172	1	12	20	35
Cell173	1	3	36	16
Cell174	1	16	24	2
Cell175	1	1	22	27
Cell176	1	18	28	54
Cell177	1	6	33	18
Cell178	1	1	64	38
Cell179	1	13	2	19
Cell180	1	1	30	24
Cell181	1	3	36	55
Cell182	1	11	10	61
Cell183	1	11	10	55
Cell184	1	3	36	9
Cell185	1	23	51	48
Cell186	1	23	51	48
Cell187	1	8	26	8
Cell188	1	3	62	5
