ID	did	seurat_cluster	kmeans_cluster	labels
Cell1	1	4	24	32
Cell2	1	14	3	31
Cell3	1	3	19	13
Cell4	1	24	21	16
Cell5	1	10	27	26
Cell6	1	5	23	13
Cell7	1	2	24	8
Cell8	1	6	25	25
Cell9	1	20	28	29
Cell10	1	6	17	25
Cell12	1	1	9	15
Cell13	1	5	23	13
Cell14	1	1	9	15
Cell15	1	17	16	5
Cell16	1	20	28	29
Cell17	1	4	24	32
Cell18	1	1	9	15
Cell19	1	25	4	17
Cell20	1	21	22	11
Cell21	1	1	9	15
Cell22	1	8	30	9
Cell23	1	16	29	18
Cell24	1	17	16	5
Cell25	1	8	30	9
Cell26	1	25	4	17
Cell27	1	16	29	18
Cell28	1	2	31	23
Cell29	1	21	22	11
Cell30	1	20	28	29
Cell31	1	1	9	15
Cell32	1	3	19	8
Cell33	1	17	16	5
Cell34	1	5	19	4
Cell35	1	28	14	14
Cell37	1	9	10	28
Cell38	1	7	5	4
Cell39	1	21	22	11
Cell40	1	28	14	14
Cell41	1	5	23	27
Cell43	1	3	19	24
Cell44	1	14	3	31
Cell45	1	10	27	26
Cell46	1	24	21	16
Cell47	1	18	18	21
Cell48	1	27	6	1
Cell49	1	5	23	27
Cell50	1	16	29	18
Cell51	1	2	31	23
Cell52	1	10	27	20
Cell53	1	14	3	31
Cell54	1	9	10	28
Cell55	1	11	12	30
Cell56	1	8	30	9
Cell57	1	2	31	23
Cell58	1	14	3	20
Cell59	1	7	5	4
Cell60	1	5	23	20
Cell61	1	6	17	25
Cell62	1	27	6	14
Cell63	1	10	27	26
Cell64	1	12	11	10
Cell65	1	7	5	4
Cell66	1	23	32	6
Cell67	1	9	10	28
Cell68	1	7	5	15
Cell69	1	1	9	3
Cell70	1	7	19	24
Cell71	1	24	21	16
Cell72	1	4	24	8
Cell73	1	9	10	28
Cell74	1	1	9	20
Cell75	1	3	19	13
Cell76	1	18	8	21
Cell77	1	11	12	30
Cell78	1	22	26	19
Cell80	1	8	30	9
Cell82	1	5	23	27
Cell83	1	26	21	22
Cell84	1	12	11	10
Cell85	1	8	30	9
Cell86	1	11	12	30
Cell87	1	3	19	24
Cell88	1	5	23	27
Cell89	1	22	26	19
Cell90	1	28	14	14
Cell91	1	10	27	26
Cell92	1	27	6	1
Cell93	1	1	9	20
Cell95	1	3	19	24
Cell96	1	28	14	14
Cell97	1	14	3	31
Cell98	1	18	8	21
Cell99	1	23	32	6
Cell100	1	14	3	31
Cell101	1	14	3	31
Cell102	1	26	21	22
Cell103	1	17	16	5
Cell104	1	15	15	7
Cell105	1	9	10	28
Cell106	1	21	22	11
Cell107	1	23	20	6
Cell108	1	3	19	13
Cell109	1	21	22	11
Cell110	1	7	5	4
Cell111	1	19	2	12
Cell112	1	12	7	10
Cell113	1	24	21	16
Cell114	1	3	19	3
Cell115	1	14	3	31
Cell116	1	26	21	22
Cell118	1	19	2	12
Cell119	1	9	10	28
Cell120	1	9	10	28
Cell121	1	4	24	8
