,Benchmark,Instance #,Cluster #,mo-time
0,ICELL8_SE_A_kallisto_umap.csv,571,5,58.154961824417114
1,ICELL8_SE_B_kallisto_umap.csv,553,5,56.78188633918762
2,10X_LLU_A_cellranger2.0_umap.csv,2505,7,98.67631673812866
3,10X_LLU_A_cellranger3.1_umap.csv,2825,7,103.05350375175476
4,10X_LLU_A_umitools_umap.csv,2476,7,96.64810609817505
5,10X_LLU_A_zumi_umap.csv,2825,8,112.59448909759521
6,10X_LLU_B_cellranger2.0_umap.csv,1211,6,69.2498426437378
7,10X_LLU_B_cellranger3.1_umap.csv,1327,6,70.8469467163086
8,10X_LLU_B_umitools_umap.csv,1184,6,70.21880412101746
9,10X_LLU_B_zumi_umap.csv,1207,6,69.2687816619873
10,10X_NCI_A_cellranger2.0_umap.csv,5355,9,180.5106987953186
11,10X_NCI_A_cellranger3.1_umap.csv,6050,10,207.99993252754211
12,10X_NCI_A_umitools_umap.csv,5344,9,178.35946464538574
13,10X_NCI_A_zumi_umap.csv,5385,9,180.11140704154968
14,10X_NCI_B_cellranger2.0_umap.csv,2585,7,99.13076972961426
15,10X_NCI_B_cellranger3.1_umap.csv,3059,8,112.77632474899292
16,10X_NCI_B_umitools_umap.csv,2630,8,105.20169806480408
17,10X_NCI_B_zumi_umap.csv,2836,7,102.35157108306885
18,10X_NCI_M_A_cellranger2.0_umap.csv,5354,9,175.3012411594391
19,10X_NCI_M_A_cellranger3.1_umap.csv,6097,9,192.85493898391724
20,10X_NCI_M_A_umitools_umap.csv,5339,9,177.62038850784302
21,10X_NCI_M_A_zumi_umap.csv,5416,9,180.36653447151184
22,10X_NCI_M_B_cellranger2.0_umap.csv,2589,7,100.75504493713379
23,10X_NCI_M_B_cellranger3.1_umap.csv,3046,8,111.27478098869324
24,10X_NCI_M_B_umitools_umap.csv,2628,7,100.32095980644226
25,10X_NCI_M_B_zumi_umap.csv,2805,7,104.13149857521057
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,49.21671009063721
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,52.32652473449707
28,C1_FDA_HT_A_rsem_umap.csv,197,3,52.92548727989197
29,C1_FDA_HT_B_featureCounts_umap.csv,231,4,52.425787687301636
30,C1_FDA_HT_B_kallisto_umap.csv,224,4,52.83268928527832
31,C1_FDA_HT_B_rsem_umap.csv,231,4,53.48207187652588
32,C1_LLU_A_featureCounts_umap.csv,70,3,51.067907094955444
33,C1_LLU_A_kallisto_umap.csv,72,3,48.260497093200684
34,C1_LLU_A_rsem_umap.csv,71,3,53.0424063205719
35,C1_LLU_B_featureCounts_umap.csv,59,3,49.355467796325684
36,C1_LLU_B_kallisto_umap.csv,60,3,52.341607093811035
37,C1_LLU_B_rsem_umap.csv,60,3,46.32321071624756
38,ICELL8_PE_A_featureCounts_umap.csv,568,5,56.69434595108032
39,ICELL8_PE_A_kallisto_umap.csv,570,5,56.720561504364014
40,ICELL8_PE_A_rsem_umap.csv,563,5,56.789191246032715
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,57.70489525794983
42,ICELL8_PE_B_kallisto_umap.csv,551,5,58.03101849555969
43,ICELL8_PE_B_rsem_umap.csv,548,5,55.263505935668945
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,58.28448939323425
45,ICELL8_SE_A_rsem_umap.csv,569,5,56.8622088432312
46,ICELL8_SE_B_featureCounts_umap.csv,550,4,56.508793592453
47,ICELL8_SE_B_rsem_umap.csv,549,5,56.630887269973755
