,Benchmark,Instance #,Cluster #,mo-time
0,ICELL8_SE_A_kallisto_umap.csv,571,4,56.331764459609985
1,ICELL8_SE_B_kallisto_umap.csv,553,5,56.9253408908844
2,10X_LLU_A_cellranger2.0_umap.csv,2505,7,93.88819909095764
3,10X_LLU_A_cellranger3.1_umap.csv,2825,7,98.3548014163971
4,10X_LLU_A_umitools_umap.csv,2476,7,93.63916254043579
5,10X_LLU_A_zumi_umap.csv,2825,7,102.34807682037354
6,10X_LLU_B_cellranger2.0_umap.csv,1211,6,69.37456035614014
7,10X_LLU_B_cellranger3.1_umap.csv,1327,6,71.42013931274414
8,10X_LLU_B_umitools_umap.csv,1184,5,66.84791922569275
9,10X_LLU_B_zumi_umap.csv,1207,5,66.76653981208801
10,10X_NCI_A_cellranger2.0_umap.csv,5355,9,164.69002294540405
11,10X_NCI_A_cellranger3.1_umap.csv,6050,9,178.9783229827881
12,10X_NCI_A_umitools_umap.csv,5344,9,165.41734981536865
13,10X_NCI_A_zumi_umap.csv,5385,9,170.13214492797852
14,10X_NCI_B_cellranger2.0_umap.csv,2585,7,97.9285933971405
15,10X_NCI_B_cellranger3.1_umap.csv,3059,7,103.87172603607178
16,10X_NCI_B_umitools_umap.csv,2630,7,99.13603949546814
17,10X_NCI_B_zumi_umap.csv,2836,7,101.68654584884644
18,10X_NCI_M_A_cellranger2.0_umap.csv,5354,8,152.06230092048645
19,10X_NCI_M_A_cellranger3.1_umap.csv,6097,10,192.36733961105347
20,10X_NCI_M_A_umitools_umap.csv,5339,9,165.1252019405365
21,10X_NCI_M_A_zumi_umap.csv,5416,9,164.6022710800171
22,10X_NCI_M_B_cellranger2.0_umap.csv,2589,7,94.35717415809631
23,10X_NCI_M_B_cellranger3.1_umap.csv,3046,7,107.81757926940918
24,10X_NCI_M_B_umitools_umap.csv,2628,7,97.04266476631165
25,10X_NCI_M_B_zumi_umap.csv,2805,8,102.00000166893005
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,47.34761834144592
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,50.85031270980835
28,C1_FDA_HT_A_rsem_umap.csv,197,3,51.56058931350708
29,C1_FDA_HT_B_featureCounts_umap.csv,231,3,51.07580304145813
30,C1_FDA_HT_B_kallisto_umap.csv,224,3,52.74643087387085
31,C1_FDA_HT_B_rsem_umap.csv,231,3,52.31882333755493
32,C1_LLU_A_featureCounts_umap.csv,70,3,50.97860860824585
33,C1_LLU_A_kallisto_umap.csv,72,3,50.23321008682251
34,C1_LLU_A_rsem_umap.csv,71,3,51.738182067871094
35,C1_LLU_B_featureCounts_umap.csv,59,3,49.0755889415741
36,C1_LLU_B_kallisto_umap.csv,60,3,53.543474435806274
37,C1_LLU_B_rsem_umap.csv,60,3,48.46788668632507
38,ICELL8_PE_A_featureCounts_umap.csv,568,4,55.22652220726013
39,ICELL8_PE_A_kallisto_umap.csv,570,4,52.15185308456421
40,ICELL8_PE_A_rsem_umap.csv,563,4,55.863929271698
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,56.34246301651001
42,ICELL8_PE_B_kallisto_umap.csv,551,4,54.3676860332489
43,ICELL8_PE_B_rsem_umap.csv,548,4,55.25937032699585
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,56.26209998130798
45,ICELL8_SE_A_rsem_umap.csv,569,4,56.86843180656433
46,ICELL8_SE_B_featureCounts_umap.csv,550,4,54.62686276435852
47,ICELL8_SE_B_rsem_umap.csv,549,5,56.505802154541016
