ID	did	seurat_cluster	kmeans_cluster	labels
Cell1	1	9	2	1
Cell2	1	8	4	1
Cell3	1	6	3	4
Cell4	1	3	5	5
Cell5	1	7	6	8
Cell6	1	11	3	4
Cell7	1	2	8	3
Cell8	1	1	1	7
Cell9	1	10	6	8
Cell10	1	1	1	7
Cell11	1	2	8	3
Cell12	1	3	5	5
Cell13	1	6	3	4
Cell14	1	3	5	5
Cell15	1	5	8	2
Cell16	1	7	6	8
Cell17	1	8	2	1
Cell18	1	3	5	5
Cell19	1	3	5	5
Cell20	1	6	3	4
Cell21	1	3	5	5
Cell22	1	2	8	3
Cell23	1	4	8	6
Cell24	1	5	8	2
Cell25	1	2	8	3
Cell26	1	3	5	5
Cell27	1	4	8	6
Cell28	1	1	1	7
Cell29	1	11	3	4
Cell30	1	10	6	8
Cell31	1	3	5	5
Cell32	1	2	8	3
Cell33	1	12	8	2
Cell34	1	5	8	2
Cell35	1	3	5	5
Cell36	1	12	8	2
Cell37	1	7	6	8
Cell38	1	5	8	2
Cell39	1	11	3	4
Cell40	1	3	5	5
Cell41	1	7	6	8
Cell42	1	3	5	5
Cell43	1	1	1	7
Cell44	1	8	4	1
Cell45	1	7	6	8
Cell46	1	3	5	5
Cell47	1	13	8	6
Cell48	1	8	2	1
Cell49	1	7	6	8
Cell50	1	13	8	6
Cell51	1	1	1	7
Cell52	1	4	8	6
Cell53	1	8	2	1
Cell54	1	10	6	8
Cell55	1	9	7	1
Cell56	1	2	8	3
Cell57	1	1	1	7
Cell58	1	4	8	6
Cell59	1	5	8	2
Cell60	1	13	8	6
Cell61	1	1	1	7
Cell62	1	3	5	5
Cell63	1	10	6	8
Cell64	1	6	3	4
Cell65	1	12	8	2
Cell66	1	2	8	3
Cell67	1	10	6	8
Cell68	1	3	5	5
Cell69	1	5	8	2
Cell70	1	1	1	7
Cell71	1	3	5	5
Cell72	1	2	8	3
Cell73	1	7	6	8
Cell74	1	4	8	6
Cell75	1	11	3	4
Cell76	1	13	8	6
Cell77	1	8	4	1
Cell78	1	4	8	6
Cell79	1	2	8	3
Cell80	1	2	8	3
Cell81	1	4	8	6
Cell82	1	7	6	8
Cell83	1	1	1	7
Cell84	1	11	3	4
Cell85	1	2	8	3
Cell86	1	9	7	1
Cell88	1	10	6	8
Cell89	1	13	8	6
Cell90	1	3	5	5
Cell92	1	8	4	1
Cell93	1	4	8	6
Cell94	1	8	4	1
Cell95	1	1	1	7
Cell96	1	3	5	5
Cell97	1	9	2	1
Cell98	1	4	8	6
Cell99	1	2	8	3
Cell100	1	9	7	1
Cell101	1	8	4	1
Cell102	1	1	1	7
Cell103	1	5	8	2
Cell104	1	2	8	3
Cell105	1	7	6	8
Cell106	1	6	3	4
Cell108	1	11	3	4
Cell109	1	6	3	4
Cell110	1	5	8	2
Cell111	1	6	3	4
Cell112	1	6	3	4
Cell113	1	3	5	5
Cell114	1	12	8	2
Cell115	1	9	7	1
Cell116	1	1	1	7
Cell117	1	11	3	4
Cell118	1	6	3	4
Cell119	1	7	6	8
Cell120	1	7	6	8
Cell121	1	2	8	3
Cell122	1	7	6	8
Cell123	1	6	3	4
Cell124	1	13	8	6
Cell125	1	1	1	7
