,instance #,labels #,moea-time,soea-time,moea-sil,moea-ARI,moea-NMI,soea-sil,soea-ARI,soea-NMI,kmeans-sil,kmeasn-ARI,kmeans-NMI,phe-sil,phe-ARI,phe-NMI,seurat_sil,seurat-ARI,seurat-NMI,phe-clusters,seurat-clusters
0,957,2,63.944,34.340,0.855,1.000,1.000,0.855,1.000,1.000,0.855,1.000,1.000,0.337,0.170,0.438,0.366,0.313,0.535,12,7
1,953,4,67.592,46.860,0.905,1.000,1.000,0.905,1.000,1.000,0.905,1.000,1.000,0.375,0.417,0.707,0.462,0.748,0.854,13,7
2,953,8,78.831,53.519,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,8,8
3,959,16,106.999,82.123,0.821,0.927,0.966,0.794,0.911,0.956,0.843,0.972,0.977,0.843,0.976,0.981,0.843,0.976,0.981,16,16
4,953,32,166.237,141.302,0.557,0.630,0.750,0.531,0.603,0.746,0.550,0.631,0.750,0.526,0.515,0.733,0.482,0.409,0.704,20,17
5,951,64,309.213,270.225,0.343,0.155,0.515,0.282,0.135,0.509,0.373,0.161,0.526,0.346,0.105,0.391,0.352,0.059,0.289,16,8
6,1892,2,75.257,45.176,0.874,1.000,1.000,0.874,1.000,1.000,0.874,1.000,1.000,0.316,0.127,0.398,0.318,0.241,0.487,17,9
7,1896,4,87.998,65.826,0.882,1.000,1.000,0.882,1.000,1.000,0.882,1.000,1.000,0.297,0.337,0.664,0.333,0.578,0.782,17,9
8,1895,8,120.501,86.778,0.898,1.000,1.000,0.898,1.000,1.000,0.898,1.000,1.000,0.426,0.701,0.875,0.898,1.000,1.000,15,8
9,1898,16,184.360,155.272,0.847,0.803,0.935,0.838,0.964,0.971,0.838,0.963,0.971,0.835,0.961,0.970,0.851,0.926,0.967,16,15
10,1900,32,325.376,288.239,0.597,0.656,0.755,0.574,0.652,0.754,0.591,0.656,0.754,0.585,0.567,0.750,0.584,0.547,0.746,22,21
11,1902,64,617.865,559.326,0.367,0.264,0.523,0.346,0.256,0.519,0.403,0.283,0.532,0.389,0.196,0.471,0.354,0.137,0.430,23,16
12,2836,2,94.382,58.000,0.881,1.000,1.000,0.881,1.000,1.000,0.881,1.000,1.000,0.312,0.109,0.383,0.302,0.203,0.458,19,11
