ID	did	seurat_cluster	kmeans_cluster	labels
Cell1	1	2	3	1
Cell2	1	2	6	1
Cell3	1	5	7	4
Cell4	1	8	1	5
Cell5	1	3	1	8
Cell6	1	5	7	4
Cell7	1	1	4	3
Cell8	1	4	8	7
Cell9	1	3	1	8
Cell10	1	4	8	7
Cell11	1	1	4	3
Cell12	1	8	1	5
Cell13	1	5	7	4
Cell14	1	8	1	5
Cell15	1	7	2	2
Cell17	1	2	6	1
Cell18	1	8	1	5
Cell19	1	8	1	5
Cell20	1	5	7	4
Cell21	1	8	1	5
Cell22	1	1	4	3
Cell24	1	7	2	2
Cell25	1	1	4	3
Cell26	1	8	1	5
Cell27	1	6	8	6
Cell28	1	4	8	7
Cell29	1	5	7	4
Cell30	1	3	1	8
Cell31	1	8	1	5
Cell32	1	1	4	3
Cell33	1	7	2	2
Cell34	1	7	2	2
Cell35	1	8	1	5
Cell36	1	7	2	2
Cell37	1	3	1	8
Cell38	1	7	2	2
Cell39	1	5	7	4
Cell40	1	8	1	5
Cell41	1	3	1	8
Cell42	1	8	1	5
Cell43	1	4	8	7
Cell44	1	2	3	1
Cell45	1	3	1	8
Cell46	1	8	1	5
Cell47	1	6	8	6
Cell48	1	2	5	1
Cell49	1	3	1	8
Cell50	1	6	8	6
Cell51	1	4	8	7
Cell52	1	6	8	6
Cell53	1	2	5	1
Cell54	1	3	1	8
Cell55	1	2	5	1
Cell56	1	1	4	3
Cell57	1	4	8	7
Cell58	1	6	8	6
Cell59	1	7	2	2
Cell60	1	6	8	6
Cell61	1	4	8	7
Cell62	1	8	1	5
Cell63	1	3	1	8
Cell64	1	5	7	4
Cell65	1	7	2	2
Cell66	1	1	4	3
Cell67	1	3	1	8
Cell68	1	8	1	5
Cell70	1	4	8	7
Cell71	1	8	1	5
Cell72	1	1	4	3
Cell73	1	3	1	8
Cell74	1	6	8	6
Cell75	1	5	7	4
Cell76	1	6	8	6
Cell77	1	2	5	1
Cell79	1	1	4	3
Cell80	1	1	4	3
Cell81	1	6	8	6
Cell82	1	3	1	8
Cell83	1	4	8	7
Cell84	1	5	7	4
Cell85	1	1	4	3
Cell86	1	2	6	1
Cell87	1	4	8	7
Cell88	1	3	1	8
Cell89	1	6	8	6
Cell90	1	8	1	5
Cell91	1	3	1	8
Cell92	1	2	5	1
Cell93	1	6	8	6
Cell94	1	2	6	1
Cell95	1	4	8	7
Cell96	1	8	1	5
Cell97	1	2	3	1
Cell98	1	6	8	6
Cell99	1	1	4	3
Cell100	1	2	6	1
Cell101	1	2	6	1
Cell102	1	4	8	7
Cell103	1	7	2	2
Cell104	1	1	4	3
Cell105	1	3	1	8
Cell106	1	5	7	4
Cell107	1	1	4	3
Cell108	1	5	7	4
Cell109	1	5	7	4
Cell110	1	7	2	2
Cell111	1	5	7	4
Cell112	1	5	7	4
Cell113	1	8	1	5
Cell114	1	7	2	2
Cell115	1	2	3	1
Cell116	1	4	8	7
Cell117	1	5	7	4
Cell118	1	5	7	4
Cell119	1	3	1	8
Cell120	1	3	1	8
Cell121	1	1	4	3
Cell122	1	3	1	8
Cell123	1	5	7	4
Cell124	1	6	8	6
Cell125	1	4	8	7
Cell126	1	2	3	1
Cell127	1	4	8	7
Cell128	1	1	4	3
Cell129	1	6	8	6
Cell130	1	2	5	1
Cell131	1	2	3	1
Cell132	1	2	6	1
Cell134	1	2	6	1
Cell135	1	6	8	6
Cell136	1	2	3	1
Cell137	1	2	3	1
Cell138	1	7	2	2
Cell139	1	1	4	3
Cell140	1	5	7	4
Cell141	1	8	1	5
Cell142	1	1	4	3
Cell143	1	7	2	2
Cell144	1	7	2	2
Cell146	1	1	4	3
Cell147	1	5	7	4
Cell148	1	2	5	1
Cell149	1	2	5	1
Cell150	1	1	4	3
Cell151	1	4	8	7
Cell152	1	2	6	1
Cell153	1	6	8	6
Cell154	1	8	1	5
Cell155	1	7	2	2
Cell157	1	5	7	4
Cell158	1	8	1	5
Cell159	1	7	2	2
Cell160	1	4	8	7
Cell161	1	4	8	7
Cell162	1	1	4	3
Cell163	1	5	7	4
Cell164	1	3	1	8
Cell165	1	8	1	5
Cell166	1	6	8	6
Cell167	1	1	4	3
Cell168	1	7	2	2
Cell169	1	6	8	6
Cell170	1	8	1	5
Cell171	1	4	8	7
Cell172	1	6	8	6
Cell173	1	1	4	3
Cell174	1	7	2	2
Cell175	1	8	1	5
Cell176	1	3	1	8
Cell177	1	5	7	4
Cell178	1	6	8	6
Cell179	1	5	7	4
Cell180	1	5	7	4
Cell181	1	3	1	8
Cell182	1	2	3	1
Cell183	1	3	1	8
Cell184	1	7	2	2
Cell185	1	4	8	7
Cell186	1	4	8	7
Cell187	1	7	2	2
Cell188	1	7	2	2
Cell189	1	2	5	1
Cell191	1	8	1	5
Cell192	1	3	1	8
Cell193	1	1	4	3
Cell194	1	3	1	8
Cell195	1	2	5	1
Cell196	1	2	5	1
Cell197	1	6	8	6
Cell198	1	4	8	7
Cell199	1	6	8	6
Cell200	1	1	4	3
Cell201	1	3	1	8
Cell202	1	5	7	4
Cell203	1	1	4	3
Cell204	1	1	4	3
Cell205	1	3	1	8
Cell206	1	8	1	5
Cell207	1	7	2	2
Cell208	1	1	4	3
Cell209	1	3	1	8
Cell210	1	4	8	7
Cell211	1	3	1	8
Cell212	1	8	1	5
Cell213	1	5	7	4
Cell214	1	3	1	8
Cell215	1	5	7	4
Cell216	1	6	8	6
Cell217	1	4	8	7
Cell218	1	3	1	8
Cell219	1	1	4	3
Cell220	1	2	3	1
Cell221	1	8	1	5
Cell222	1	5	7	4
Cell223	1	8	1	5
Cell224	1	2	5	1
Cell225	1	7	2	2
Cell226	1	6	8	6
Cell227	1	1	4	3
Cell228	1	4	8	7
