ID	did	seurat_cluster	kmeans_cluster	labels
Cell1	1	10	4	1
Cell2	1	10	4	1
Cell3	1	2	3	3
Cell4	1	12	3	3
Cell5	1	1	4	1
Cell6	1	12	3	3
Cell7	1	6	2	2
Cell8	1	7	1	4
Cell9	1	1	4	1
Cell10	1	4	1	4
Cell11	1	3	2	2
Cell12	1	2	3	3
Cell13	1	8	3	3
Cell15	1	3	2	2
Cell16	1	1	4	1
Cell17	1	1	4	1
Cell18	1	8	3	3
Cell19	1	8	3	3
Cell20	1	12	3	3
Cell21	1	8	3	3
Cell22	1	6	2	2
Cell23	1	5	1	4
Cell24	1	11	2	2
Cell25	1	11	2	2
Cell26	1	2	3	3
Cell27	1	4	1	4
Cell28	1	7	1	4
Cell29	1	12	3	3
Cell30	1	9	4	1
Cell31	1	2	3	3
Cell32	1	3	2	2
Cell33	1	11	2	2
Cell34	1	11	2	2
Cell35	1	2	3	3
Cell36	1	6	2	2
Cell37	1	10	4	1
Cell38	1	6	2	2
Cell39	1	2	3	3
Cell40	1	8	3	3
Cell41	1	1	4	1
Cell42	1	2	3	3
Cell43	1	4	1	4
Cell44	1	9	4	1
Cell45	1	9	4	1
Cell46	1	12	3	3
Cell47	1	5	1	4
Cell48	1	1	4	1
Cell49	1	1	4	1
Cell50	1	4	1	4
Cell51	1	5	1	4
Cell52	1	4	1	4
Cell53	1	1	4	1
Cell54	1	9	4	1
Cell55	1	1	4	1
Cell56	1	6	2	2
Cell57	1	4	1	4
Cell58	1	4	1	4
Cell59	1	11	2	2
Cell60	1	4	1	4
Cell61	1	4	1	4
Cell62	1	2	3	3
Cell63	1	1	4	1
Cell64	1	2	3	3
Cell65	1	6	2	2
Cell66	1	11	2	2
Cell67	1	1	4	1
Cell68	1	12	3	3
Cell69	1	11	2	2
Cell70	1	7	1	4
Cell71	1	12	3	3
Cell72	1	3	2	2
Cell73	1	1	4	1
Cell75	1	2	3	3
Cell76	1	7	1	4
Cell77	1	9	4	1
Cell78	1	5	1	4
Cell79	1	6	2	2
Cell80	1	3	2	2
Cell81	1	4	1	4
Cell82	1	10	4	1
Cell83	1	7	1	4
Cell85	1	3	2	2
Cell86	1	9	4	1
Cell87	1	4	1	4
Cell88	1	1	4	1
Cell89	1	7	1	4
Cell90	1	12	3	3
Cell91	1	1	4	1
Cell92	1	1	4	1
Cell93	1	5	1	4
Cell94	1	1	4	1
Cell95	1	5	1	4
Cell96	1	2	3	3
Cell97	1	1	4	1
Cell98	1	5	1	4
Cell99	1	3	2	2
Cell100	1	1	4	1
Cell101	1	1	4	1
Cell102	1	5	1	4
Cell103	1	11	2	2
Cell104	1	11	2	2
Cell105	1	9	4	1
Cell106	1	2	3	3
Cell107	1	11	2	2
Cell108	1	2	3	3
Cell109	1	2	3	3
Cell110	1	6	2	2
Cell111	1	8	3	3
Cell112	1	2	3	3
Cell113	1	8	3	3
Cell114	1	6	2	2
Cell115	1	10	4	1
Cell116	1	7	1	4
Cell118	1	8	3	3
Cell119	1	10	4	1
Cell120	1	1	4	1
Cell121	1	6	2	2
Cell122	1	9	4	1
Cell123	1	8	3	3
Cell124	1	4	1	4
Cell125	1	5	1	4
Cell126	1	9	4	1
Cell127	1	7	1	4
Cell128	1	3	2	2
Cell130	1	9	4	1
Cell131	1	1	4	1
Cell132	1	1	4	1
Cell133	1	2	3	3
Cell135	1	5	1	4
Cell136	1	1	4	1
Cell137	1	9	4	1
Cell138	1	11	2	2
Cell139	1	3	2	2
Cell140	1	8	3	3
Cell141	1	8	3	3
Cell142	1	11	2	2
Cell144	1	3	2	2
Cell145	1	2	3	3
Cell146	1	3	2	2
Cell147	1	2	3	3
Cell148	1	1	4	1
Cell149	1	1	4	1
Cell150	1	6	2	2
Cell151	1	7	1	4
Cell152	1	9	4	1
Cell153	1	5	1	4
Cell154	1	2	3	3
Cell155	1	11	2	2
Cell156	1	2	3	3
Cell157	1	2	3	3
Cell158	1	2	3	3
Cell159	1	3	2	2
Cell160	1	4	1	4
Cell162	1	3	2	2
Cell163	1	12	3	3
Cell164	1	9	4	1
Cell165	1	2	3	3
Cell166	1	7	1	4
Cell167	1	3	2	2
Cell168	1	3	2	2
Cell169	1	5	1	4
Cell170	1	2	3	3
Cell171	1	7	1	4
Cell172	1	4	1	4
Cell173	1	6	2	2
Cell174	1	3	2	2
Cell175	1	8	3	3
Cell176	1	1	4	1
Cell177	1	2	3	3
Cell178	1	7	1	4
Cell179	1	8	3	3
Cell180	1	8	3	3
Cell181	1	1	4	1
Cell182	1	1	4	1
Cell183	1	9	4	1
Cell184	1	3	2	2
Cell186	1	4	1	4
Cell187	1	3	2	2
Cell188	1	6	2	2
Cell189	1	1	4	1
Cell190	1	3	2	2
Cell191	1	8	3	3
Cell192	1	9	4	1
Cell193	1	6	2	2
Cell194	1	1	4	1
Cell195	1	10	4	1
Cell196	1	10	4	1
Cell197	1	5	1	4
Cell198	1	5	1	4
Cell199	1	4	1	4
Cell200	1	11	2	2
Cell201	1	1	4	1
Cell202	1	2	3	3
Cell203	1	6	2	2
Cell204	1	11	2	2
Cell205	1	9	4	1
Cell206	1	8	3	3
Cell207	1	3	2	2
Cell208	1	6	2	2
Cell210	1	4	1	4
Cell211	1	1	4	1
Cell212	1	2	3	3
Cell213	1	2	3	3
Cell215	1	2	3	3
Cell216	1	7	1	4
Cell217	1	4	1	4
Cell218	1	10	4	1
Cell219	1	6	2	2
Cell220	1	9	4	1
Cell221	1	2	3	3
Cell222	1	8	3	3
Cell223	1	8	3	3
Cell225	1	3	2	2
Cell226	1	4	1	4
Cell227	1	3	2	2
Cell228	1	5	1	4
Cell229	1	3	2	2
Cell230	1	6	2	2
Cell231	1	6	2	2
Cell232	1	5	1	4
Cell233	1	12	3	3
Cell234	1	11	2	2
Cell235	1	9	4	1
Cell236	1	3	2	2
Cell237	1	8	3	3
Cell238	1	1	4	1
Cell239	1	3	2	2
Cell240	1	9	4	1
Cell241	1	2	3	3
Cell242	1	2	3	3
Cell243	1	4	1	4
Cell244	1	2	3	3
Cell245	1	7	1	4
Cell246	1	6	2	2
Cell247	1	5	1	4
Cell248	1	3	2	2
Cell249	1	2	3	3
Cell250	1	1	4	1
Cell251	1	3	2	2
Cell252	1	9	4	1
Cell253	1	1	4	1
Cell254	1	5	1	4
Cell256	1	2	3	3
Cell257	1	2	3	3
Cell258	1	2	3	3
Cell259	1	7	1	4
Cell260	1	11	2	2
Cell261	1	2	3	3
Cell262	1	5	1	4
Cell263	1	7	1	4
Cell264	1	1	4	1
Cell265	1	5	1	4
Cell266	1	10	4	1
Cell267	1	2	3	3
Cell268	1	1	4	1
Cell269	1	2	3	3
Cell270	1	2	3	3
Cell271	1	12	3	3
Cell272	1	5	1	4
Cell273	1	11	2	2
Cell274	1	9	4	1
Cell275	1	12	3	3
Cell276	1	8	3	3
Cell277	1	1	4	1
Cell278	1	5	1	4
Cell279	1	5	1	4
Cell280	1	1	4	1
Cell281	1	5	1	4
Cell282	1	2	3	3
Cell283	1	7	1	4
Cell284	1	3	2	2
Cell285	1	4	1	4
Cell286	1	9	4	1
Cell287	1	1	4	1
Cell288	1	8	3	3
Cell289	1	7	1	4
Cell290	1	10	4	1
Cell291	1	4	1	4
Cell294	1	1	4	1
Cell295	1	4	1	4
Cell296	1	12	3	3
Cell297	1	3	2	2
Cell298	1	3	2	2
Cell299	1	3	2	2
Cell300	1	2	3	3
Cell301	1	1	4	1
Cell302	1	3	2	2
Cell303	1	2	3	3
Cell304	1	11	2	2
Cell305	1	6	2	2
Cell306	1	5	1	4
Cell307	1	1	4	1
Cell308	1	10	4	1
Cell309	1	4	1	4
Cell310	1	5	1	4
Cell311	1	6	2	2
Cell312	1	10	4	1
Cell313	1	7	1	4
Cell314	1	12	3	3
Cell315	1	5	1	4
Cell318	1	5	1	4
Cell319	1	8	3	3
Cell320	1	1	4	1
Cell321	1	6	2	2
Cell322	1	9	4	1
Cell323	1	1	4	1
Cell324	1	7	1	4
Cell325	1	1	4	1
Cell326	1	1	4	1
Cell327	1	1	4	1
Cell329	1	11	2	2
Cell330	1	4	1	4
Cell332	1	4	1	4
Cell333	1	9	4	1
Cell334	1	7	1	4
Cell335	1	4	1	4
Cell336	1	10	4	1
Cell337	1	9	4	1
Cell338	1	9	4	1
Cell339	1	2	3	3
Cell340	1	9	4	1
Cell342	1	2	3	3
Cell343	1	5	1	4
Cell344	1	2	3	3
Cell345	1	1	4	1
Cell346	1	4	1	4
Cell347	1	5	1	4
Cell348	1	1	4	1
Cell349	1	1	4	1
Cell350	1	10	4	1
Cell351	1	1	4	1
Cell352	1	6	2	2
Cell353	1	9	4	1
Cell354	1	8	3	3
Cell355	1	10	4	1
Cell356	1	10	4	1
Cell357	1	7	1	4
Cell358	1	8	3	3
Cell359	1	11	2	2
Cell360	1	4	1	4
Cell361	1	3	2	2
Cell362	1	8	3	3
Cell363	1	1	4	1
Cell364	1	5	1	4
Cell366	1	1	4	1
Cell367	1	6	2	2
Cell368	1	12	3	3
Cell369	1	4	1	4
Cell370	1	8	3	3
Cell371	1	3	2	2
Cell372	1	3	2	2
Cell373	1	2	3	3
Cell374	1	3	2	2
Cell375	1	8	3	3
Cell376	1	5	1	4
Cell377	1	7	1	4
Cell378	1	8	3	3
Cell380	1	8	3	3
Cell381	1	9	4	1
Cell382	1	2	3	3
Cell383	1	7	1	4
Cell385	1	11	2	2
Cell386	1	11	2	2
Cell387	1	1	4	1
Cell388	1	8	3	3
Cell389	1	4	1	4
Cell390	1	4	1	4
Cell391	1	8	3	3
Cell392	1	6	2	2
Cell393	1	6	2	2
Cell394	1	6	2	2
Cell395	1	2	3	3
Cell396	1	10	4	1
Cell397	1	2	3	3
Cell398	1	1	4	1
Cell399	1	5	1	4
Cell400	1	12	3	3
Cell401	1	9	4	1
Cell402	1	8	3	3
Cell403	1	2	3	3
Cell404	1	8	3	3
Cell405	1	6	2	2
Cell406	1	12	3	3
Cell407	1	4	1	4
Cell408	1	10	4	1
Cell409	1	3	2	2
Cell410	1	6	2	2
Cell411	1	4	1	4
Cell412	1	9	4	1
Cell414	1	8	3	3
Cell415	1	3	2	2
Cell416	1	12	3	3
Cell417	1	7	1	4
Cell418	1	1	4	1
Cell419	1	1	4	1
Cell420	1	10	4	1
Cell421	1	5	1	4
Cell422	1	2	3	3
Cell423	1	3	2	2
Cell424	1	3	2	2
Cell425	1	10	4	1
Cell426	1	6	2	2
Cell427	1	1	4	1
Cell428	1	2	3	3
Cell429	1	11	2	2
Cell430	1	1	4	1
Cell432	1	3	2	2
Cell433	1	8	3	3
Cell434	1	7	1	4
