ID	did	seurat_cluster	kmeans_cluster	labels
Cell1	1	4	7	1
Cell2	1	4	7	1
Cell3	1	7	8	4
Cell4	1	8	4	5
Cell5	1	2	5	8
Cell6	1	7	8	4
Cell7	1	1	3	3
Cell8	1	3	4	7
Cell9	1	2	5	8
Cell10	1	3	4	7
Cell12	1	8	4	5
Cell13	1	7	8	4
Cell14	1	8	4	5
Cell15	1	5	3	2
Cell16	1	2	5	8
Cell17	1	4	7	1
Cell18	1	8	4	5
Cell19	1	8	4	5
Cell21	1	8	4	5
Cell22	1	1	3	3
Cell23	1	6	2	6
Cell24	1	5	3	2
Cell25	1	1	3	3
Cell26	1	8	4	5
Cell27	1	6	6	6
Cell28	1	3	4	7
Cell29	1	7	8	4
Cell30	1	2	5	8
Cell31	1	8	4	5
Cell32	1	1	3	3
Cell33	1	5	3	2
Cell34	1	5	3	2
Cell35	1	8	4	5
Cell36	1	5	3	2
Cell37	1	2	5	8
Cell38	1	5	3	2
Cell39	1	7	8	4
Cell40	1	8	4	5
Cell41	1	2	5	8
Cell43	1	3	4	7
Cell44	1	4	7	1
Cell45	1	2	5	8
Cell46	1	8	4	5
Cell47	1	6	1	6
Cell48	1	4	7	1
Cell49	1	2	5	8
Cell50	1	6	2	6
Cell53	1	4	7	1
Cell54	1	2	5	8
Cell55	1	4	7	1
Cell56	1	1	3	3
Cell57	1	3	4	7
Cell58	1	6	6	6
Cell59	1	5	3	2
Cell60	1	6	2	6
Cell61	1	3	4	7
Cell62	1	8	4	5
Cell63	1	2	5	8
Cell65	1	5	3	2
Cell66	1	1	3	3
Cell67	1	2	5	8
Cell68	1	8	4	5
Cell69	1	5	3	2
Cell70	1	3	4	7
Cell71	1	8	4	5
Cell73	1	2	5	8
Cell74	1	6	2	6
Cell75	1	7	8	4
Cell76	1	6	2	6
Cell77	1	4	7	1
Cell78	1	6	1	6
Cell79	1	1	3	3
Cell80	1	1	3	3
Cell81	1	6	2	6
Cell82	1	2	5	8
Cell83	1	3	4	7
Cell84	1	7	8	4
Cell85	1	1	3	3
Cell87	1	3	4	7
Cell88	1	2	5	8
Cell89	1	6	2	6
Cell90	1	8	4	5
Cell91	1	2	5	8
Cell92	1	4	7	1
Cell93	1	6	1	6
Cell94	1	4	7	1
Cell95	1	3	4	7
Cell96	1	8	4	5
Cell97	1	4	7	1
Cell98	1	6	2	6
Cell99	1	1	3	3
Cell100	1	4	7	1
Cell101	1	4	7	1
Cell102	1	3	4	7
Cell103	1	5	3	2
Cell105	1	2	5	8
Cell106	1	7	8	4
Cell107	1	1	3	3
Cell108	1	7	8	4
Cell109	1	7	8	4
Cell110	1	5	3	2
Cell111	1	7	8	4
Cell112	1	7	8	4
Cell114	1	5	3	2
Cell115	1	4	7	1
Cell117	1	7	8	4
Cell118	1	7	8	4
Cell119	1	2	5	8
Cell120	1	2	5	8
Cell121	1	1	3	3
Cell122	1	2	5	8
Cell123	1	7	8	4
Cell124	1	6	2	6
Cell125	1	3	4	7
Cell126	1	4	7	1
Cell127	1	3	4	7
Cell128	1	1	3	3
Cell129	1	6	2	6
Cell130	1	4	7	1
Cell131	1	4	7	1
Cell132	1	4	7	1
Cell133	1	7	8	4
Cell134	1	4	7	1
Cell135	1	6	1	6
Cell136	1	4	7	1
Cell137	1	4	7	1
Cell138	1	5	3	2
Cell139	1	1	3	3
Cell140	1	7	8	4
Cell141	1	8	4	5
Cell142	1	1	3	3
Cell143	1	5	3	2
Cell144	1	5	3	2
Cell145	1	7	8	4
Cell146	1	1	3	3
Cell147	1	7	8	4
Cell148	1	4	7	1
Cell149	1	4	7	1
Cell150	1	1	3	3
Cell151	1	3	4	7
Cell152	1	4	7	1
Cell153	1	6	6	6
Cell154	1	8	4	5
Cell155	1	5	3	2
Cell156	1	7	8	4
Cell157	1	7	8	4
Cell158	1	8	4	5
Cell159	1	5	3	2
Cell160	1	3	4	7
Cell161	1	3	4	7
Cell163	1	7	8	4
Cell164	1	2	5	8
Cell165	1	8	4	5
Cell166	1	6	2	6
Cell167	1	1	3	3
Cell168	1	5	3	2
Cell169	1	6	1	6
Cell170	1	8	4	5
Cell171	1	3	4	7
Cell172	1	6	2	6
Cell173	1	1	3	3
Cell174	1	5	3	2
Cell176	1	2	5	8
