ID	did	seurat_cluster	kmeans_cluster	labels
Cell1	1	14	1	1
Cell2	1	14	1	1
Cell3	1	4	2	2
Cell4	1	4	2	2
Cell5	1	9	1	1
Cell6	1	4	2	2
Cell7	1	12	2	2
Cell8	1	8	1	1
Cell9	1	10	1	1
Cell10	1	2	1	1
Cell11	1	12	2	2
Cell12	1	11	2	2
Cell13	1	7	2	2
Cell14	1	6	2	2
Cell15	1	12	2	2
Cell16	1	1	1	1
Cell18	1	6	2	2
Cell19	1	4	2	2
Cell20	1	3	2	2
Cell21	1	6	2	2
Cell22	1	4	2	2
Cell23	1	2	1	1
Cell24	1	4	2	2
Cell25	1	6	2	2
Cell26	1	3	2	2
Cell27	1	1	1	1
Cell28	1	2	1	1
Cell29	1	6	2	2
Cell30	1	8	1	1
Cell31	1	12	2	2
Cell32	1	6	2	2
Cell33	1	6	2	2
Cell34	1	6	2	2
Cell35	1	4	2	2
Cell36	1	13	2	2
Cell37	1	9	1	1
Cell38	1	3	2	2
Cell39	1	13	2	2
Cell40	1	3	2	2
Cell41	1	2	1	1
Cell42	1	13	2	2
Cell43	1	5	1	1
Cell44	1	9	1	1
Cell45	1	5	1	1
Cell46	1	6	2	2
Cell47	1	1	1	1
Cell48	1	2	1	1
Cell49	1	9	1	1
Cell51	1	8	1	1
Cell52	1	5	1	1
Cell53	1	10	1	1
Cell54	1	1	1	1
Cell55	1	9	1	1
Cell56	1	6	2	2
Cell57	1	2	1	1
Cell58	1	10	1	1
Cell59	1	13	2	2
Cell60	1	5	1	1
Cell61	1	14	1	1
Cell64	1	13	2	2
Cell65	1	13	2	2
Cell66	1	12	2	2
Cell67	1	5	1	1
Cell68	1	6	2	2
Cell69	1	3	2	2
Cell70	1	2	1	1
Cell71	1	3	2	2
Cell72	1	3	2	2
Cell73	1	14	1	1
Cell74	1	1	1	1
Cell75	1	3	2	2
Cell76	1	10	1	1
Cell77	1	10	1	1
Cell78	1	2	1	1
Cell79	1	7	2	2
Cell80	1	12	2	2
Cell81	1	5	1	1
Cell82	1	2	1	1
Cell83	1	10	1	1
Cell84	1	6	2	2
Cell85	1	3	2	2
Cell86	1	10	1	1
Cell87	1	8	1	1
Cell89	1	14	1	1
Cell90	1	11	2	2
Cell91	1	5	1	1
Cell92	1	9	1	1
Cell93	1	8	1	1
Cell94	1	5	1	1
Cell95	1	2	1	1
Cell97	1	1	1	1
Cell98	1	10	1	1
Cell99	1	7	2	2
Cell100	1	14	1	1
Cell101	1	10	1	1
Cell102	1	2	1	1
Cell103	1	6	2	2
Cell104	1	12	2	2
Cell105	1	5	1	1
Cell106	1	6	2	2
Cell107	1	3	2	2
Cell108	1	12	2	2
Cell109	1	3	2	2
Cell110	1	13	2	2
Cell111	1	4	2	2
Cell112	1	4	2	2
Cell113	1	3	2	2
Cell114	1	6	2	2
Cell115	1	8	1	1
Cell116	1	2	1	1
Cell117	1	12	2	2
Cell118	1	7	2	2
Cell119	1	5	1	1
Cell120	1	8	1	1
Cell122	1	5	1	1
Cell123	1	7	2	2
Cell124	1	14	1	1
Cell126	1	9	1	1
Cell127	1	9	1	1
Cell128	1	6	2	2
Cell129	1	2	1	1
Cell130	1	1	1	1
Cell131	1	5	1	1
Cell132	1	8	1	1
Cell133	1	3	2	2
Cell134	1	1	1	1
Cell135	1	14	1	1
Cell136	1	10	1	1
Cell139	1	12	2	2
Cell140	1	13	2	2
Cell141	1	4	2	2
Cell142	1	6	2	2
Cell143	1	11	2	2
Cell144	1	12	2	2
Cell145	1	6	2	2
Cell146	1	4	2	2
Cell147	1	11	2	2
Cell148	1	9	1	1
Cell149	1	10	1	1
Cell150	1	12	2	2
Cell151	1	8	1	1
Cell152	1	8	1	1
Cell153	1	9	1	1
Cell154	1	3	2	2
Cell155	1	4	2	2
Cell156	1	12	2	2
Cell157	1	12	2	2
Cell158	1	3	2	2
Cell159	1	4	2	2
Cell160	1	9	1	1
Cell161	1	1	1	1
Cell162	1	13	2	2
Cell163	1	6	2	2
Cell164	1	10	1	1
Cell165	1	3	2	2
Cell166	1	1	1	1
Cell167	1	12	2	2
Cell168	1	4	2	2
Cell169	1	9	1	1
Cell170	1	7	2	2
Cell171	1	1	1	1
Cell173	1	12	2	2
Cell174	1	3	2	2
Cell175	1	4	2	2
Cell176	1	14	1	1
Cell177	1	7	2	2
Cell178	1	8	1	1
Cell179	1	6	2	2
Cell180	1	6	2	2
Cell181	1	5	1	1
Cell182	1	2	1	1
Cell184	1	12	2	2
Cell185	1	2	1	1
Cell186	1	2	1	1
Cell187	1	6	2	2
Cell188	1	4	2	2
Cell189	1	1	1	1
Cell190	1	7	2	2
Cell192	1	9	1	1
Cell194	1	9	1	1
Cell195	1	9	1	1
Cell196	1	2	1	1
Cell197	1	1	1	1
Cell198	1	1	1	1
Cell199	1	5	1	1
Cell200	1	3	2	2
Cell201	1	8	1	1
Cell202	1	3	2	2
Cell203	1	7	2	2
Cell204	1	7	2	2
Cell205	1	5	1	1
Cell206	1	12	2	2
Cell207	1	12	2	2
Cell208	1	11	2	2
Cell209	1	1	1	1
Cell210	1	1	1	1
Cell211	1	1	1	1
Cell212	1	7	2	2
Cell213	1	7	2	2
Cell214	1	2	1	1
Cell215	1	3	2	2
Cell216	1	14	1	1
Cell217	1	8	1	1
Cell218	1	1	1	1
Cell219	1	6	2	2
Cell220	1	8	1	1
Cell221	1	6	2	2
Cell222	1	4	2	2
Cell223	1	7	2	2
Cell224	1	9	1	1
Cell225	1	6	2	2
Cell226	1	14	1	1
Cell227	1	7	2	2
Cell228	1	14	1	1
Cell229	1	13	2	2
Cell230	1	4	2	2
Cell231	1	7	2	2
Cell232	1	8	1	1
Cell233	1	6	2	2
Cell234	1	7	2	2
Cell235	1	10	1	1
Cell238	1	2	1	1
Cell239	1	12	2	2
Cell240	1	8	1	1
Cell241	1	3	2	2
Cell242	1	11	2	2
Cell243	1	5	1	1
Cell244	1	6	2	2
Cell245	1	1	1	1
Cell246	1	4	2	2
Cell247	1	10	1	1
Cell248	1	4	2	2
Cell249	1	3	2	2
Cell250	1	8	1	1
Cell251	1	12	2	2
Cell252	1	2	1	1
Cell254	1	1	1	1
Cell256	1	3	2	2
Cell257	1	11	2	2
Cell258	1	7	2	2
Cell259	1	5	1	1
Cell260	1	6	2	2
Cell261	1	7	2	2
Cell262	1	5	1	1
Cell263	1	8	1	1
Cell264	1	10	1	1
Cell265	1	1	1	1
Cell266	1	1	1	1
Cell267	1	4	2	2
Cell268	1	8	1	1
Cell269	1	6	2	2
Cell270	1	11	2	2
Cell271	1	11	2	2
Cell272	1	1	1	1
Cell273	1	7	2	2
Cell274	1	2	1	1
Cell275	1	6	2	2
Cell276	1	7	2	2
Cell277	1	9	1	1
Cell278	1	14	1	1
Cell279	1	8	1	1
Cell280	1	1	1	1
Cell281	1	1	1	1
Cell282	1	6	2	2
Cell283	1	2	1	1
Cell284	1	11	2	2
Cell285	1	9	1	1
Cell286	1	2	1	1
Cell287	1	5	1	1
Cell288	1	7	2	2
Cell289	1	2	1	1
Cell290	1	9	1	1
Cell292	1	10	1	1
Cell293	1	9	1	1
Cell294	1	9	1	1
Cell295	1	8	1	1
Cell296	1	4	2	2
Cell297	1	11	2	2
Cell298	1	11	2	2
Cell299	1	6	2	2
Cell301	1	1	1	1
Cell302	1	7	2	2
Cell303	1	7	2	2
Cell304	1	6	2	2
Cell305	1	6	2	2
Cell306	1	9	1	1
Cell307	1	9	1	1
Cell308	1	9	1	1
Cell309	1	5	1	1
Cell310	1	9	1	1
Cell311	1	4	2	2
Cell312	1	1	1	1
Cell314	1	12	2	2
Cell315	1	5	1	1
Cell316	1	12	2	2
Cell317	1	10	1	1
Cell318	1	5	1	1
Cell319	1	12	2	2
Cell320	1	5	1	1
Cell321	1	12	2	2
Cell322	1	10	1	1
Cell323	1	14	1	1
Cell324	1	2	1	1
Cell326	1	9	1	1
Cell327	1	8	1	1
Cell329	1	12	2	2
Cell330	1	2	1	1
Cell331	1	1	1	1
Cell332	1	2	1	1
Cell333	1	2	1	1
Cell334	1	5	1	1
Cell335	1	5	1	1
Cell336	1	10	1	1
Cell337	1	9	1	1
Cell338	1	1	1	1
Cell339	1	4	2	2
Cell340	1	10	1	1
Cell341	1	10	1	1
Cell342	1	4	2	2
Cell343	1	2	1	1
Cell344	1	13	2	2
Cell345	1	5	1	1
Cell346	1	14	1	1
Cell348	1	2	1	1
Cell350	1	2	1	1
Cell351	1	1	1	1
Cell352	1	3	2	2
Cell353	1	5	1	1
Cell354	1	6	2	2
Cell355	1	10	1	1
Cell356	1	8	1	1
Cell357	1	1	1	1
Cell358	1	6	2	2
Cell359	1	7	2	2
Cell360	1	8	1	1
Cell361	1	6	2	2
Cell362	1	3	2	2
Cell363	1	10	1	1
Cell364	1	10	1	1
Cell365	1	8	1	1
Cell366	1	9	1	1
Cell368	1	6	2	2
Cell369	1	5	1	1
Cell370	1	4	2	2
Cell371	1	13	2	2
Cell372	1	6	2	2
Cell373	1	4	2	2
Cell374	1	7	2	2
Cell375	1	6	2	2
Cell376	1	5	1	1
Cell377	1	1	1	1
Cell379	1	9	1	1
Cell380	1	12	2	2
Cell381	1	9	1	1
Cell382	1	3	2	2
Cell383	1	9	1	1
Cell384	1	5	1	1
Cell385	1	11	2	2
Cell386	1	3	2	2
Cell388	1	3	2	2
Cell389	1	2	1	1
Cell390	1	5	1	1
Cell391	1	11	2	2
Cell392	1	6	2	2
Cell393	1	4	2	2
Cell394	1	13	2	2
Cell395	1	11	2	2
Cell396	1	2	1	1
Cell397	1	11	2	2
Cell398	1	14	1	1
Cell399	1	14	1	1
Cell400	1	4	2	2
Cell401	1	1	1	1
Cell402	1	12	2	2
Cell403	1	7	2	2
Cell404	1	3	2	2
Cell405	1	7	2	2
Cell406	1	6	2	2
Cell407	1	8	1	1
Cell408	1	5	1	1
Cell409	1	6	2	2
Cell410	1	4	2	2
Cell411	1	8	1	1
Cell412	1	10	1	1
Cell413	1	6	2	2
Cell414	1	7	2	2
Cell415	1	13	2	2
Cell416	1	13	2	2
Cell417	1	8	1	1
Cell418	1	8	1	1
Cell419	1	1	1	1
Cell420	1	2	1	1
Cell421	1	5	1	1
Cell422	1	4	2	2
Cell423	1	3	2	2
Cell424	1	4	2	2
Cell425	1	8	1	1
Cell426	1	11	2	2
Cell427	1	14	1	1
Cell428	1	12	2	2
Cell429	1	6	2	2
Cell430	1	2	1	1
Cell431	1	3	2	2
Cell432	1	7	2	2
Cell433	1	7	2	2
Cell434	1	2	1	1
Cell435	1	9	1	1
Cell436	1	8	1	1
Cell437	1	7	2	2
Cell438	1	10	1	1
Cell439	1	5	1	1
Cell440	1	9	1	1
Cell442	1	4	2	2
Cell443	1	3	2	2
Cell444	1	11	2	2
Cell445	1	11	2	2
Cell447	1	1	1	1
Cell448	1	5	1	1
Cell449	1	13	2	2
Cell450	1	5	1	1
Cell452	1	9	1	1
