ID	did	seurat_cluster	kmeans_cluster	labels
Cell1	1	5	14	1
Cell2	1	7	2	16
Cell3	1	2	5	7
Cell4	1	14	12	9
Cell5	1	8	8	14
Cell6	1	2	5	7
Cell7	1	1	7	5
Cell8	1	3	3	13
Cell9	1	4	10	15
Cell10	1	3	3	13
Cell11	1	1	7	5
Cell12	1	15	6	8
Cell13	1	2	5	7
Cell14	1	15	6	8
Cell15	1	16	15	3
Cell16	1	4	10	15
Cell18	1	15	6	8
Cell19	1	14	12	9
Cell20	1	10	4	6
Cell21	1	15	6	8
Cell22	1	1	7	5
Cell23	1	12	11	10
Cell24	1	16	15	3
Cell25	1	1	7	5
Cell26	1	14	12	9
Cell27	1	12	11	10
Cell28	1	6	8	12
Cell29	1	10	4	6
Cell30	1	4	10	15
Cell31	1	15	6	8
Cell32	1	1	7	5
Cell33	1	16	15	3
Cell34	1	16	15	3
Cell35	1	15	6	8
Cell36	1	11	10	2
Cell37	1	4	10	15
Cell38	1	16	15	3
Cell39	1	10	1	6
Cell40	1	15	6	8
Cell41	1	8	8	14
Cell42	1	14	12	9
Cell43	1	3	3	13
Cell44	1	7	2	16
Cell45	1	8	8	14
Cell47	1	9	9	11
Cell48	1	5	14	1
Cell49	1	8	8	14
Cell51	1	6	8	12
Cell52	1	9	9	11
Cell53	1	7	2	16
Cell54	1	4	10	15
Cell55	1	7	2	16
Cell56	1	1	7	5
Cell57	1	6	8	12
Cell58	1	9	9	11
Cell59	1	16	15	3
Cell60	1	9	9	11
Cell61	1	3	3	13
Cell64	1	10	4	6
Cell65	1	16	16	3
Cell66	1	13	6	4
Cell67	1	4	10	15
Cell68	1	15	6	8
Cell69	1	11	10	2
Cell70	1	3	3	13
Cell71	1	14	12	9
Cell72	1	1	7	5
Cell73	1	4	10	15
Cell74	1	9	9	11
Cell75	1	2	5	7
Cell76	1	9	9	11
Cell77	1	7	2	16
Cell78	1	12	11	10
Cell79	1	1	7	5
Cell80	1	1	7	5
Cell81	1	9	9	11
Cell82	1	8	8	14
Cell83	1	6	8	12
Cell84	1	10	1	6
Cell85	1	1	7	5
Cell86	1	7	2	16
Cell87	1	3	3	13
Cell89	1	12	11	10
Cell90	1	15	6	8
Cell91	1	8	8	14
Cell92	1	5	14	1
Cell93	1	9	9	11
Cell94	1	7	2	16
Cell95	1	3	3	13
Cell97	1	7	2	16
Cell98	1	9	9	11
Cell99	1	13	6	4
Cell100	1	7	2	16
Cell101	1	7	2	16
Cell102	1	6	8	12
Cell104	1	13	6	4
Cell105	1	4	10	15
Cell106	1	10	4	6
Cell107	1	13	6	4
Cell108	1	2	13	7
Cell109	1	10	4	6
Cell110	1	16	15	3
Cell111	1	2	5	7
Cell112	1	10	4	6
Cell113	1	14	12	9
Cell114	1	11	10	2
Cell115	1	7	2	16
Cell116	1	6	8	12
Cell117	1	2	5	7
Cell118	1	2	13	7
Cell119	1	4	10	15
Cell120	1	4	10	15
Cell122	1	4	10	15
Cell123	1	10	4	6
Cell124	1	12	11	10
Cell126	1	5	14	1
Cell127	1	6	8	12
Cell128	1	13	6	4
Cell129	1	9	9	11
Cell130	1	5	14	1
Cell131	1	5	14	1
Cell132	1	7	2	16
Cell133	1	2	13	7
Cell134	1	5	14	1
Cell135	1	12	11	10
Cell136	1	7	2	16
Cell139	1	1	7	5
Cell140	1	2	5	7
Cell141	1	14	12	9
Cell142	1	13	6	4
Cell143	1	11	10	2
Cell144	1	11	10	2
Cell145	1	10	4	6
Cell146	1	1	7	5
Cell147	1	2	5	6
Cell148	1	7	2	16
Cell149	1	5	14	1
Cell150	1	13	6	4
Cell151	1	3	3	13
Cell152	1	7	2	16
Cell153	1	9	9	11
Cell154	1	15	6	8
Cell155	1	11	10	2
Cell156	1	10	4	6
Cell157	1	2	5	7
Cell158	1	14	12	9
Cell159	1	16	15	3
Cell160	1	6	8	12
Cell161	1	6	8	12
Cell162	1	1	7	5
Cell163	1	2	5	7
