,instance #,labels #,moea-time,soea-time,moea-sil,moea-ARI,moea-NMI,soea-sil,soea-ARI,soea-NMI,kmeans-sil,kmeasn-ARI,kmeans-NMI,phe-sil,phe-ARI,phe-NMI,seurat_sil,seurat-ARI,seurat-NMI,phe-clusters,seurat-clusters
0,957,2,55.590,27.792,0.855,1.000,1.000,0.855,1.000,1.000,0.855,1.000,1.000,0.322,0.171,0.439,0.366,0.313,0.535,12,7
1,953,4,56.078,31.132,0.905,1.000,1.000,0.905,1.000,1.000,0.905,1.000,1.000,0.360,0.446,0.721,0.462,0.748,0.854,12,7
2,953,8,59.908,38.440,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,8,8
3,959,16,72.180,51.074,0.818,0.788,0.933,0.843,0.972,0.977,0.843,0.972,0.977,0.843,0.976,0.981,0.843,0.976,0.981,16,16
4,953,32,100.586,77.948,0.549,0.626,0.751,0.532,0.603,0.742,0.555,0.627,0.746,0.530,0.516,0.733,0.482,0.409,0.704,20,17
5,951,64,159.846,130.186,0.310,0.156,0.518,0.309,0.166,0.521,0.376,0.161,0.522,0.351,0.100,0.384,0.352,0.059,0.289,15,8
6,1892,2,61.771,33.565,0.874,1.000,1.000,0.874,1.000,1.000,0.874,1.000,1.000,0.318,0.137,0.406,0.318,0.241,0.487,16,9
7,1896,4,62.327,39.371,0.882,1.000,1.000,0.882,1.000,1.000,0.882,1.000,1.000,0.321,0.362,0.676,0.333,0.578,0.782,16,9
8,1895,8,75.813,52.064,0.898,1.000,1.000,0.898,1.000,1.000,0.898,1.000,1.000,0.359,0.637,0.853,0.898,1.000,1.000,17,8
9,1898,16,99.221,78.417,0.867,0.840,0.949,0.838,0.963,0.971,0.838,0.964,0.971,0.836,0.961,0.972,0.851,0.926,0.967,16,15
10,1900,32,156.110,127.994,0.581,0.641,0.750,0.568,0.639,0.749,0.575,0.634,0.746,0.581,0.562,0.750,0.584,0.547,0.746,22,21
11,1902,64,258.645,219.880,0.340,0.243,0.514,0.325,0.255,0.516,0.391,0.265,0.529,0.375,0.175,0.465,0.354,0.137,0.430,21,16
12,2836,2,66.770,39.513,0.881,1.000,1.000,0.881,1.000,1.000,0.881,1.000,1.000,0.306,0.115,0.386,0.302,0.203,0.458,19,11
13,2841,4,77.228,48.306,0.896,1.000,1.000,0.896,1.000,1.000,0.896,1.000,1.000,0.322,0.333,0.662,0.343,0.457,0.724,17,12
14,2843,8,91.888,66.856,0.876,1.000,1.000,0.876,1.000,1.000,0.876,1.000,1.000,0.367,0.580,0.832,0.876,1.000,1.000,19,8
15,2841,16,131.251,101.824,0.849,0.968,0.973,0.849,0.971,0.974,0.849,0.971,0.974,0.849,0.971,0.975,0.848,0.971,0.974,16,16
16,2839,32,204.135,170.802,0.591,0.647,0.754,0.577,0.643,0.753,0.574,0.635,0.753,0.578,0.599,0.753,0.578,0.550,0.745,25,22
17,2845,64,367.644,312.578,0.385,0.296,0.516,0.340,0.284,0.507,0.411,0.307,0.519,0.389,0.207,0.473,0.347,0.157,0.453,25,19
18,3792,2,75.531,45.315,0.866,1.000,1.000,0.866,1.000,1.000,0.866,1.000,1.000,0.306,0.101,0.374,0.311,0.197,0.454,21,11
19,3798,4,86.734,57.305,0.886,1.000,1.000,0.886,1.000,1.000,0.886,1.000,1.000,0.316,0.302,0.645,0.331,0.451,0.723,19,12
20,3788,8,110.369,81.519,0.892,1.000,1.000,0.892,1.000,1.000,0.892,1.000,1.000,0.357,0.504,0.802,0.820,0.974,0.984,23,9
21,3783,16,162.100,126.786,0.824,0.866,0.945,0.828,0.965,0.970,0.828,0.964,0.970,0.828,0.965,0.970,0.828,0.966,0.971,16,16
22,3791,32,260.563,220.313,0.635,0.729,0.834,0.633,0.744,0.834,0.661,0.778,0.846,0.646,0.754,0.844,0.635,0.683,0.832,30,25
23,3792,64,475.614,408.444,0.329,0.281,0.526,0.359,0.287,0.529,0.428,0.332,0.539,0.386,0.243,0.519,0.388,0.194,0.494,29,21
24,4739,2,84.548,51.074,0.885,1.000,1.000,0.885,1.000,1.000,0.885,1.000,1.000,0.297,0.097,0.372,0.311,0.176,0.441,21,12
25,4742,4,96.414,65.627,0.876,1.000,1.000,0.876,1.000,1.000,0.876,1.000,1.000,0.312,0.251,0.614,0.331,0.426,0.709,24,13
26,4744,8,128.057,96.763,0.881,1.000,1.000,0.881,1.000,1.000,0.881,1.000,1.000,0.359,0.490,0.794,0.532,0.809,0.910,25,13
27,4744,16,184.801,156.170,0.840,0.915,0.965,0.851,0.976,0.980,0.851,0.976,0.980,0.851,0.976,0.980,0.851,0.975,0.979,16,16
28,4746,32,315.676,273.368,0.681,0.762,0.839,0.659,0.769,0.838,0.666,0.772,0.838,0.681,0.753,0.842,0.651,0.689,0.831,28,25
29,4740,64,580.194,503.030,0.376,0.324,0.544,0.356,0.322,0.541,0.440,0.369,0.555,0.405,0.278,0.537,0.360,0.199,0.501,32,22
30,5697,2,89.092,55.567,0.870,1.000,1.000,0.870,1.000,1.000,0.870,1.000,1.000,0.284,0.088,0.361,0.312,0.148,0.419,24,14
31,5687,4,108.869,75.672,0.887,1.000,1.000,0.887,1.000,1.000,0.887,1.000,1.000,0.302,0.234,0.604,0.321,0.411,0.699,26,14
32,5690,8,151.778,117.684,0.889,1.000,1.000,0.889,1.000,1.000,0.889,1.000,1.000,0.338,0.481,0.791,0.530,0.807,0.909,25,13
33,5682,16,218.875,187.935,0.810,0.948,0.958,0.810,0.946,0.957,0.810,0.945,0.957,0.769,0.927,0.948,0.808,0.945,0.956,17,16
34,5691,32,382.700,321.320,0.639,0.747,0.821,0.617,0.726,0.813,0.638,0.748,0.819,0.630,0.743,0.822,0.613,0.662,0.807,30,25
35,5691,64,701.103,604.890,0.400,0.351,0.563,0.390,0.347,0.559,0.449,0.377,0.572,0.425,0.293,0.557,0.429,0.260,0.541,34,27
