,ID,did,seurat_cluster,kmeans_cluster,labels,MOEA,SOEA,PhenoGraph
0,Cell2,1,6,2,1,1,1,10
1,Cell3,1,2,1,2,0,0,4
2,Cell4,1,4,1,2,0,0,2
3,Cell5,1,1,2,1,1,1,12
4,Cell6,1,9,1,2,0,0,25
5,Cell7,1,14,1,2,0,0,22
6,Cell8,1,7,2,1,1,1,1
7,Cell9,1,16,2,1,1,1,11
8,Cell10,1,16,2,1,1,1,21
9,Cell11,1,15,1,2,0,0,7
10,Cell12,1,13,1,2,0,0,5
11,Cell13,1,4,1,2,0,0,2
12,Cell14,1,9,1,2,0,0,6
13,Cell15,1,13,1,2,0,0,27
14,Cell16,1,5,2,1,1,1,3
15,Cell17,1,5,2,1,1,1,21
16,Cell18,1,13,1,2,0,0,5
17,Cell19,1,3,1,2,0,0,14
18,Cell20,1,15,1,2,0,0,7
19,Cell21,1,15,1,2,0,0,7
20,Cell22,1,9,1,2,0,0,23
21,Cell23,1,1,2,1,1,1,12
22,Cell24,1,4,1,2,0,0,2
23,Cell25,1,2,1,2,0,0,4
24,Cell26,1,10,1,2,0,0,6
25,Cell27,1,1,2,1,1,1,12
26,Cell28,1,12,2,1,1,1,18
27,Cell30,1,8,2,1,1,1,0
28,Cell31,1,3,1,2,0,0,5
29,Cell32,1,2,1,2,0,0,4
30,Cell34,1,2,1,2,0,0,13
31,Cell35,1,15,1,2,0,0,7
32,Cell36,1,4,1,2,0,0,2
33,Cell37,1,7,2,1,1,1,17
34,Cell38,1,15,1,2,0,0,7
35,Cell39,1,9,1,2,0,0,23
36,Cell40,1,4,1,2,0,0,2
37,Cell41,1,7,2,1,1,1,10
38,Cell42,1,14,1,2,0,0,22
39,Cell43,1,12,2,1,1,1,18
40,Cell44,1,1,2,1,1,1,12
41,Cell45,1,5,2,1,1,1,3
42,Cell46,1,3,1,2,0,0,8
43,Cell47,1,1,2,1,1,1,26
44,Cell48,1,7,2,1,1,1,10
45,Cell49,1,8,2,1,1,1,9
46,Cell50,1,11,2,1,1,1,9
47,Cell51,1,5,2,1,1,1,3
48,Cell53,1,12,2,1,1,1,21
49,Cell54,1,8,2,1,1,1,0
50,Cell55,1,1,2,1,1,1,12
51,Cell56,1,4,1,2,0,0,19
52,Cell57,1,5,2,1,1,1,0
53,Cell59,1,10,1,2,0,0,16
54,Cell60,1,6,2,1,1,1,10
55,Cell61,1,1,2,1,1,1,12
56,Cell62,1,4,1,2,0,0,19
57,Cell63,1,16,2,1,1,1,11
58,Cell64,1,2,1,2,0,0,6
59,Cell65,1,10,1,2,0,0,16
60,Cell66,1,14,1,2,0,0,27
61,Cell69,1,2,1,2,0,0,4
62,Cell70,1,5,2,1,1,1,21
63,Cell71,1,2,1,2,0,0,13
64,Cell72,1,2,1,2,0,0,4
65,Cell73,1,12,2,1,1,1,21
66,Cell74,1,6,2,1,1,1,24
67,Cell75,1,2,1,2,0,0,4
68,Cell76,1,6,2,1,1,1,24
69,Cell77,1,1,2,1,1,1,15
70,Cell78,1,8,2,1,1,1,0
71,Cell79,1,13,1,2,0,0,5
