,ID,did,seurat_cluster,kmeans_cluster,labels,MOEA,SOEA,PhenoGraph
0,Cell2,1,2,23,61,31,34,7
1,Cell3,1,12,55,25,29,7,4
2,Cell4,1,2,5,30,17,27,6
3,Cell5,1,11,11,50,0,49,33
4,Cell6,1,8,6,25,63,2,2
5,Cell7,1,15,58,14,28,55,15
6,Cell8,1,22,12,48,34,19,18
7,Cell9,1,2,60,57,31,17,7
8,Cell10,1,20,48,49,42,56,23
9,Cell11,1,23,42,15,27,42,27
10,Cell12,1,1,64,29,33,57,0
11,Cell13,1,8,6,25,63,2,2
12,Cell14,1,6,16,29,19,23,8
13,Cell15,1,19,59,8,14,58,22
14,Cell16,1,2,54,57,15,40,6
15,Cell17,1,4,14,63,48,15,17
16,Cell18,1,3,22,28,32,41,1
17,Cell19,1,7,1,33,49,38,13
18,Cell20,1,3,22,20,32,41,1
19,Cell21,1,3,8,28,32,9,1
20,Cell22,1,3,41,17,24,53,9
21,Cell23,1,7,6,34,49,2,13
22,Cell24,1,19,59,8,14,58,22
23,Cell25,1,3,17,16,54,31,1
24,Cell26,1,29,27,32,44,51,35
25,Cell27,1,13,34,35,1,22,16
26,Cell28,1,1,62,44,25,1,0
27,Cell30,1,6,46,56,59,39,3
28,Cell31,1,3,22,28,32,31,1
29,Cell32,1,23,42,15,27,42,27
30,Cell34,1,5,15,6,61,59,11
31,Cell35,1,4,44,27,62,0,10
32,Cell36,1,28,4,3,11,3,25
33,Cell37,1,11,55,54,2,7,32
34,Cell38,1,10,31,7,60,9,12
35,Cell39,1,30,37,20,13,50,37
36,Cell40,1,7,45,26,10,36,6
37,Cell41,1,14,47,53,26,45,19
38,Cell42,1,8,25,31,23,2,2
39,Cell43,1,1,28,47,22,48,0
40,Cell45,1,5,56,51,55,20,5
41,Cell46,1,8,25,31,63,2,2
42,Cell47,1,5,43,40,55,5,5
43,Cell48,1,1,64,1,33,57,0
44,Cell49,1,1,62,52,25,1,0
45,Cell50,1,13,34,35,1,22,16
46,Cell51,1,26,33,45,30,44,30
47,Cell53,1,2,54,60,15,40,6
48,Cell54,1,16,29,55,57,29,20
49,Cell55,1,21,50,58,21,54,26
50,Cell56,1,3,63,17,50,9,9
51,Cell57,1,6,16,44,19,23,3
52,Cell59,1,10,31,7,60,52,12
53,Cell60,1,13,34,39,12,22,16
54,Cell61,1,20,48,49,42,56,23
55,Cell62,1,5,15,27,61,59,11
56,Cell63,1,5,56,51,55,24,5
57,Cell64,1,5,13,18,56,25,11
58,Cell65,1,12,35,6,18,28,14
59,Cell66,1,22,24,11,34,26,18
60,Cell69,1,10,39,4,7,46,36
61,Cell70,1,1,62,47,22,1,0
62,Cell71,1,8,25,31,23,43,2
63,Cell72,1,15,58,14,28,55,15
64,Cell73,1,16,29,55,57,29,20
65,Cell74,1,6,16,39,45,30,8
66,Cell75,1,8,25,25,63,2,2
67,Cell76,1,1,64,40,18,57,0
68,Cell77,1,21,50,58,21,54,26
69,Cell78,1,16,29,36,57,29,20
70,Cell79,1,15,58,14,28,55,15
71,Cell80,1,3,49,16,43,31,1
72,Cell81,1,25,2,38,37,12,28
73,Cell82,1,14,47,53,26,45,19
74,Cell83,1,17,9,42,39,13,21
75,Cell84,1,27,7,19,6,21,34
76,Cell85,1,3,5,17,32,41,1
77,Cell86,1,24,26,59,16,14,29
78,Cell87,1,1,43,47,45,30,8
79,Cell88,1,14,47,53,26,45,19
80,Cell89,1,31,21,36,46,16,38
81,Cell90,1,7,45,26,10,36,31
82,Cell91,1,5,56,51,45,20,8
83,Cell92,1,6,16,1,45,23,3
84,Cell93,1,25,2,38,37,12,28
85,Cell94,1,6,36,61,59,61,3
86,Cell95,1,1,18,47,53,48,7
87,Cell96,1,4,15,27,61,32,11
88,Cell98,1,2,60,40,53,34,7
89,Cell99,1,6,36,10,9,61,3
