,ID,did,seurat_cluster,kmeans_cluster,labels,MOEA,SOEA,PhenoGraph
0,Cell2,1,5,1,1,0,1,10
1,Cell3,1,8,3,3,3,0,6
2,Cell4,1,8,3,3,3,0,6
3,Cell5,1,16,4,1,0,1,2
4,Cell6,1,15,3,3,3,0,17
5,Cell7,1,2,2,2,2,3,27
6,Cell8,1,1,2,4,1,2,12
7,Cell9,1,5,1,1,0,1,21
8,Cell10,1,13,2,4,1,2,13
9,Cell11,1,6,2,2,2,3,0
10,Cell12,1,17,3,3,3,0,23
11,Cell13,1,15,3,3,3,0,17
12,Cell14,1,12,3,3,3,0,19
13,Cell15,1,2,2,2,2,3,1
14,Cell16,1,5,1,1,0,1,20
15,Cell17,1,11,1,1,0,1,3
16,Cell18,1,4,3,3,3,0,11
17,Cell19,1,4,3,3,3,0,9
18,Cell20,1,4,3,3,3,0,9
19,Cell21,1,4,3,3,3,0,9
20,Cell22,1,6,2,2,2,3,0
21,Cell23,1,10,2,4,1,2,26
22,Cell24,1,6,2,2,2,3,0
23,Cell25,1,2,2,2,2,3,27
24,Cell26,1,15,3,3,3,0,17
25,Cell27,1,9,2,4,1,2,12
26,Cell28,1,13,2,4,1,2,13
27,Cell30,1,16,4,1,0,1,24
28,Cell31,1,17,3,3,3,0,23
29,Cell32,1,7,2,2,2,3,15
30,Cell34,1,6,2,2,2,3,0
31,Cell35,1,4,3,3,3,0,11
32,Cell36,1,6,2,2,2,3,0
33,Cell37,1,16,4,1,0,1,2
34,Cell38,1,2,2,2,2,3,1
35,Cell39,1,8,3,3,3,0,6
36,Cell40,1,15,3,3,3,0,17
37,Cell41,1,16,4,1,0,1,2
38,Cell42,1,8,3,3,3,0,19
39,Cell43,1,9,2,4,1,2,12
40,Cell44,1,3,4,1,0,1,14
41,Cell45,1,5,1,1,0,1,20
42,Cell46,1,15,3,3,3,0,17
43,Cell47,1,1,2,4,1,2,5
44,Cell48,1,3,4,1,0,1,2
45,Cell49,1,5,1,1,0,1,21
46,Cell50,1,9,2,4,1,2,8
47,Cell51,1,13,2,4,1,2,4
48,Cell53,1,5,1,1,0,1,20
49,Cell54,1,18,1,1,0,1,20
50,Cell55,1,11,1,1,0,1,3
51,Cell56,1,7,2,2,2,3,16
52,Cell57,1,13,2,4,1,2,4
53,Cell59,1,2,2,2,2,3,1
54,Cell60,1,9,2,4,1,2,8
55,Cell61,1,9,2,4,1,2,8
56,Cell62,1,4,3,3,3,0,11
57,Cell63,1,5,1,1,0,1,20
58,Cell64,1,12,3,3,3,0,18
59,Cell65,1,7,2,2,2,3,16
60,Cell66,1,2,2,2,2,3,15
61,Cell69,1,6,2,2,2,3,7
62,Cell70,1,13,2,4,1,2,13
63,Cell71,1,4,3,3,3,0,9
64,Cell72,1,6,2,2,2,3,7
65,Cell73,1,5,1,1,0,1,20
66,Cell74,1,1,2,4,1,2,5
67,Cell75,1,8,3,3,3,0,6
68,Cell76,1,9,2,4,1,2,8
69,Cell77,1,16,4,1,0,1,24
70,Cell78,1,10,2,4,1,2,22
71,Cell79,1,7,2,2,2,3,16
72,Cell80,1,7,2,2,2,3,16
73,Cell81,1,1,2,4,1,2,5
74,Cell82,1,5,1,1,0,1,10
75,Cell83,1,10,2,4,1,2,12
76,Cell84,1,4,3,3,3,0,9
77,Cell85,1,2,2,2,2,3,1
78,Cell86,1,18,1,1,0,1,20
79,Cell87,1,10,2,4,1,2,22
80,Cell88,1,3,4,1,0,1,21
81,Cell89,1,13,2,4,1,2,4
82,Cell90,1,12,3,3,3,0,19
83,Cell91,1,3,4,1,0,1,2
84,Cell92,1,3,4,1,0,1,2
85,Cell93,1,10,2,4,1,2,22
86,Cell94,1,11,4,1,0,1,3
87,Cell95,1,1,2,4,1,2,4
88,Cell96,1,17,3,3,3,0,23
89,Cell98,1,9,2,4,1,2,8
90,Cell99,1,2,2,2,2,3,1
91,Cell101,1,5,1,1,0,1,21
92,Cell102,1,1,2,4,1,2,12
93,Cell103,1,7,2,2,2,3,0
94,Cell104,1,7,2,2,2,3,15
95,Cell105,1,3,4,1,0,1,2
96,Cell106,1,8,3,3,3,0,19
97,Cell107,1,2,2,2,2,3,1
98,Cell108,1,15,3,3,3,0,17
99,Cell109,1,4,3,3,3,0,11
100,Cell110,1,2,2,2,2,3,15
101,Cell111,1,17,3,3,3,0,23
102,Cell113,1,15,3,3,3,0,17
103,Cell114,1,7,2,2,2,3,16
104,Cell116,1,10,2,4,1,2,26
105,Cell117,1,4,3,3,3,0,11
106,Cell118,1,12,3,3,3,0,18
107,Cell119,1,5,1,1,0,1,21
108,Cell120,1,5,1,1,0,1,20
109,Cell121,1,14,2,2,2,3,25
110,Cell122,1,18,1,1,0,1,20
111,Cell123,1,12,3,3,3,0,18
112,Cell125,1,13,2,4,1,2,13
113,Cell126,1,3,4,1,0,1,2
114,Cell127,1,1,2,4,1,2,5
115,Cell128,1,6,2,2,2,3,7
116,Cell129,1,10,2,4,1,2,22
117,Cell130,1,3,4,1,0,1,14
118,Cell131,1,5,1,1,0,1,20
119,Cell132,1,11,1,1,0,1,3
120,Cell133,1,17,3,3,3,0,23
121,Cell134,1,3,4,1,0,1,2
122,Cell135,1,10,2,4,1,2,26
123,Cell136,1,16,4,1,0,1,24
124,Cell137,1,3,4,1,0,1,2
125,Cell138,1,2,2,2,2,3,1
126,Cell139,1,14,2,2,2,3,25
127,Cell140,1,8,3,3,3,0,6
128,Cell141,1,15,3,3,3,0,17
129,Cell142,1,7,2,2,2,3,16
130,Cell143,1,7,2,2,2,3,15
131,Cell144,1,2,2,2,2,3,1
132,Cell145,1,4,3,3,3,0,9
133,Cell146,1,2,2,2,2,3,15
134,Cell147,1,12,3,3,3,0,18
135,Cell149,1,11,4,1,0,1,3
136,Cell150,1,2,2,2,2,3,1
137,Cell151,1,10,2,4,1,2,22
138,Cell152,1,5,1,1,0,1,10
139,Cell153,1,1,2,4,1,2,4
140,Cell154,1,8,3,3,3,0,6
141,Cell156,1,15,3,3,3,0,17
142,Cell157,1,12,3,3,3,0,18
143,Cell158,1,4,3,3,3,0,9
144,Cell159,1,2,2,2,2,3,1
145,Cell161,1,13,2,4,1,2,13
146,Cell162,1,2,2,2,2,3,27
147,Cell163,1,15,3,3,3,0,17
148,Cell164,1,3,4,1,0,1,2
149,Cell165,1,4,3,3,3,0,9
150,Cell166,1,1,2,4,1,2,5
151,Cell167,1,6,2,2,2,3,0
152,Cell168,1,7,2,2,2,3,16
153,Cell169,1,9,2,4,1,2,12
154,Cell170,1,8,3,3,3,0,6
155,Cell171,1,10,2,4,1,2,26
156,Cell172,1,1,2,4,1,2,5
157,Cell173,1,6,2,2,2,3,7
158,Cell174,1,6,2,2,2,3,0
159,Cell175,1,8,3,3,3,0,6
160,Cell176,1,11,4,1,0,1,24
161,Cell177,1,12,3,3,3,0,19
162,Cell178,1,9,2,4,1,2,8
163,Cell180,1,15,3,3,3,0,17
164,Cell181,1,3,4,1,0,1,2
165,Cell182,1,5,1,1,0,1,20
166,Cell183,1,3,4,1,0,1,14
167,Cell184,1,7,2,2,2,3,16
168,Cell185,1,1,2,4,1,2,4
169,Cell187,1,6,2,2,2,3,0
170,Cell188,1,6,2,2,2,3,0
171,Cell189,1,3,4,1,0,1,21
172,Cell190,1,14,2,2,2,3,25
173,Cell191,1,12,3,3,3,0,18
174,Cell192,1,5,1,1,0,1,20
175,Cell193,1,2,2,2,2,3,15
176,Cell194,1,3,4,1,0,1,2
177,Cell195,1,3,4,1,0,1,21
178,Cell196,1,5,1,1,0,1,10
179,Cell197,1,1,2,4,1,2,5
180,Cell198,1,1,2,4,1,2,5
181,Cell199,1,1,2,4,1,2,4
182,Cell200,1,6,2,2,2,3,0
183,Cell201,1,16,4,1,0,1,24
184,Cell202,1,4,3,3,3,0,9
185,Cell203,1,6,2,2,2,3,7
186,Cell204,1,2,2,2,2,3,27
187,Cell205,1,18,4,1,0,1,14
188,Cell206,1,4,3,3,3,0,9
189,Cell207,1,2,2,2,2,3,1
190,Cell208,1,2,2,2,2,3,15
191,Cell209,1,18,1,1,0,1,20
192,Cell210,1,1,2,4,1,2,5
193,Cell212,1,8,3,3,3,0,6
194,Cell213,1,4,3,3,3,0,11
195,Cell214,1,3,4,1,0,1,2
196,Cell215,1,12,3,3,3,0,19
197,Cell216,1,10,2,4,1,2,22
198,Cell217,1,10,2,4,1,2,22
199,Cell218,1,3,4,1,0,1,2
200,Cell219,1,6,2,2,2,3,7
201,Cell220,1,5,1,1,0,1,10
202,Cell221,1,8,3,3,3,0,6
203,Cell222,1,4,3,3,3,0,9
204,Cell223,1,4,3,3,3,0,9
205,Cell224,1,3,1,1,0,1,21
206,Cell225,1,2,2,2,2,3,15
207,Cell226,1,9,2,4,1,2,12
208,Cell227,1,7,2,2,2,3,15
209,Cell228,1,1,2,4,1,2,12
210,Cell229,1,7,2,2,2,3,16
211,Cell230,1,7,2,2,2,3,16
212,Cell231,1,2,2,2,2,3,1
213,Cell232,1,9,2,4,1,2,8
214,Cell233,1,12,3,3,3,0,18
215,Cell235,1,5,1,1,0,1,10
216,Cell236,1,6,2,2,2,3,7
217,Cell237,1,17,3,3,3,0,23
218,Cell238,1,11,4,1,0,1,2
219,Cell239,1,2,2,2,2,3,27
220,Cell240,1,3,4,1,0,1,2
221,Cell241,1,12,3,3,3,0,18
222,Cell242,1,15,3,3,3,0,17
223,Cell243,1,1,2,4,1,2,4
224,Cell244,1,12,3,3,3,0,18
225,Cell246,1,6,2,2,2,3,7
226,Cell247,1,13,2,4,1,2,13
227,Cell248,1,6,2,2,2,3,7
228,Cell249,1,12,3,3,3,0,19
229,Cell250,1,3,4,1,0,1,14
230,Cell251,1,14,2,2,2,3,7
231,Cell252,1,3,4,1,0,1,14
232,Cell253,1,5,1,1,0,1,10
233,Cell254,1,10,2,4,1,2,26
234,Cell255,1,2,2,2,2,3,1
235,Cell256,1,15,3,3,3,0,17
236,Cell257,1,8,3,3,3,0,6
237,Cell258,1,8,3,3,3,0,6
238,Cell259,1,10,2,4,1,2,22
239,Cell260,1,14,2,2,2,3,7
240,Cell261,1,17,3,3,3,0,23
241,Cell262,1,13,2,4,1,2,4
242,Cell263,1,13,2,4,1,2,4
243,Cell264,1,5,1,1,0,1,20
244,Cell266,1,3,4,1,0,1,2
245,Cell267,1,4,3,3,3,0,11
246,Cell268,1,11,1,1,0,1,3
247,Cell269,1,12,3,3,3,0,18
248,Cell270,1,12,3,3,3,0,18
249,Cell271,1,8,3,3,3,0,19
250,Cell272,1,1,2,4,1,2,5
251,Cell273,1,6,2,2,2,3,0
252,Cell274,1,18,4,1,0,1,14
253,Cell275,1,8,3,3,3,0,6
254,Cell276,1,8,3,3,3,0,6
255,Cell277,1,3,4,1,0,1,2
256,Cell278,1,13,2,4,1,2,13
257,Cell279,1,13,2,4,1,2,4
258,Cell280,1,3,4,1,0,1,2
259,Cell281,1,10,2,4,1,2,12
260,Cell282,1,4,3,3,3,0,11
261,Cell283,1,1,2,4,1,2,4
262,Cell285,1,1,2,4,1,2,5
263,Cell286,1,5,1,1,0,1,21
264,Cell287,1,5,1,1,0,1,21
265,Cell288,1,4,3,3,3,0,9
266,Cell289,1,10,2,4,1,2,26
267,Cell290,1,18,1,1,0,1,20
268,Cell291,1,9,2,4,1,2,8
269,Cell292,1,1,2,4,1,2,5
270,Cell294,1,3,4,1,0,1,14
271,Cell295,1,1,2,4,1,2,5
272,Cell297,1,2,2,2,2,3,1
273,Cell299,1,6,2,2,2,3,0
274,Cell300,1,4,3,3,3,0,9
275,Cell301,1,3,4,1,0,1,14
276,Cell302,1,14,2,2,2,3,25
277,Cell303,1,4,3,3,3,0,9
278,Cell304,1,6,2,2,2,3,0
279,Cell305,1,6,2,2,2,3,0
280,Cell306,1,9,2,4,1,2,12
281,Cell307,1,16,4,1,0,1,24
282,Cell308,1,18,1,1,0,1,14
283,Cell309,1,13,2,4,1,2,13
284,Cell310,1,1,2,4,1,2,5
285,Cell311,1,6,2,2,2,3,0
286,Cell312,1,5,1,1,0,1,10
287,Cell313,1,9,2,4,1,2,12
288,Cell314,1,17,3,3,3,0,23
289,Cell315,1,1,2,4,1,2,4
290,Cell316,1,14,2,2,2,3,25
291,Cell317,1,13,2,4,1,2,13
292,Cell318,1,9,2,4,1,2,8
293,Cell319,1,12,3,3,3,0,19
294,Cell320,1,5,1,1,0,1,10
295,Cell321,1,2,2,2,2,3,1
296,Cell322,1,5,1,1,0,1,20
297,Cell323,1,18,1,1,0,1,20
298,Cell324,1,1,2,4,1,2,4
299,Cell325,1,3,4,1,0,1,14
300,Cell326,1,3,4,1,0,1,14
301,Cell327,1,5,1,1,0,1,21
302,Cell328,1,5,1,1,0,1,10
303,Cell329,1,6,2,2,2,3,7
304,Cell330,1,9,2,4,1,2,8
305,Cell331,1,3,4,1,0,1,21
306,Cell332,1,10,2,4,1,2,26
307,Cell333,1,3,4,1,0,1,21
308,Cell334,1,1,2,4,1,2,5
309,Cell335,1,13,2,4,1,2,13
310,Cell336,1,3,4,1,0,1,2
311,Cell337,1,18,1,1,0,1,20
312,Cell338,1,5,1,1,0,1,10
313,Cell339,1,8,3,3,3,0,6
314,Cell340,1,5,1,1,0,1,10
315,Cell341,1,3,4,1,0,1,2
316,Cell342,1,12,3,3,3,0,19
317,Cell343,1,1,2,4,1,2,5
318,Cell344,1,4,3,3,3,0,11
319,Cell345,1,3,4,1,0,1,14
320,Cell346,1,1,2,4,1,2,5
321,Cell347,1,10,2,4,1,2,22
322,Cell348,1,18,1,1,0,1,20
323,Cell349,1,16,4,1,0,1,24
324,Cell350,1,5,1,1,0,1,10
325,Cell351,1,3,4,1,0,1,14
326,Cell353,1,11,1,1,0,1,3
327,Cell354,1,17,3,3,3,0,23
328,Cell355,1,5,1,1,0,1,21
329,Cell356,1,5,1,1,0,1,10
330,Cell357,1,1,2,4,1,2,4
331,Cell358,1,4,3,3,3,0,11
332,Cell359,1,7,2,2,2,3,1
333,Cell360,1,1,2,4,1,2,4
334,Cell361,1,7,2,2,2,3,0
335,Cell362,1,8,3,3,3,0,6
336,Cell363,1,3,4,1,0,1,2
337,Cell364,1,10,2,4,1,2,26
