,ID,did,seurat_cluster,kmeans_cluster,labels,MOEA,SOEA,PhenoGraph
0,Cell2,1,26,14,31,6,16,22
1,Cell3,1,16,11,13,29,21,14
2,Cell4,1,6,15,16,4,12,4
3,Cell5,1,14,19,26,5,20,13
4,Cell6,1,16,11,13,29,21,14
5,Cell7,1,7,28,8,0,11,3
6,Cell8,1,9,3,25,22,15,6
7,Cell9,1,18,22,29,15,2,16
8,Cell10,1,9,3,25,22,15,6
9,Cell11,1,7,28,8,0,11,3
10,Cell12,1,13,12,15,12,26,26
11,Cell13,1,16,8,13,29,21,14
12,Cell14,1,13,12,15,12,26,26
13,Cell15,1,3,28,5,19,30,2
14,Cell16,1,18,22,29,15,2,16
15,Cell17,1,23,21,32,13,0,19
16,Cell18,1,13,12,15,12,26,26
17,Cell19,1,25,7,17,20,31,21
18,Cell20,1,28,2,11,14,4,24
19,Cell21,1,13,12,15,12,26,26
20,Cell22,1,4,17,9,7,14,1
21,Cell23,1,1,29,18,30,6,0
22,Cell24,1,7,28,5,0,11,3
23,Cell25,1,4,17,9,7,14,1
24,Cell26,1,25,7,17,20,31,21
25,Cell27,1,1,29,18,30,6,0
26,Cell28,1,5,31,23,23,25,5
27,Cell30,1,18,16,29,15,2,16
28,Cell31,1,13,12,15,12,26,26
29,Cell32,1,7,28,8,0,11,3
30,Cell34,1,12,1,4,17,1,9
31,Cell35,1,24,6,14,24,13,20
32,Cell36,1,21,5,2,26,7,17
33,Cell37,1,15,25,28,11,23,10
34,Cell38,1,12,1,4,17,1,9
35,Cell39,1,28,32,11,14,4,24
36,Cell40,1,17,6,14,21,10,11
37,Cell41,1,24,6,27,24,13,20
38,Cell42,1,2,18,16,31,19,29
39,Cell43,1,27,4,24,2,17,23
40,Cell45,1,14,26,26,5,20,12
41,Cell46,1,12,1,16,17,1,9
42,Cell47,1,8,20,21,23,29,27
43,Cell48,1,3,17,1,19,30,2
44,Cell49,1,24,6,27,24,13,20
45,Cell50,1,1,29,18,30,6,0
46,Cell51,1,5,31,23,23,25,5
47,Cell53,1,26,14,31,6,16,22
48,Cell54,1,15,25,28,11,18,10
49,Cell55,1,10,4,30,16,27,7
50,Cell56,1,4,17,9,7,14,1
51,Cell57,1,5,31,23,23,25,5
52,Cell59,1,12,1,4,17,1,9
53,Cell60,1,18,16,20,15,2,16
54,Cell61,1,9,3,25,22,15,6
55,Cell62,1,17,6,14,21,10,11
56,Cell63,1,14,19,26,5,20,13
57,Cell64,1,20,23,10,27,3,12
58,Cell65,1,12,1,4,17,1,9
59,Cell66,1,2,24,6,7,14,25
60,Cell69,1,5,31,3,23,25,5
61,Cell70,1,27,4,24,2,17,23
62,Cell71,1,2,18,16,6,19,29
63,Cell72,1,7,28,8,0,11,3
64,Cell73,1,15,25,28,11,18,10
65,Cell74,1,1,12,20,12,22,28
66,Cell75,1,16,8,13,29,21,14
67,Cell76,1,8,20,21,23,29,27
68,Cell77,1,10,4,30,16,27,7
69,Cell78,1,22,9,19,25,5,18
70,Cell79,1,7,28,8,0,11,3
71,Cell80,1,4,17,9,7,14,1
72,Cell81,1,6,15,20,4,12,4
73,Cell82,1,24,6,27,24,13,20
74,Cell83,1,11,1,22,8,28,8
75,Cell84,1,20,23,10,27,3,12
76,Cell85,1,4,17,9,7,14,1
77,Cell86,1,10,4,30,16,27,7
78,Cell87,1,27,4,24,2,17,23
79,Cell88,1,24,6,27,24,13,20
80,Cell89,1,22,9,19,25,5,18
81,Cell90,1,17,6,14,21,10,11
82,Cell91,1,14,19,26,5,20,13
83,Cell92,1,1,12,1,28,8,28
84,Cell93,1,25,7,20,20,31,21
85,Cell94,1,8,18,31,28,19,27
86,Cell95,1,27,4,24,2,17,23
87,Cell96,1,17,6,14,21,10,11
88,Cell98,1,1,29,21,7,22,0
89,Cell99,1,2,18,6,6,19,29
90,Cell101,1,14,19,31,5,20,13
91,Cell102,1,11,1,22,8,28,8
92,Cell103,1,3,17,5,19,30,2
93,Cell104,1,6,15,7,4,12,4
94,Cell105,1,15,25,28,11,18,10
95,Cell106,1,28,2,11,14,4,24
96,Cell107,1,14,19,6,5,20,13
97,Cell108,1,16,11,13,29,21,14
98,Cell109,1,28,32,11,14,4,24
99,Cell110,1,12,1,4,17,1,9
100,Cell111,1,2,10,12,31,24,25
101,Cell113,1,1,12,16,12,8,28
102,Cell114,1,19,13,3,18,9,15
103,Cell116,1,11,1,22,8,28,8
104,Cell117,1,2,10,12,31,24,25
105,Cell118,1,17,6,12,21,10,11
106,Cell119,1,15,25,28,11,23,10
107,Cell120,1,15,25,28,11,18,10
108,Cell121,1,7,28,8,0,11,3
109,Cell122,1,15,25,28,11,18,10
110,Cell123,1,20,23,10,27,3,12
111,Cell125,1,11,1,22,8,28,8
112,Cell126,1,13,24,1,28,8,28
113,Cell127,1,5,31,23,23,25,5
114,Cell128,1,6,15,7,4,12,4
115,Cell129,1,9,3,20,22,15,6
116,Cell130,1,20,23,1,27,3,12
117,Cell131,1,23,21,32,13,0,19
118,Cell132,1,10,4,30,16,27,7
119,Cell133,1,2,10,12,31,24,25
120,Cell134,1,7,28,1,0,11,3
121,Cell135,1,1,29,18,30,6,0
122,Cell136,1,10,4,30,16,27,7
123,Cell137,1,10,4,30,16,27,7
