,instance #,labels #,moea-time,soea-time,moea-sil,moea-ARI,moea-NMI,soea-sil,soea-ARI,soea-NMI,kmeans-sil,kmeasn-ARI,kmeans-NMI,phe-sil,phe-ARI,phe-NMI,seurat_sil,seurat-ARI,seurat-NMI,phe-clusters,seurat-clusters
0,957,2,59.033,30.890,0.855,1.000,1.000,0.855,1.000,1.000,0.855,1.000,1.000,0.323,0.172,0.439,0.366,0.313,0.535,12,7
1,953,4,60.832,35.132,0.905,1.000,1.000,0.905,1.000,1.000,0.905,1.000,1.000,0.355,0.451,0.722,0.462,0.748,0.854,12,7
2,953,8,66.373,42.502,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,8,8
3,959,16,76.962,55.207,0.843,0.972,0.977,0.843,0.972,0.977,0.843,0.972,0.977,0.843,0.976,0.981,0.843,0.976,0.981,16,16
4,953,32,108.111,83.251,0.564,0.630,0.750,0.518,0.593,0.741,0.548,0.613,0.741,0.528,0.515,0.732,0.482,0.409,0.704,20,17
5,951,64,169.201,137.737,0.327,0.138,0.507,0.302,0.160,0.514,0.373,0.154,0.519,0.337,0.094,0.369,0.352,0.059,0.289,14,8
6,1892,2,68.197,38.267,0.874,1.000,1.000,0.874,1.000,1.000,0.874,1.000,1.000,0.327,0.118,0.391,0.318,0.241,0.487,18,9
7,1896,4,70.733,45.065,0.882,1.000,1.000,0.882,1.000,1.000,0.882,1.000,1.000,0.345,0.375,0.684,0.333,0.578,0.782,15,9
8,1895,8,82.600,57.829,0.898,1.000,1.000,0.898,1.000,1.000,0.898,1.000,1.000,0.421,0.706,0.876,0.898,1.000,1.000,15,8
9,1898,16,108.322,83.236,0.867,0.841,0.950,0.838,0.963,0.971,0.838,0.964,0.971,0.837,0.963,0.971,0.851,0.926,0.967,16,15
10,1900,32,166.657,136.342,0.593,0.650,0.756,0.560,0.636,0.752,0.572,0.634,0.750,0.585,0.567,0.749,0.584,0.547,0.746,22,21
11,1902,64,286.712,243.003,0.356,0.258,0.518,0.325,0.241,0.517,0.398,0.258,0.528,0.372,0.186,0.465,0.354,0.137,0.430,22,16
12,2836,2,74.688,44.822,0.881,1.000,1.000,0.881,1.000,1.000,0.881,1.000,1.000,0.301,0.120,0.392,0.302,0.203,0.458,18,11
13,2841,4,80.143,53.984,0.896,1.000,1.000,0.896,1.000,1.000,0.896,1.000,1.000,0.317,0.302,0.646,0.343,0.457,0.724,19,12
