,instance #,labels #,moea-time,soea-time,moea-sil,moea-ARI,moea-NMI,soea-sil,soea-ARI,soea-NMI,kmeans-sil,kmeasn-ARI,kmeans-NMI,phe-sil,phe-ARI,phe-NMI,seurat_sil,seurat-ARI,seurat-NMI,phe-clusters,seurat-clusters
0,953,8,68.919,44.484,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,8,8
1,1895,8,92.621,62.576,0.898,1.000,1.000,0.898,1.000,1.000,0.898,1.000,1.000,0.419,0.706,0.876,0.898,1.000,1.000,15,8
2,2843,8,110.680,79.986,0.876,1.000,1.000,0.876,1.000,1.000,0.876,1.000,1.000,0.368,0.564,0.825,0.876,1.000,1.000,20,8
3,3788,8,133.700,97.228,0.892,1.000,1.000,0.892,1.000,1.000,0.892,1.000,1.000,0.372,0.505,0.802,0.820,0.974,0.984,23,9
4,4744,8,152.211,115.015,0.881,1.000,1.000,0.881,1.000,1.000,0.881,1.000,1.000,0.348,0.501,0.798,0.532,0.809,0.910,24,13
5,5690,8,174.092,134.089,0.889,1.000,1.000,0.889,1.000,1.000,0.889,1.000,1.000,0.329,0.483,0.792,0.530,0.807,0.909,25,13
6,6648,8,197.562,151.907,0.892,1.000,1.000,0.892,1.000,1.000,0.892,1.000,1.000,0.345,0.487,0.796,0.535,0.815,0.911,24,13
7,7598,8,219.202,169.231,0.873,1.000,1.000,0.873,1.000,1.000,0.873,1.000,1.000,0.322,0.439,0.772,0.472,0.752,0.891,29,14
8,8536,8,238.403,189.010,0.881,1.000,1.000,0.881,1.000,1.000,0.881,1.000,1.000,0.350,0.464,0.785,0.330,0.649,0.860,26,16
9,9497,8,255.791,207.108,0.875,1.000,1.000,0.875,1.000,1.000,0.875,1.000,1.000,0.342,0.446,0.778,0.337,0.608,0.842,27,18
