,instance #,labels #,moea-time,soea-time,moea-sil,moea-ARI,moea-NMI,soea-sil,soea-ARI,soea-NMI,kmeans-sil,kmeasn-ARI,kmeans-NMI,phe-sil,phe-ARI,phe-NMI,seurat_sil,seurat-ARI,seurat-NMI,phe-clusters,seurat-clusters
0,957,2,61.186,31.224,0.855,1.000,1.000,0.855,1.000,1.000,0.855,1.000,1.000,0.347,0.189,0.452,0.366,0.313,0.535,11,7
1,953,4,63.175,34.147,0.905,1.000,1.000,0.905,1.000,1.000,0.905,1.000,1.000,0.353,0.445,0.721,0.462,0.748,0.854,12,7
2,953,8,66.710,41.240,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,8,8
3,959,16,76.768,55.408,0.819,0.793,0.933,0.843,0.974,0.978,0.843,0.972,0.977,0.843,0.976,0.981,0.843,0.976,0.981,16,16
4,953,32,108.384,83.709,0.546,0.620,0.749,0.533,0.612,0.747,0.547,0.619,0.745,0.525,0.513,0.731,0.482,0.409,0.704,20,17
5,951,64,170.997,139.583,0.325,0.160,0.522,0.296,0.140,0.510,0.369,0.163,0.524,0.352,0.101,0.383,0.352,0.059,0.289,15,8
6,1892,2,68.566,37.506,0.874,1.000,1.000,0.874,1.000,1.000,0.874,1.000,1.000,0.314,0.127,0.398,0.318,0.241,0.487,17,9
7,1896,4,72.527,45.271,0.882,1.000,1.000,0.882,1.000,1.000,0.882,1.000,1.000,0.292,0.355,0.674,0.333,0.578,0.782,16,9
8,1895,8,82.925,59.213,0.898,1.000,1.000,0.898,1.000,1.000,0.898,1.000,1.000,0.419,0.705,0.876,0.898,1.000,1.000,15,8
9,1898,16,107.059,84.839,0.867,0.841,0.950,0.838,0.964,0.971,0.838,0.964,0.971,0.836,0.961,0.972,0.851,0.926,0.967,16,15
10,1900,32,164.314,136.394,0.595,0.632,0.752,0.591,0.659,0.757,0.587,0.655,0.754,0.580,0.566,0.752,0.584,0.547,0.746,22,21
11,1902,64,286.610,247.124,0.255,0.184,0.484,0.326,0.240,0.514,0.395,0.278,0.533,0.370,0.175,0.458,0.354,0.137,0.430,21,16
12,2836,2,76.418,43.373,0.881,1.000,1.000,0.881,1.000,1.000,0.881,1.000,1.000,0.297,0.117,0.390,0.302,0.203,0.458,18,11
13,2841,4,83.932,54.432,0.896,1.000,1.000,0.896,1.000,1.000,0.896,1.000,1.000,0.321,0.323,0.655,0.343,0.457,0.724,18,12
14,2843,8,102.667,73.961,0.876,1.000,1.000,0.876,1.000,1.000,0.876,1.000,1.000,0.362,0.590,0.834,0.876,1.000,1.000,19,8
15,2841,16,141.825,112.763,0.847,0.922,0.958,0.813,0.905,0.953,0.849,0.971,0.974,0.848,0.972,0.975,0.848,0.971,0.974,16,16
16,2839,32,223.599,190.148,0.588,0.632,0.749,0.570,0.640,0.756,0.586,0.645,0.755,0.593,0.605,0.757,0.578,0.550,0.745,26,22
17,2845,64,405.364,350.866,0.365,0.286,0.514,0.345,0.282,0.510,0.407,0.294,0.518,0.392,0.213,0.484,0.347,0.157,0.453,26,19
18,3792,2,80.110,51.081,0.866,1.000,1.000,0.866,1.000,1.000,0.866,1.000,1.000,0.287,0.102,0.375,0.311,0.197,0.454,21,11
19,3798,4,97.734,67.397,0.886,1.000,1.000,0.886,1.000,1.000,0.886,1.000,1.000,0.307,0.299,0.640,0.331,0.451,0.723,20,12
20,3788,8,121.630,91.324,0.892,1.000,1.000,0.892,1.000,1.000,0.892,1.000,1.000,0.361,0.525,0.810,0.820,0.974,0.984,22,9
