ID	did	seurat_cluster	kmeans_cluster	labels
Cell1	1	19	13	63
Cell2	1	3	19	61
Cell3	1	2	27	25
Cell4	1	5	15	30
Cell5	1	15	48	50
Cell6	1	7	31	25
Cell7	1	2	56	14
Cell8	1	3	60	48
Cell9	1	1	63	57
Cell10	1	8	54	49
Cell11	1	2	27	15
Cell12	1	9	14	29
Cell13	1	5	44	25
Cell14	1	13	44	29
Cell15	1	7	36	8
Cell16	1	1	53	57
Cell17	1	19	13	63
Cell18	1	1	8	28
Cell19	1	11	47	33
Cell20	1	2	29	20
Cell21	1	1	8	28
Cell22	1	6	10	17
Cell23	1	4	28	34
Cell24	1	7	36	8
Cell25	1	2	29	16
Cell26	1	1	17	32
Cell27	1	8	41	35
Cell28	1	3	19	44
Cell29	1	22	62	21
Cell30	1	13	44	56
Cell31	1	6	9	28
Cell32	1	2	29	15
Cell33	1	9	49	9
Cell34	1	18	50	6
Cell35	1	6	40	27
Cell36	1	6	61	3
Cell37	1	2	26	54
Cell38	1	6	61	7
Cell39	1	2	1	20
Cell40	1	6	40	26
Cell41	1	5	60	53
Cell42	1	2	4	31
Cell43	1	5	15	47
Cell44	1	1	33	60
Cell45	1	8	45	51
Cell46	1	8	52	31
Cell47	1	6	22	40
Cell48	1	2	1	1
Cell49	1	12	58	52
Cell50	1	3	57	35
Cell51	1	7	31	45
Cell52	1	8	45	39
Cell53	1	16	6	60
Cell54	1	20	3	55
Cell55	1	12	58	58
Cell56	1	11	32	17
Cell57	1	3	19	44
Cell58	1	8	52	38
Cell59	1	14	2	7
Cell60	1	8	45	39
Cell61	1	8	54	49
Cell62	1	4	28	27
Cell63	1	1	11	51
Cell64	1	17	18	18
Cell65	1	18	55	6
Cell66	1	16	6	11
Cell67	1	2	46	54
Cell68	1	1	43	28
Cell69	1	16	6	4
Cell70	1	21	35	47
Cell71	1	6	22	31
Cell72	1	2	56	14
Cell73	1	20	25	55
Cell74	1	8	45	39
Cell75	1	9	14	25
Cell76	1	7	31	40
Cell77	1	12	59	58
Cell78	1	10	34	36
Cell79	1	2	56	14
Cell80	1	11	32	16
Cell81	1	8	41	38
Cell82	1	5	60	53
Cell83	1	4	39	42
Cell84	1	2	29	19
Cell85	1	6	10	17
Cell86	1	1	8	59
Cell88	1	5	60	53
Cell89	1	10	34	36
Cell90	1	6	40	26
Cell92	1	6	37	1
Cell93	1	8	41	38
Cell94	1	3	19	61
Cell95	1	5	5	47
Cell96	1	7	36	27
Cell97	1	1	53	60
Cell98	1	7	31	40
Cell99	1	13	44	10
Cell100	1	21	51	60
Cell101	1	10	34	60
Cell102	1	4	39	42
Cell103	1	7	36	8
Cell104	1	1	17	13
Cell105	1	20	25	55
Cell106	1	22	16	21
Cell108	1	21	35	24
Cell109	1	22	16	21
Cell110	1	7	21	7
Cell111	1	9	49	23
Cell112	1	17	18	18
Cell113	1	4	7	31
Cell114	1	16	6	4
Cell115	1	2	27	61
Cell116	1	4	39	42
Cell117	1	2	29	23
Cell118	1	2	29	23
Cell119	1	2	26	54
Cell120	1	10	30	54
Cell121	1	4	38	15
Cell122	1	2	26	54
Cell123	1	1	33	19
Cell124	1	5	15	35
Cell125	1	2	4	43
Cell126	1	8	41	64
Cell127	1	6	22	45
Cell128	1	1	33	13
Cell130	1	8	45	64
Cell131	1	19	13	63
Cell132	1	9	49	59
Cell133	1	10	30	22
Cell134	1	6	10	1
Cell135	1	3	57	34
Cell137	1	12	58	58
Cell138	1	6	22	2
Cell139	1	2	56	14
Cell140	1	3	12	25
Cell141	1	2	56	33
Cell142	1	21	35	13
Cell143	1	1	43	5
Cell144	1	6	9	3
Cell145	1	17	18	18
Cell146	1	3	30	15
Cell147	1	22	62	21
Cell148	1	9	14	59
Cell149	1	8	52	62
Cell150	1	13	44	10
Cell151	1	8	54	49
Cell152	1	12	58	58
Cell153	1	14	2	41
Cell154	1	20	64	27
Cell155	1	1	11	2
Cell156	1	17	18	18
Cell157	1	3	57	25
Cell158	1	11	32	33
Cell159	1	18	50	6
Cell160	1	4	39	42
Cell161	1	4	28	43
Cell162	1	7	21	16
Cell163	1	2	4	23
Cell164	1	3	60	54
Cell165	1	6	40	29
Cell166	1	7	31	34
Cell167	1	2	56	14
Cell168	1	9	49	9
Cell169	1	10	34	36
Cell170	1	5	42	31
Cell172	1	3	19	35
Cell173	1	5	18	16
Cell174	1	7	21	2
Cell175	1	1	17	27
Cell176	1	2	46	54
Cell177	1	17	18	18
Cell178	1	8	41	38
Cell179	1	1	43	19
Cell180	1	2	29	24
Cell181	1	20	3	55
Cell182	1	12	59	61
Cell183	1	20	3	55
Cell184	1	6	22	9
Cell185	1	3	12	48
Cell186	1	3	57	48
Cell187	1	7	31	8
Cell188	1	4	7	5
Cell189	1	8	52	59
Cell190	1	1	17	12
Cell191	1	4	7	30
Cell192	1	11	42	52
Cell193	1	2	47	14
Cell194	1	20	25	55
Cell196	1	19	13	63
Cell197	1	4	7	34
Cell198	1	1	33	43
Cell199	1	14	2	41
Cell200	1	5	5	10
Cell201	1	15	48	50
Cell202	1	2	29	23
Cell203	1	5	5	10
Cell204	1	2	56	14
Cell205	1	5	60	53
Cell206	1	6	40	26
Cell207	1	18	50	6
Cell208	1	5	5	16
Cell209	1	9	24	56
Cell210	1	17	18	47
Cell211	1	11	4	52
Cell212	1	2	4	27
Cell214	1	11	42	52
Cell215	1	22	62	21
Cell216	1	8	41	38
Cell217	1	3	19	44
Cell218	1	9	36	56
Cell219	1	2	47	14
Cell220	1	19	13	63
Cell221	1	6	40	26
Cell222	1	22	62	21
Cell223	1	6	40	26
Cell225	1	9	14	2
Cell226	1	4	7	34
Cell227	1	4	11	15
Cell228	1	3	19	44
Cell229	1	9	24	10
Cell230	1	6	22	9
Cell231	1	1	47	5
Cell232	1	5	60	48
Cell233	1	1	53	28
Cell234	1	7	36	8
Cell235	1	20	25	55
Cell236	1	6	22	9
Cell237	1	1	63	28
