ID	did	seurat_cluster	kmeans_cluster	labels
Cell1	1	1	1	1
Cell2	1	4	1	1
Cell3	1	9	2	2
Cell4	1	2	2	2
Cell5	1	8	1	1
Cell6	1	6	2	2
Cell7	1	5	2	2
Cell8	1	10	1	1
Cell9	1	8	1	1
Cell10	1	4	1	1
Cell11	1	7	2	2
Cell12	1	2	2	2
Cell13	1	5	2	2
Cell14	1	7	2	2
Cell15	1	2	2	2
Cell16	1	8	1	1
Cell17	1	1	1	1
Cell18	1	6	2	2
Cell19	1	9	2	2
Cell20	1	2	2	2
Cell21	1	5	2	2
Cell22	1	5	2	2
Cell23	1	8	1	1
Cell24	1	2	2	2
Cell25	1	5	2	2
Cell26	1	12	2	2
Cell27	1	10	1	1
Cell28	1	4	1	1
Cell29	1	6	2	2
Cell30	1	11	1	1
Cell31	1	2	2	2
Cell32	1	7	2	2
Cell33	1	9	2	2
Cell34	1	7	2	2
Cell35	1	2	2	2
Cell36	1	5	2	2
Cell37	1	3	1	1
Cell38	1	5	2	2
Cell39	1	5	2	2
Cell40	1	6	2	2
Cell41	1	11	1	1
Cell42	1	6	2	2
Cell43	1	11	1	1
Cell44	1	3	1	1
Cell45	1	10	1	1
Cell46	1	12	2	2
Cell47	1	1	1	1
Cell48	1	4	1	1
Cell49	1	1	1	1
Cell50	1	4	1	1
Cell51	1	8	1	1
Cell52	1	11	1	1
Cell53	1	4	1	1
Cell54	1	1	1	1
Cell55	1	10	1	1
Cell56	1	6	2	2
Cell57	1	8	1	1
Cell58	1	8	1	1
Cell59	1	2	2	2
Cell60	1	4	1	1
Cell61	1	4	1	1
Cell62	1	7	2	2
Cell63	1	8	1	1
Cell64	1	2	2	2
Cell65	1	2	2	2
Cell66	1	5	2	2
Cell67	1	8	1	1
Cell68	1	5	2	2
Cell69	1	2	2	2
Cell70	1	8	1	1
Cell71	1	6	2	2
Cell72	1	2	2	2
Cell73	1	4	1	1
Cell74	1	1	1	1
Cell75	1	7	2	2
Cell76	1	1	1	1
Cell77	1	1	1	1
Cell78	1	4	1	1
Cell79	1	2	2	2
Cell80	1	9	2	2
Cell81	1	1	1	1
Cell82	1	11	1	1
Cell83	1	1	1	1
Cell84	1	6	2	2
Cell85	1	5	2	2
Cell86	1	11	1	1
Cell88	1	11	1	1
Cell89	1	3	1	1
Cell90	1	2	2	2
Cell92	1	1	1	1
Cell93	1	1	1	1
Cell94	1	1	1	1
Cell95	1	1	1	1
Cell96	1	12	2	2
Cell97	1	1	1	1
Cell98	1	8	1	1
Cell99	1	6	2	2
Cell100	1	3	1	1
Cell101	1	4	1	1
Cell102	1	1	1	1
Cell103	1	2	2	2
Cell104	1	6	2	2
Cell105	1	10	1	1
Cell106	1	12	2	2
Cell108	1	6	2	2
Cell109	1	7	2	2
Cell110	1	2	2	2
Cell111	1	5	2	2
Cell112	1	2	2	2
Cell113	1	5	2	2
Cell114	1	6	2	2
Cell115	1	1	1	1
Cell116	1	4	1	1
Cell117	1	5	2	2
Cell118	1	9	2	2
Cell119	1	11	1	1
Cell120	1	4	1	1
Cell121	1	5	2	2
Cell122	1	10	1	1
Cell123	1	5	2	2
Cell124	1	11	1	1
Cell125	1	10	1	1
Cell126	1	3	1	1
Cell127	1	8	1	1
Cell128	1	5	2	2
Cell129	1	4	1	1
Cell131	1	3	1	1
Cell132	1	3	1	1
Cell133	1	9	2	2
Cell134	1	8	1	1
Cell135	1	3	1	1
Cell137	1	4	1	1
Cell138	1	5	2	2
Cell139	1	2	2	2
Cell140	1	5	2	2
Cell141	1	7	2	2
Cell142	1	5	2	2
Cell143	1	5	2	2
Cell144	1	9	2	2
Cell145	1	2	2	2
