,Benchmark,Instance #,Cluster #,mo-time
0,ICELL8_SE_A_kallisto_umap.csv,571,4,213.66370272636414
1,ICELL8_SE_B_kallisto_umap.csv,553,5,233.45318865776062
2,10X_LLU_A_cellranger2.0_umap.csv,2505,7,1033.786295890808
3,10X_LLU_A_cellranger3.1_umap.csv,2825,7,1163.5210464000702
4,10X_LLU_A_umitools_umap.csv,2476,7,1025.2799005508423
5,10X_LLU_A_zumi_umap.csv,2825,7,1167.8749513626099
6,10X_LLU_B_cellranger2.0_umap.csv,1211,5,436.40440702438354
7,10X_LLU_B_cellranger3.1_umap.csv,1327,5,474.91606521606445
8,10X_LLU_B_umitools_umap.csv,1184,5,430.5900225639343
9,10X_LLU_B_zumi_umap.csv,1207,5,437.68078804016113
10,10X_NCI_A_cellranger2.0_umap.csv,5355,8,2398.763203859329
11,10X_NCI_A_cellranger3.1_umap.csv,6050,10,3220.5222113132477
12,10X_NCI_A_umitools_umap.csv,5344,9,2629.108077287674
13,10X_NCI_A_zumi_umap.csv,5385,8,2407.5413155555725
14,10X_NCI_B_cellranger2.0_umap.csv,2585,7,1065.3208982944489
15,10X_NCI_B_cellranger3.1_umap.csv,3059,8,1383.5565519332886
16,10X_NCI_B_umitools_umap.csv,2630,7,1095.757215499878
17,10X_NCI_B_zumi_umap.csv,2836,7,1166.236536026001
18,10X_NCI_M_A_cellranger2.0_umap.csv,5354,8,2371.849543571472
19,10X_NCI_M_A_cellranger3.1_umap.csv,6097,9,2989.073478460312
20,10X_NCI_M_A_umitools_umap.csv,5339,8,2398.2012321949005
21,10X_NCI_M_A_zumi_umap.csv,5416,9,2673.7637095451355
22,10X_NCI_M_B_cellranger2.0_umap.csv,2589,7,1072.5743906497955
23,10X_NCI_M_B_cellranger3.1_umap.csv,3046,8,1378.0376150608063
24,10X_NCI_M_B_umitools_umap.csv,2628,7,1088.8365037441254
25,10X_NCI_M_B_zumi_umap.csv,2805,8,1280.3733055591583
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,105.8905816078186
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,108.68746995925903
28,C1_FDA_HT_A_rsem_umap.csv,197,3,108.74438977241516
29,C1_FDA_HT_B_featureCounts_umap.csv,231,3,114.93024444580078
30,C1_FDA_HT_B_kallisto_umap.csv,224,3,115.99585151672363
31,C1_FDA_HT_B_rsem_umap.csv,231,3,116.24078512191772
32,C1_LLU_A_featureCounts_umap.csv,70,3,76.98376750946045
33,C1_LLU_A_kallisto_umap.csv,72,3,81.95667672157288
34,C1_LLU_A_rsem_umap.csv,71,3,80.43247604370117
35,C1_LLU_B_featureCounts_umap.csv,59,3,78.88311553001404
36,C1_LLU_B_kallisto_umap.csv,60,3,79.47742938995361
37,C1_LLU_B_rsem_umap.csv,60,3,75.66280174255371
38,ICELL8_PE_A_featureCounts_umap.csv,568,4,212.37749671936035
39,ICELL8_PE_A_kallisto_umap.csv,570,4,211.3203318119049
40,ICELL8_PE_A_rsem_umap.csv,563,4,210.0268874168396
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,207.72313404083252
42,ICELL8_PE_B_kallisto_umap.csv,551,4,208.32404136657715
43,ICELL8_PE_B_rsem_umap.csv,548,4,207.93000841140747
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,209.82663702964783
45,ICELL8_SE_A_rsem_umap.csv,569,4,212.73676466941833
46,ICELL8_SE_B_featureCounts_umap.csv,550,4,207.6825749874115
47,ICELL8_SE_B_rsem_umap.csv,549,4,207.04139828681946
