,instance #,labels #,moea-time,soea-time,moea-sil,moea-ARI,moea-NMI,soea-sil,soea-ARI,soea-NMI,kmeans-sil,kmeasn-ARI,kmeans-NMI,phe-sil,phe-ARI,phe-NMI,seurat_sil,seurat-ARI,seurat-NMI,phe-clusters,seurat-clusters
0,957,2,141.726,102.968,0.855,1.000,1.000,0.855,1.000,1.000,0.855,1.000,1.000,0.329,0.172,0.439,0.366,0.313,0.535,12,7
1,953,4,183.037,143.017,0.905,1.000,1.000,0.905,1.000,1.000,0.905,1.000,1.000,0.369,0.415,0.706,0.462,0.748,0.854,13,7
2,953,8,265.411,225.170,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,8,8
3,959,16,432.723,382.458,0.843,0.974,0.979,0.843,0.974,0.978,0.843,0.972,0.977,0.843,0.976,0.981,0.843,0.976,0.981,16,16
4,953,32,749.651,685.887,0.545,0.609,0.743,0.559,0.623,0.745,0.555,0.630,0.749,0.527,0.516,0.734,0.482,0.409,0.704,20,17
5,951,64,1391.799,1294.454,0.335,0.163,0.517,0.293,0.149,0.506,0.380,0.166,0.524,0.351,0.101,0.382,0.352,0.059,0.289,15,8
6,1892,2,230.642,177.478,0.874,1.000,1.000,0.874,1.000,1.000,0.874,1.000,1.000,0.320,0.127,0.395,0.318,0.241,0.487,18,9
7,1896,4,311.250,257.831,0.882,1.000,1.000,0.882,1.000,1.000,0.882,1.000,1.000,0.325,0.347,0.667,0.333,0.578,0.782,17,9
8,1895,8,477.001,418.113,0.898,1.000,1.000,0.898,1.000,1.000,0.898,1.000,1.000,0.355,0.650,0.860,0.898,1.000,1.000,16,8
9,1898,16,938.187,862.245,0.837,0.964,0.972,0.816,0.911,0.961,0.838,0.963,0.971,0.836,0.961,0.972,0.851,0.926,0.967,16,15
10,1900,32,1576.286,1322.536,0.591,0.661,0.757,0.558,0.634,0.751,0.584,0.651,0.755,0.580,0.564,0.750,0.584,0.547,0.746,22,21
11,1902,64,2927.266,3224.894,0.359,0.257,0.523,0.316,0.229,0.513,0.395,0.269,0.533,0.383,0.186,0.470,0.354,0.137,0.430,23,16
12,2836,2,429.588,339.337,0.881,1.000,1.000,0.881,1.000,1.000,0.881,1.000,1.000,0.305,0.111,0.384,0.302,0.203,0.458,19,11
13,2841,4,595.740,496.448,0.896,1.000,1.000,0.896,1.000,1.000,0.896,1.000,1.000,0.328,0.337,0.663,0.343,0.457,0.724,17,12
14,2843,8,923.925,808.952,0.876,1.000,1.000,0.876,1.000,1.000,0.876,1.000,1.000,0.369,0.557,0.820,0.876,1.000,1.000,21,8
15,2841,16,1531.300,1386.431,0.849,0.924,0.960,0.849,0.971,0.974,0.849,0.971,0.974,0.849,0.971,0.975,0.848,0.971,0.974,16,16
16,2839,32,2694.176,2491.094,0.582,0.612,0.743,0.587,0.645,0.751,0.593,0.658,0.758,0.574,0.603,0.755,0.578,0.550,0.745,25,22
17,2845,64,5107.267,4763.548,0.357,0.269,0.507,0.366,0.294,0.507,0.414,0.319,0.525,0.386,0.199,0.476,0.347,0.157,0.453,25,19
18,3792,2,553.402,443.467,0.866,1.000,1.000,0.866,1.000,1.000,0.866,1.000,1.000,0.285,0.100,0.371,0.311,0.197,0.454,22,11
19,3798,4,781.798,653.149,0.886,1.000,1.000,0.886,1.000,1.000,0.886,1.000,1.000,0.323,0.274,0.630,0.331,0.451,0.723,21,12
20,3788,8,1202.291,1063.154,0.892,1.000,1.000,0.892,1.000,1.000,0.892,1.000,1.000,0.360,0.507,0.803,0.820,0.974,0.984,23,9
21,3783,16,1999.479,1821.911,0.850,0.911,0.959,0.828,0.965,0.970,0.828,0.964,0.970,0.828,0.965,0.970,0.828,0.966,0.971,16,16
22,3791,32,3578.168,3300.763,0.655,0.765,0.842,0.652,0.762,0.839,0.662,0.778,0.845,0.652,0.771,0.845,0.635,0.683,0.832,31,25
23,3792,64,6746.348,6287.596,0.377,0.297,0.535,0.391,0.303,0.527,0.416,0.321,0.540,0.405,0.241,0.520,0.388,0.194,0.494,28,21
24,4739,2,675.408,545.351,0.885,1.000,1.000,0.885,1.000,1.000,0.885,1.000,1.000,0.285,0.093,0.366,0.311,0.176,0.441,23,12
25,4742,4,956.274,809.773,0.876,1.000,1.000,0.876,1.000,1.000,0.876,1.000,1.000,0.310,0.273,0.627,0.331,0.426,0.709,22,13
26,4744,8,1478.931,1315.692,0.881,1.000,1.000,0.881,1.000,1.000,0.881,1.000,1.000,0.358,0.486,0.792,0.532,0.809,0.910,25,13
27,4744,16,2467.511,2097.284,0.843,0.918,0.968,0.851,0.976,0.980,0.851,0.976,0.980,0.851,0.976,0.980,0.851,0.975,0.979,16,16
28,4746,32,3473.993,3207.131,0.677,0.738,0.831,0.649,0.757,0.833,0.676,0.782,0.840,0.680,0.748,0.838,0.651,0.689,0.831,28,25
29,4740,64,6603.268,6325.499,0.410,0.362,0.553,0.373,0.324,0.543,0.436,0.368,0.556,0.408,0.286,0.537,0.360,0.199,0.501,32,22
30,5697,2,592.464,485.759,0.870,1.000,1.000,0.870,1.000,1.000,0.870,1.000,1.000,0.285,0.092,0.365,0.312,0.148,0.419,23,14
31,5687,4,847.806,724.113,0.887,1.000,1.000,0.887,1.000,1.000,0.887,1.000,1.000,0.299,0.235,0.604,0.321,0.411,0.699,26,14
32,5690,8,1349.748,1203.165,0.889,1.000,1.000,0.889,1.000,1.000,0.889,1.000,1.000,0.333,0.485,0.792,0.530,0.807,0.909,25,13
33,5682,16,2278.136,2079.382,0.812,0.773,0.920,0.810,0.946,0.957,0.810,0.945,0.957,0.769,0.925,0.948,0.808,0.945,0.956,17,16
34,5691,32,4134.863,3850.056,0.626,0.726,0.813,0.630,0.731,0.812,0.639,0.749,0.820,0.628,0.742,0.821,0.613,0.662,0.807,30,25
35,5691,64,7914.198,7359.950,0.401,0.335,0.559,0.384,0.339,0.563,0.453,0.381,0.571,0.430,0.287,0.554,0.429,0.260,0.541,31,27
36,6653,2,687.247,562.138,0.880,1.000,1.000,0.880,1.000,1.000,0.880,1.000,1.000,0.272,0.088,0.359,0.319,0.148,0.418,25,14
37,6643,4,987.970,843.566,0.864,1.000,1.000,0.864,1.000,1.000,0.864,1.000,1.000,0.312,0.236,0.607,0.337,0.400,0.697,25,14
38,6648,8,1574.833,1397.453,0.892,1.000,1.000,0.892,1.000,1.000,0.892,1.000,1.000,0.327,0.471,0.789,0.535,0.815,0.911,25,13
39,6645,16,2654.735,2431.989,0.788,0.855,0.903,0.776,0.874,0.908,0.776,0.872,0.907,0.698,0.831,0.888,0.774,0.876,0.910,19,16
40,6640,32,4811.386,4473.499,0.684,0.771,0.846,0.674,0.777,0.843,0.678,0.774,0.841,0.670,0.770,0.841,0.677,0.747,0.845,31,28
41,6643,64,9186.097,8627.217,0.383,0.326,0.569,0.360,0.335,0.566,0.447,0.380,0.577,0.390,0.292,0.564,0.404,0.232,0.539,33,26
42,7600,2,779.024,645.871,0.885,1.000,1.000,0.885,1.000,1.000,0.885,1.000,1.000,0.268,0.077,0.346,0.303,0.135,0.405,29,16
43,7602,4,1126.042,970.187,0.877,1.000,1.000,0.877,1.000,1.000,0.877,1.000,1.000,0.298,0.227,0.601,0.328,0.352,0.672,26,16
44,7598,8,1784.321,1591.285,0.873,1.000,1.000,0.873,1.000,1.000,0.873,1.000,1.000,0.337,0.428,0.770,0.472,0.752,0.891,29,14
45,7601,16,3050.225,2775.984,0.847,0.923,0.969,0.790,0.889,0.952,0.816,0.965,0.973,0.728,0.921,0.951,0.816,0.963,0.972,19,16
46,7602,32,5524.725,5118.113,0.661,0.706,0.789,0.646,0.707,0.786,0.663,0.715,0.788,0.660,0.706,0.793,0.653,0.650,0.794,29,25
47,7596,64,10508.716,9816.994,0.407,0.352,0.547,0.369,0.331,0.545,0.446,0.378,0.558,0.409,0.283,0.544,0.404,0.239,0.526,34,26
48,8560,2,876.243,725.794,0.879,1.000,1.000,0.879,1.000,1.000,0.879,1.000,1.000,0.289,0.070,0.341,0.285,0.128,0.398,30,17
49,8550,4,1249.991,1079.095,0.881,1.000,1.000,0.881,1.000,1.000,0.881,1.000,1.000,0.309,0.217,0.596,0.332,0.374,0.683,27,15
50,8536,8,1985.433,1783.476,0.881,1.000,1.000,0.881,1.000,1.000,0.881,1.000,1.000,0.338,0.424,0.767,0.330,0.649,0.860,30,16
