,instance #,labels #,moea-time,soea-time,moea-sil,moea-ARI,moea-NMI,soea-sil,soea-ARI,soea-NMI,kmeans-sil,kmeasn-ARI,kmeans-NMI,phe-sil,phe-ARI,phe-NMI,seurat_sil,seurat-ARI,seurat-NMI,phe-clusters,seurat-clusters
0,957,2,58.407,29.584,0.855,1.000,1.000,0.855,1.000,1.000,0.855,1.000,1.000,0.323,0.171,0.439,0.366,0.313,0.535,12,7
1,953,4,60.564,34.326,0.905,1.000,1.000,0.905,1.000,1.000,0.905,1.000,1.000,0.377,0.424,0.708,0.462,0.748,0.854,13,7
2,953,8,64.742,41.160,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,8,8
3,959,16,76.980,54.360,0.843,0.972,0.977,0.843,0.974,0.978,0.843,0.972,0.977,0.843,0.976,0.981,0.843,0.976,0.981,16,16
4,953,32,106.361,81.395,0.541,0.607,0.739,0.536,0.611,0.740,0.559,0.623,0.747,0.525,0.515,0.733,0.482,0.409,0.704,20,17
5,951,64,166.485,134.479,0.330,0.152,0.515,0.317,0.154,0.513,0.363,0.151,0.523,0.346,0.097,0.374,0.352,0.059,0.289,14,8
6,1892,2,65.054,36.553,0.874,1.000,1.000,0.874,1.000,1.000,0.874,1.000,1.000,0.323,0.138,0.407,0.318,0.241,0.487,16,9
7,1896,4,69.568,43.218,0.882,1.000,1.000,0.882,1.000,1.000,0.882,1.000,1.000,0.326,0.344,0.670,0.333,0.578,0.782,16,9
8,1895,8,83.712,56.159,0.898,1.000,1.000,0.898,1.000,1.000,0.898,1.000,1.000,0.356,0.655,0.861,0.898,1.000,1.000,16,8
9,1898,16,107.853,80.561,0.850,0.928,0.968,0.774,0.890,0.945,0.838,0.963,0.971,0.836,0.962,0.970,0.851,0.926,0.967,16,15
10,1900,32,160.552,130.771,0.601,0.651,0.758,0.577,0.661,0.758,0.595,0.658,0.755,0.584,0.564,0.750,0.584,0.547,0.746,22,21
11,1902,64,275.126,234.083,0.352,0.244,0.516,0.331,0.237,0.517,0.406,0.285,0.532,0.378,0.190,0.465,0.354,0.137,0.430,22,16
12,2836,2,69.997,42.714,0.881,1.000,1.000,0.881,1.000,1.000,0.881,1.000,1.000,0.302,0.117,0.390,0.302,0.203,0.458,18,11
13,2841,4,81.161,53.115,0.896,1.000,1.000,0.896,1.000,1.000,0.896,1.000,1.000,0.305,0.323,0.655,0.343,0.457,0.724,18,12
14,2843,8,101.238,71.519,0.876,1.000,1.000,0.876,1.000,1.000,0.876,1.000,1.000,0.369,0.559,0.824,0.876,1.000,1.000,20,8
15,2841,16,137.821,110.918,0.847,0.922,0.958,0.849,0.971,0.974,0.849,0.971,0.974,0.848,0.972,0.975,0.848,0.971,0.974,16,16
16,2839,32,219.386,183.540,0.595,0.636,0.752,0.567,0.641,0.757,0.593,0.649,0.755,0.573,0.604,0.755,0.578,0.550,0.745,25,22
17,2845,64,386.774,334.731,0.357,0.286,0.514,0.344,0.281,0.512,0.415,0.307,0.521,0.391,0.207,0.477,0.347,0.157,0.453,25,19
18,3792,2,80.757,49.057,0.866,1.000,1.000,0.866,1.000,1.000,0.866,1.000,1.000,0.274,0.106,0.379,0.311,0.197,0.454,20,11
19,3798,4,97.482,62.563,0.886,1.000,1.000,0.886,1.000,1.000,0.886,1.000,1.000,0.303,0.251,0.617,0.331,0.451,0.723,23,12
20,3788,8,121.268,89.403,0.892,1.000,1.000,0.892,1.000,1.000,0.892,1.000,1.000,0.354,0.525,0.806,0.820,0.974,0.984,23,9
21,3783,16,173.251,135.730,0.850,0.911,0.959,0.776,0.900,0.952,0.828,0.964,0.970,0.828,0.966,0.971,0.828,0.966,0.971,16,16
22,3791,32,278.606,235.392,0.663,0.771,0.844,0.644,0.754,0.835,0.662,0.777,0.844,0.652,0.772,0.845,0.635,0.683,0.832,31,25
