,instance #,labels #,moea-time,soea-time,moea-sil,moea-ARI,moea-NMI,soea-sil,soea-ARI,soea-NMI,kmeans-sil,kmeasn-ARI,kmeans-NMI,phe-sil,phe-ARI,phe-NMI,seurat_sil,seurat-ARI,seurat-NMI,phe-clusters,seurat-clusters
0,957,2,59.888,31.584,0.855,1.000,1.000,0.855,1.000,1.000,0.855,1.000,1.000,0.347,0.185,0.450,0.366,0.313,0.535,11,7
1,953,4,61.759,34.992,0.905,1.000,1.000,0.905,1.000,1.000,0.905,1.000,1.000,0.359,0.446,0.721,0.462,0.748,0.854,12,7
2,953,8,67.025,42.354,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,8,8
3,959,16,78.982,56.464,0.843,0.972,0.977,0.787,0.900,0.954,0.843,0.972,0.977,0.843,0.976,0.981,0.843,0.976,0.981,16,16
4,953,32,109.704,88.341,0.554,0.615,0.745,0.538,0.616,0.745,0.559,0.631,0.749,0.527,0.513,0.730,0.482,0.409,0.704,20,17
5,951,64,175.743,144.433,0.326,0.143,0.512,0.290,0.155,0.516,0.373,0.157,0.521,0.351,0.100,0.383,0.352,0.059,0.289,15,8
6,1892,2,71.232,38.752,0.874,1.000,1.000,0.874,1.000,1.000,0.874,1.000,1.000,0.305,0.131,0.401,0.318,0.241,0.487,17,9
7,1896,4,71.997,44.791,0.882,1.000,1.000,0.882,1.000,1.000,0.882,1.000,1.000,0.334,0.346,0.666,0.333,0.578,0.782,17,9
8,1895,8,84.767,59.188,0.898,1.000,1.000,0.898,1.000,1.000,0.898,1.000,1.000,0.421,0.702,0.875,0.898,1.000,1.000,15,8
9,1898,16,111.164,86.241,0.847,0.923,0.965,0.821,0.909,0.960,0.838,0.964,0.971,0.834,0.960,0.969,0.851,0.926,0.967,16,15
10,1900,32,169.332,143.327,0.588,0.637,0.754,0.573,0.641,0.751,0.594,0.655,0.755,0.584,0.568,0.749,0.584,0.547,0.746,22,21
