,instance #,labels #,moea-time,soea-time,moea-sil,moea-ARI,moea-NMI,soea-sil,soea-ARI,soea-NMI,kmeans-sil,kmeasn-ARI,kmeans-NMI,phe-sil,phe-ARI,phe-NMI,seurat_sil,seurat-ARI,seurat-NMI,phe-clusters,seurat-clusters
0,957,2,61.625,30.997,0.855,1.000,1.000,0.855,1.000,1.000,0.855,1.000,1.000,0.326,0.171,0.438,0.366,0.313,0.535,12,7
1,953,4,62.204,34.236,0.905,1.000,1.000,0.905,1.000,1.000,0.905,1.000,1.000,0.372,0.429,0.709,0.462,0.748,0.854,13,7
2,953,8,69.610,41.670,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,8,8
3,959,16,77.443,57.157,0.818,0.788,0.933,0.843,0.972,0.977,0.843,0.972,0.977,0.843,0.976,0.981,0.843,0.976,0.981,16,16
4,953,32,112.027,86.536,0.530,0.608,0.742,0.540,0.619,0.748,0.548,0.613,0.744,0.526,0.515,0.733,0.482,0.409,0.704,20,17
5,951,64,174.208,142.890,0.336,0.167,0.521,0.313,0.158,0.511,0.372,0.160,0.521,0.350,0.102,0.386,0.352,0.059,0.289,15,8
6,1892,2,69.539,37.367,0.874,1.000,1.000,0.874,1.000,1.000,0.874,1.000,1.000,0.314,0.137,0.407,0.318,0.241,0.487,16,9
7,1896,4,71.688,45.903,0.882,1.000,1.000,0.882,1.000,1.000,0.882,1.000,1.000,0.325,0.365,0.676,0.333,0.578,0.782,16,9
8,1895,8,86.306,57.885,0.898,1.000,1.000,0.898,1.000,1.000,0.898,1.000,1.000,0.420,0.708,0.877,0.898,1.000,1.000,15,8
9,1898,16,111.437,84.897,0.846,0.922,0.964,0.838,0.964,0.971,0.838,0.964,0.971,0.834,0.960,0.969,0.851,0.926,0.967,16,15
10,1900,32,171.083,141.578,0.502,0.462,0.701,0.568,0.637,0.747,0.595,0.653,0.752,0.579,0.562,0.752,0.584,0.547,0.746,22,21
11,1902,64,295.350,253.429,0.340,0.254,0.522,0.330,0.248,0.518,0.400,0.271,0.529,0.389,0.184,0.467,0.354,0.137,0.430,22,16
12,2836,2,71.027,43.722,0.881,1.000,1.000,0.881,1.000,1.000,0.881,1.000,1.000,0.299,0.119,0.391,0.302,0.203,0.458,18,11
13,2841,4,83.727,55.818,0.896,1.000,1.000,0.896,1.000,1.000,0.896,1.000,1.000,0.335,0.324,0.655,0.343,0.457,0.724,18,12
14,2843,8,106.760,77.943,0.876,1.000,1.000,0.876,1.000,1.000,0.876,1.000,1.000,0.372,0.566,0.825,0.876,1.000,1.000,20,8
15,2841,16,143.213,117.223,0.850,0.922,0.961,0.849,0.971,0.974,0.849,0.971,0.974,0.848,0.972,0.975,0.848,0.971,0.974,16,16
16,2839,32,231.415,195.648,0.583,0.567,0.738,0.587,0.658,0.759,0.591,0.657,0.757,0.587,0.598,0.756,0.578,0.550,0.745,26,22
17,2845,64,414.480,363.776,0.375,0.295,0.511,0.325,0.277,0.510,0.416,0.319,0.523,0.388,0.204,0.480,0.347,0.157,0.453,25,19
18,3792,2,83.708,52.157,0.866,1.000,1.000,0.866,1.000,1.000,0.866,1.000,1.000,0.284,0.108,0.380,0.311,0.197,0.454,20,11
19,3798,4,100.594,66.607,0.886,1.000,1.000,0.886,1.000,1.000,0.886,1.000,1.000,0.326,0.272,0.629,0.331,0.451,0.723,21,12
20,3788,8,124.163,92.713,0.892,1.000,1.000,0.892,1.000,1.000,0.892,1.000,1.000,0.362,0.504,0.802,0.820,0.974,0.984,23,9
21,3783,16,179.475,144.461,0.850,0.911,0.959,0.809,0.890,0.951,0.828,0.964,0.970,0.828,0.965,0.970,0.828,0.966,0.971,16,16
22,3791,32,295.627,249.114,0.643,0.757,0.838,0.642,0.745,0.835,0.662,0.777,0.845,0.652,0.757,0.843,0.635,0.683,0.832,30,25
