"","UMAP_1","UMAP_2"
"Cell1",2.51340441770247,-0.309874216588613
"Cell2",2.56668715543441,0.687776972977045
"Cell3",-4.91696877413102,-0.631616930039999
"Cell4",1.66358535356215,2.07796495172155
"Cell5",2.2255337721794,0.909771611420039
"Cell6",-4.85844464235612,-0.755965147661444
"Cell7",-3.67196769647904,-0.715770891430256
"Cell8",0.15099134660653,-0.810215460630533
"Cell9",-2.35986490183183,1.19221525403631
"Cell10",-1.6400314085991,1.67127506944311
"Cell12",-4.64373202257463,-0.459044257672903
"Cell13",-4.63895363741227,-0.658672826858636
"Cell14",0.662866819569387,-0.732407829636176
"Cell15",-3.28907222681352,-2.55683321741449
"Cell16",1.71074144906691,1.26212184640539
"Cell17",3.04313616819076,-0.13595206526148
"Cell18",0.617537785240926,0.933304598060969
"Cell19",1.3482224232643,-3.214141915115
"Cell21",0.656255770394124,1.12354295465124
"Cell22",-0.711310755542003,-0.310448864968893
"Cell23",1.7366923577278,2.00462691995275
"Cell24",-2.85661883287736,-2.64385850218165
"Cell25",-1.62170751028367,1.96532004090917
"Cell26",2.2220461852043,3.31309073182714
"Cell27",-2.88542408876725,0.0449724099315437
"Cell28",-2.45642418794938,-1.85984642294275
"Cell29",0.960884381005086,-0.724810361890521
"Cell30",0.0226908735125438,-0.262553254636404
"Cell31",0.00365285194806018,0.758181383339289
"Cell32",0.596795845696248,-1.27375466612208
"Cell33",0.590399134823598,1.76842444154394
"Cell34",-0.486824881365977,2.50702111932409
"Cell35",0.240269351670064,-3.90202934530604
"Cell36",1.76993386811904,2.36856906625402
"Cell37",3.15966897077254,3.35069506379736
"Cell38",-2.74122567110368,0.502046277252558
"Cell39",-1.87244124346086,-1.93110615995752
"Cell40",-2.45469922952958,-0.233861515792486
"Cell41",-2.46165604524919,2.61581032487524
"Cell43",0.230542946526326,-1.6454448201977
"Cell44",-3.70861835413285,0.872522642341975
"Cell45",-3.99522490434953,1.05990128728521
"Cell46",2.56748681134871,0.398201276985529
"Cell47",-1.80983848505326,-0.397453913959142
"Cell48",-1.39505906038591,-1.50009722498285
"Cell49",-1.2089874260933,-0.873621279867765
"Cell50",-2.28097886972734,0.849481632439021
"Cell53",-1.04377849035569,0.897307564941767
"Cell54",-1.4689002745659,-3.36865336683619
"Cell55",-2.6003255360634,-0.452512929710027
"Cell56",-0.636462461283885,-0.496836493285772
"Cell57",-2.92480249338456,-0.728273812011283
"Cell58",1.9050102717369,1.84957640382421
"Cell59",-1.96473855905839,0.259836187092188
"Cell60",-0.0122935064942463,-3.29826290396082
"Cell61",1.68747859067611,1.60152881356848
"Cell62",0.158708944836177,-3.89989621427881
"Cell63",-3.97567696504899,1.32829063150061
"Cell65",-0.555096935561381,2.73139469834936
"Cell66",-1.72513813906022,3.40691559526098
"Cell67",3.06635122365645,3.47549669953955
"Cell68",0.703315246769704,1.08422677728308
"Cell69",1.55519609517745,-0.908638159307119
"Cell70",1.11121468610457,-2.24666816976893
"Cell71",-1.15494997434922,-0.570545385154363
"Cell73",-1.40974028044053,-3.37051327017176
"Cell74",0.176270853647508,-3.80455763128626
"Cell75",-5.02255721025773,-0.816697368892309
"Cell76",-1.99739379816362,-0.361954847844717
"Cell77",-2.45973939829179,-0.651018398376581
"Cell78",-3.0070740693123,-0.566807607682821
"Cell79",-2.28201718263932,-0.14475847271311
"Cell80",-2.19995613031694,1.58702604982031
"Cell81",1.11921196050338,2.91570322724951
"Cell82",-1.09437353544541,1.16375737401617
"Cell83",2.99327807492904,-1.67852557686197
"Cell84",1.2436435706108,-0.271296689780828
"Cell85",-0.414257299235545,-0.540776605280515
"Cell87",1.856824446389,1.96416776391638
"Cell88",3.79692583150557,1.20379178735388
"Cell89",1.3150033242195,-0.95252270487177
"Cell90",-1.06076712541886,1.49535100671423
"Cell91",-3.91378540926286,1.53462522241247
"Cell92",-0.641830634406291,-0.701544169830557
"Cell93",1.04494081802062,3.12169878694189
"Cell94",2.26244883603743,0.858498027054194
"Cell95",0.718958962628164,-1.77502424505579
"Cell96",0.0711828674315588,-4.13523919370997
"Cell97",-0.0320917182476147,0.796324183670405
"Cell98",-1.83154351644822,1.56542413446081
"Cell99",4.27695994443587,0.58644955369604
"Cell100",1.49253444738082,1.00756280633581
"Cell101",-0.804398011496745,-0.838020029040453
"Cell102",3.06138544149093,-1.30850286272394
"Cell103",-2.86562199526139,-2.59381038931238
"Cell104",0.151771161624707,-1.53784138944971
"Cell105",-1.40381593637773,-3.79741413381922
"Cell106",-0.495824229052745,-2.48287172106135
"Cell107",-1.49605746202775,3.50947277757299
"Cell108",2.43199544019393,0.242450704304102
"Cell109",-4.64407963686296,-0.369551996263143
"Cell110",-2.80716748171159,-0.269086758168813
"Cell111",-4.01855797701188,0.978868653503779
"Cell112",2.76900892324141,-3.37331564215052
"Cell114",2.51719932622603,2.63868777963293
"Cell115",1.46191828317336,1.86160199853552
"Cell117",-0.518427979281627,-2.27956790712702
"Cell118",-0.864997278979503,-3.10240490225184
"Cell119",2.93978934354476,3.44600479814184
"Cell120",3.04240231580428,3.70986836167944
"Cell121",0.0507284104018585,-0.277230719598409
"Cell122",2.94794516629867,3.34970562669409
"Cell123",0.812783945271291,4.34777825090063
"Cell124",2.06285004682235,2.37186901780737
"Cell125",-1.24336535864183,0.99091081830633
"Cell126",-2.62803358965226,0.566045930115107
"Cell128",2.02473311490706,0.0236202976383003
"Cell129",0.332020509907521,-3.70502502706873
"Cell130",-0.923716973593913,1.52894752236975
"Cell131",1.63297097749404,0.249241759506586
"Cell132",2.29802637166671,-1.12835303929674
"Cell133",-2.54812211923905,-2.12028701094019
"Cell135",-1.36540646486589,-3.90488607672083
"Cell136",0.294260505506314,-0.838734800490018
"Cell137",-2.2621633523018,0.346844484535578
"Cell138",0.736242700287618,0.717330386368159
"Cell139",-3.46195192270585,1.35085075112951
