ID	did	seurat_cluster	kmeans_cluster	labels
Cell1	1	16	31	32
Cell2	1	8	9	31
Cell3	1	5	2	13
Cell4	1	3	23	16
Cell5	1	2	22	26
Cell6	1	3	15	13
Cell7	1	4	15	8
Cell8	1	12	3	25
Cell9	1	3	23	29
Cell10	1	12	3	25
Cell12	1	18	24	15
Cell13	1	5	2	13
Cell14	1	18	24	15
Cell15	1	13	8	5
Cell16	1	3	15	29
Cell17	1	16	31	32
Cell18	1	18	24	15
Cell19	1	2	22	17
Cell21	1	18	24	15
Cell22	1	14	26	9
Cell23	1	17	21	18
Cell24	1	13	8	5
Cell25	1	14	26	9
Cell26	1	17	21	17
Cell27	1	17	28	18
Cell28	1	3	23	23
Cell29	1	7	30	11
Cell30	1	3	15	29
Cell31	1	18	24	15
Cell32	1	11	6	8
Cell33	1	13	8	5
Cell34	1	1	4	4
Cell35	1	1	6	14
Cell36	1	3	23	2
Cell37	1	8	9	28
Cell38	1	1	5	4
Cell39	1	7	30	11
Cell40	1	11	4	14
Cell41	1	21	25	27
Cell43	1	10	32	24
Cell44	1	2	22	31
Cell45	1	2	22	26
Cell46	1	1	19	16
Cell47	1	20	16	21
Cell48	1	2	14	1
Cell49	1	21	25	27
Cell50	1	17	21	18
Cell53	1	10	32	31
Cell54	1	8	9	28
Cell55	1	15	17	30
Cell56	1	14	26	9
Cell57	1	3	23	23
Cell58	1	4	7	20
Cell59	1	1	5	4
Cell60	1	4	7	20
Cell61	1	12	3	25
Cell62	1	5	29	14
Cell63	1	2	22	26
Cell65	1	1	19	4
Cell66	1	6	12	6
Cell67	1	8	9	28
Cell68	1	18	24	15
Cell69	1	3	23	3
Cell70	1	10	32	24
Cell71	1	7	30	16
Cell73	1	8	9	28
Cell74	1	4	7	20
Cell75	1	5	29	13
Cell76	1	20	27	21
Cell77	1	15	17	30
Cell78	1	6	12	19
Cell79	1	4	7	8
Cell80	1	14	26	9
Cell81	1	4	7	20
Cell82	1	21	25	27
Cell83	1	11	1	22
Cell84	1	19	13	10
Cell85	1	14	26	9
Cell87	1	10	32	24
Cell88	1	21	25	27
Cell89	1	21	25	19
Cell90	1	11	4	14
Cell91	1	2	22	26
Cell92	1	2	22	1
Cell93	1	4	7	20
Cell94	1	1	5	31
Cell95	1	10	32	24
Cell96	1	1	19	14
Cell97	1	8	9	31
Cell98	1	20	16	21
Cell99	1	6	12	6
Cell100	1	6	19	31
Cell101	1	6	12	31
Cell102	1	11	1	22
Cell103	1	13	8	5
Cell104	1	9	20	7
Cell105	1	8	9	28
Cell106	1	7	30	11
Cell107	1	6	12	6
Cell108	1	5	2	13
Cell109	1	7	30	11
Cell110	1	1	4	4
Cell111	1	1	14	12
Cell112	1	19	13	10
Cell114	1	12	3	3
Cell115	1	13	8	31
Cell117	1	5	29	12
Cell118	1	1	14	12
Cell119	1	8	9	28
Cell120	1	8	9	28
Cell121	1	4	15	8
Cell122	1	8	9	28
Cell123	1	19	13	10
Cell124	1	17	28	18
Cell125	1	11	1	22
Cell126	1	2	22	1
Cell127	1	2	22	23
Cell128	1	9	20	7
Cell129	1	4	7	20
Cell130	1	2	22	1
Cell131	1	16	31	32
Cell132	1	15	17	30
Cell133	1	1	14	12
Cell134	1	2	3	1
Cell135	1	17	28	18
Cell136	1	15	17	30
Cell137	1	15	17	30
Cell138	1	3	23	2
Cell139	1	4	7	8
Cell140	1	5	29	13
Cell141	1	1	19	17
Cell142	1	9	20	7
Cell143	1	3	32	3
Cell144	1	3	23	2
