,Unnamed: 0,instance #,labels #,moea-time,soea-time,moea-sil,moea-ARI,moea-NMI,soea-sil,soea-ARI,soea-NMI,kmeans-sil,kmeasn-ARI,kmeans-NMI,phe-sil,phe-ARI,phe-NMI,seurat_sil,seurat-ARI,seurat-NMI,phe-clusters,seurat-clusters
0,0.0,957.0,2.0,58.6804,30.259239999999995,0.8550000000000003,1.0,1.0,0.8550000000000003,1.0,1.0,0.8550000000000003,1.0,1.0,0.33576,0.17744,0.44376000000000004,0.3659999999999999,0.3129999999999999,0.535,11.6,7.0
1,1.0,953.0,4.0,60.42660000000001,34.09044,0.9050000000000001,1.0,1.0,0.9050000000000001,1.0,1.0,0.9050000000000001,1.0,1.0,0.3639199999999999,0.4374,0.7164800000000001,0.4619999999999999,0.748,0.8539999999999995,12.32,7.0
2,2.0,953.0,8.0,66.20284,41.389920000000004,0.8880000000000003,1.0,1.0,0.8880000000000003,1.0,1.0,0.8880000000000003,1.0,1.0,0.8880000000000003,1.0,1.0,0.8880000000000003,1.0,1.0,8.0,8.0
3,3.0,959.0,16.0,77.86000000000001,55.294279999999986,0.82744,0.8910800000000002,0.9568800000000001,0.83032,0.9564000000000001,0.97224,0.843,0.9720000000000002,0.9770000000000002,0.843,0.9759999999999994,0.9810000000000005,0.843,0.9759999999999994,0.9810000000000005,16.0,16.0
4,4.0,953.0,32.0,107.23872,83.07911999999999,0.5414000000000001,0.6182399999999999,0.7450799999999999,0.5369999999999999,0.61412,0.7442799999999999,0.54892,0.61772,0.7438800000000001,0.52552,0.5108,0.73128,0.4819999999999999,0.40900000000000003,0.7040000000000002,20.0,17.0
5,5.0,951.0,64.0,170.19896,138.10188000000005,0.32195999999999997,0.14891999999999997,0.51452,0.29816,0.15228000000000003,0.5123999999999999,0.36996,0.16259999999999997,0.52272,0.3471599999999999,0.10268000000000001,0.38564,0.3520000000000001,0.05899999999999996,0.28899999999999987,15.32,8.0
6,6.0,1892.0,2.0,68.27452,36.85916,0.8739999999999998,1.0,1.0,0.8739999999999998,1.0,1.0,0.8739999999999998,1.0,1.0,0.31388,0.13235999999999998,0.40212,0.31799999999999984,0.24099999999999994,0.48700000000000004,16.6,9.0
7,7.0,1896.0,4.0,70.76312,43.80527999999998,0.8820000000000001,1.0,1.0,0.8820000000000001,1.0,1.0,0.8820000000000001,1.0,1.0,0.32524000000000003,0.35540000000000005,0.6719999999999999,0.33300000000000013,0.5779999999999997,0.782,16.4,9.0
8,8.0,1895.0,8.0,83.22944,57.55648000000001,0.8979999999999998,1.0,1.0,0.8979999999999998,1.0,1.0,0.8979999999999998,1.0,1.0,0.4157600000000001,0.6991600000000001,0.8733600000000001,0.8979999999999998,1.0,1.0,15.28,8.0
9,9.0,1898.0,16.0,108.19468,83.42584000000001,0.85216,0.87372,0.95424,0.8300800000000002,0.9445199999999998,0.9673200000000002,0.8379999999999999,0.9638399999999996,0.971,0.8363599999999998,0.9612399999999997,0.97112,0.8509999999999995,0.9259999999999995,0.9669999999999997,16.0,15.0
10,10.0,1900.0,32.0,165.14644000000004,135.79764000000003,0.55372,0.5888,0.7377200000000002,0.5732400000000001,0.63988,0.7512000000000001,0.5882799999999999,0.65252,0.7539600000000002,0.58428,0.5681999999999999,0.75,0.5839999999999997,0.5470000000000002,0.7460000000000001,22.08,21.0
11,11.0,1902.0,64.0,284.45047999999997,241.75071999999997,0.34740000000000004,0.25092,0.52036,0.3292,0.24760000000000004,0.5183599999999999,0.39775999999999995,0.27255999999999997,0.5310000000000001,0.3739200000000001,0.17991999999999997,0.46460000000000007,0.354,0.137,0.4299999999999999,21.6,16.0
