ID	did	seurat_cluster	kmeans_cluster	labels
Cell1	1	17	55	63
Cell3	1	2	22	25
Cell4	1	2	22	30
Cell5	1	3	3	50
Cell6	1	2	29	25
Cell7	1	4	9	14
Cell8	1	14	21	48
Cell10	1	16	59	49
Cell11	1	5	38	15
Cell12	1	18	14	29
Cell13	1	2	29	25
Cell15	1	18	34	8
Cell16	1	10	23	57
Cell17	1	17	55	63
Cell18	1	17	55	28
Cell19	1	9	18	33
Cell20	1	2	29	20
Cell21	1	1	32	28
Cell22	1	6	60	17
Cell23	1	9	30	34
Cell24	1	18	34	8
Cell25	1	13	33	16
Cell26	1	2	39	32
Cell27	1	8	25	35
Cell28	1	8	40	44
Cell29	1	11	61	21
Cell30	1	15	7	56
Cell31	1	2	37	28
Cell32	1	5	38	15
Cell33	1	8	25	9
Cell34	1	6	17	6
Cell35	1	17	55	27
Cell36	1	7	2	3
Cell37	1	15	7	54
Cell38	1	2	19	7
Cell39	1	18	34	20
Cell40	1	11	43	26
Cell41	1	4	9	53
Cell42	1	1	45	31
Cell43	1	3	53	47
Cell44	1	5	24	60
Cell45	1	10	23	51
Cell46	1	1	52	31
Cell47	1	9	18	40
Cell48	1	5	38	1
Cell50	1	2	37	35
Cell52	1	19	56	39
Cell53	1	10	15	60
Cell54	1	3	3	55
Cell55	1	2	62	58
Cell56	1	6	60	17
Cell57	1	8	40	44
Cell59	1	12	6	7
Cell60	1	19	56	39
Cell61	1	16	57	49
Cell62	1	18	14	27
Cell63	1	10	23	51
Cell64	1	7	27	18
Cell65	1	6	17	6
Cell66	1	21	28	11
Cell67	1	15	7	54
Cell68	1	18	34	28
Cell70	1	4	42	47
Cell71	1	1	52	31
Cell72	1	4	9	14
Cell73	1	8	49	55
Cell74	1	19	56	39
Cell75	1	2	29	25
Cell76	1	1	52	40
Cell77	1	2	39	58
Cell79	1	4	46	14
Cell80	1	13	13	16
Cell81	1	4	42	38
Cell82	1	1	45	53
Cell83	1	5	38	42
Cell84	1	7	9	19
Cell85	1	6	60	17
Cell86	1	11	54	59
Cell87	1	4	9	47
Cell88	1	4	42	53
Cell89	1	6	17	36
Cell90	1	11	54	26
Cell91	1	10	23	51
Cell92	1	1	6	1
Cell93	1	4	10	38
Cell94	1	8	25	61
Cell95	1	7	27	47
Cell96	1	18	14	27
Cell97	1	4	50	60
Cell98	1	5	38	40
Cell99	1	13	13	10
Cell100	1	5	15	60
Cell101	1	5	38	60
Cell102	1	5	10	42
Cell103	1	18	34	8
Cell104	1	12	51	13
Cell105	1	5	38	55
Cell106	1	4	42	21
Cell107	1	21	28	11
Cell108	1	3	20	24
Cell109	1	11	26	21
Cell110	1	12	32	7
Cell111	1	6	17	23
Cell112	1	7	27	18
Cell113	1	1	52	31
Cell114	1	8	40	4
Cell115	1	8	25	61
Cell117	1	13	33	23
Cell118	1	6	11	23
Cell119	1	15	7	54
Cell120	1	15	7	54
Cell121	1	3	3	15
Cell122	1	15	7	54
Cell124	1	1	52	35
Cell125	1	8	49	43
Cell126	1	15	7	64
Cell127	1	7	2	45
Cell128	1	12	51	13
Cell129	1	19	56	39
Cell130	1	6	11	64
Cell131	1	17	55	63
Cell132	1	3	64	59
Cell133	1	1	5	22
Cell134	1	12	6	1
Cell135	1	9	4	34
Cell136	1	11	54	59
Cell137	1	16	48	58
Cell138	1	5	36	2
Cell139	1	7	1	14
Cell140	1	19	56	25
Cell141	1	9	18	33
Cell142	1	12	51	13
Cell143	1	5	36	5
Cell144	1	7	1	3
Cell145	1	7	27	18
Cell146	1	8	25	15
Cell147	1	8	49	21
Cell148	1	3	53	59
Cell149	1	2	39	62
Cell150	1	8	49	10
Cell151	1	16	57	49
Cell152	1	2	37	58
Cell153	1	20	58	41
Cell154	1	7	27	27
Cell155	1	9	63	2
Cell156	1	7	27	18
Cell157	1	2	29	25
Cell158	1	9	18	33
Cell159	1	6	17	6
Cell160	1	5	38	42
Cell161	1	5	36	43
Cell162	1	13	33	16
Cell163	1	10	15	23
Cell164	1	15	7	54
Cell165	1	3	3	29
Cell166	1	9	4	34
Cell167	1	4	9	14
Cell168	1	5	36	9
Cell169	1	6	31	36
Cell170	1	1	52	31
Cell171	1	2	62	45
Cell172	1	7	2	35
Cell173	1	13	13	16
Cell174	1	7	27	2
Cell175	1	11	26	27
Cell176	1	15	7	54
Cell177	1	7	27	18
Cell178	1	4	42	38
Cell179	1	4	9	19
Cell180	1	3	20	24
Cell181	1	5	24	55
Cell182	1	3	26	61
Cell183	1	3	53	55
Cell184	1	8	40	9
Cell185	1	14	21	48
Cell186	1	14	21	48
Cell187	1	18	34	8
Cell188	1	5	24	5
Cell189	1	3	64	59
Cell190	1	8	25	12
Cell191	1	2	39	30
Cell193	1	4	26	14
Cell194	1	8	49	55
Cell195	1	11	54	59
Cell196	1	17	41	63
Cell197	1	9	4	34
Cell198	1	2	37	43
Cell199	1	20	58	41
Cell200	1	1	6	10
Cell201	1	3	20	50
Cell202	1	6	31	23
Cell203	1	7	2	10
Cell204	1	11	54	14
Cell205	1	1	50	53
Cell206	1	11	43	26
Cell207	1	6	17	6
Cell208	1	13	13	16
Cell209	1	7	27	56
Cell210	1	11	54	47
Cell211	1	2	22	52
Cell212	1	7	2	27
Cell213	1	2	29	25
Cell214	1	2	22	52
Cell215	1	4	42	21
Cell216	1	4	9	38
Cell217	1	8	40	44
Cell218	1	11	61	56
Cell219	1	7	27	14
Cell220	1	17	55	63
Cell221	1	11	54	26
Cell222	1	4	50	21
Cell223	1	9	18	26
Cell224	1	2	37	58
Cell225	1	4	26	2
Cell226	1	9	4	34
Cell227	1	5	10	15
Cell228	1	8	40	44
Cell231	1	1	10	5
Cell232	1	14	21	48
Cell233	1	7	61	28
Cell234	1	18	34	8
Cell235	1	2	22	55
Cell236	1	3	20	9
Cell237	1	8	40	28
Cell238	1	10	23	57
