,instance #,labels #,moea-time,soea-time,moea-sil,moea-ARI,moea-NMI,soea-sil,soea-ARI,soea-NMI,kmeans-sil,kmeasn-ARI,kmeans-NMI,phe-sil,phe-ARI,phe-NMI,seurat_sil,seurat-ARI,seurat-NMI,phe-clusters,seurat-clusters
0,957,2,251.965,192.081,0.855,1.000,1.000,0.855,1.000,1.000,0.855,1.000,1.000,0.342,0.170,0.438,0.366,0.313,0.535,12,7
1,953,4,333.439,273.172,0.905,1.000,1.000,0.905,1.000,1.000,0.905,1.000,1.000,0.377,0.418,0.707,0.462,0.748,0.854,13,7
2,953,8,507.617,439.477,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,8,8
3,959,16,834.966,757.119,0.818,0.788,0.933,0.843,0.972,0.977,0.843,0.972,0.977,0.843,0.976,0.981,0.843,0.976,0.981,16,16
4,953,32,1483.905,1383.623,0.558,0.626,0.747,0.551,0.629,0.748,0.554,0.631,0.749,0.529,0.515,0.731,0.482,0.409,0.704,20,17
5,951,64,2560.985,2343.998,0.320,0.149,0.517,0.312,0.152,0.512,0.372,0.168,0.522,0.351,0.100,0.382,0.352,0.059,0.289,15,8
6,1892,2,381.011,304.936,0.874,1.000,1.000,0.874,1.000,1.000,0.874,1.000,1.000,0.310,0.117,0.388,0.318,0.241,0.487,19,9
7,1896,4,529.520,450.080,0.882,1.000,1.000,0.882,1.000,1.000,0.882,1.000,1.000,0.329,0.413,0.700,0.333,0.578,0.782,14,9
8,1895,8,831.363,748.739,0.898,1.000,1.000,0.898,1.000,1.000,0.898,1.000,1.000,0.421,0.706,0.876,0.898,1.000,1.000,15,8
9,1898,16,1413.341,1304.554,0.867,0.841,0.950,0.838,0.963,0.971,0.838,0.964,0.971,0.836,0.961,0.972,0.851,0.926,0.967,16,15
10,1900,32,2579.859,2414.464,0.561,0.620,0.744,0.563,0.625,0.744,0.584,0.652,0.755,0.581,0.565,0.751,0.584,0.547,0.746,22,21
11,1902,64,4904.610,4621.020,0.342,0.249,0.526,0.336,0.254,0.520,0.397,0.274,0.533,0.370,0.186,0.466,0.354,0.137,0.430,22,16
12,2836,2,537.104,442.371,0.881,1.000,1.000,0.881,1.000,1.000,0.881,1.000,1.000,0.322,0.111,0.384,0.302,0.203,0.458,19,11
13,2841,4,771.390,664.746,0.896,1.000,1.000,0.896,1.000,1.000,0.896,1.000,1.000,0.332,0.302,0.645,0.343,0.457,0.724,19,12
14,2843,8,1230.457,1088.632,0.876,1.000,1.000,0.876,1.000,1.000,0.876,1.000,1.000,0.370,0.566,0.825,0.876,1.000,1.000,20,8
15,2841,16,2088.191,1933.658,0.845,0.920,0.957,0.849,0.971,0.974,0.849,0.971,0.974,0.849,0.971,0.975,0.848,0.971,0.974,16,16
16,2839,32,3807.204,3565.118,0.594,0.637,0.751,0.578,0.632,0.751,0.600,0.662,0.759,0.587,0.616,0.758,0.578,0.550,0.745,26,22
17,2845,64,8023.901,7875.715,0.364,0.285,0.513,0.350,0.283,0.507,0.414,0.305,0.520,0.384,0.201,0.480,0.347,0.157,0.453,25,19
18,3792,2,827.976,688.270,0.866,1.000,1.000,0.866,1.000,1.000,0.866,1.000,1.000,0.281,0.102,0.375,0.311,0.197,0.454,21,11
19,3798,4,1196.213,1017.839,0.886,1.000,1.000,0.886,1.000,1.000,0.886,1.000,1.000,0.320,0.264,0.624,0.331,0.451,0.723,22,12
20,3788,8,1893.599,1713.899,0.892,1.000,1.000,0.892,1.000,1.000,0.892,1.000,1.000,0.359,0.534,0.812,0.820,0.974,0.984,22,9
21,3783,16,3213.231,2951.546,0.850,0.910,0.958,0.771,0.895,0.951,0.828,0.964,0.970,0.828,0.964,0.969,0.828,0.966,0.971,16,16
22,3791,32,5806.636,5435.682,0.657,0.762,0.840,0.642,0.743,0.835,0.663,0.768,0.841,0.625,0.757,0.845,0.635,0.683,0.832,30,25
23,3792,64,10271.234,9130.220,0.376,0.307,0.532,0.381,0.307,0.532,0.426,0.339,0.543,0.391,0.245,0.518,0.388,0.194,0.494,29,21
24,4739,2,859.492,726.135,0.885,1.000,1.000,0.885,1.000,1.000,0.885,1.000,1.000,0.287,0.109,0.383,0.311,0.176,0.441,19,12
25,4742,4,1262.180,1083.261,0.876,1.000,1.000,0.876,1.000,1.000,0.876,1.000,1.000,0.314,0.258,0.619,0.331,0.426,0.709,23,13
26,4744,8,2025.974,1830.791,0.881,1.000,1.000,0.881,1.000,1.000,0.881,1.000,1.000,0.352,0.491,0.793,0.532,0.809,0.910,25,13
27,4744,16,3463.495,3183.505,0.842,0.917,0.967,0.851,0.976,0.980,0.851,0.976,0.980,0.851,0.975,0.979,0.851,0.975,0.979,16,16
28,4746,32,6312.342,6018.532,0.662,0.726,0.827,0.672,0.772,0.838,0.669,0.781,0.841,0.680,0.758,0.843,0.651,0.689,0.831,28,25
29,4740,64,12135.701,11399.593,0.406,0.355,0.548,0.385,0.338,0.550,0.430,0.357,0.551,0.412,0.283,0.538,0.360,0.199,0.501,32,22
30,5697,2,1030.618,868.493,0.870,1.000,1.000,0.870,1.000,1.000,0.870,1.000,1.000,0.304,0.092,0.365,0.312,0.148,0.419,23,14
31,5687,4,1503.474,1303.729,0.887,1.000,1.000,0.887,1.000,1.000,0.887,1.000,1.000,0.314,0.234,0.606,0.321,0.411,0.699,25,14
32,5690,8,2443.900,2174.422,0.889,1.000,1.000,0.889,1.000,1.000,0.889,1.000,1.000,0.336,0.480,0.791,0.530,0.807,0.909,25,13
33,5682,16,4130.860,3798.600,0.807,0.902,0.953,0.759,0.883,0.936,0.810,0.945,0.957,0.768,0.927,0.948,0.808,0.945,0.956,17,16
34,5691,32,7569.569,7070.207,0.637,0.741,0.817,0.610,0.727,0.814,0.639,0.749,0.820,0.626,0.740,0.820,0.613,0.662,0.807,30,25
35,5691,64,14474.767,13652.346,0.406,0.359,0.571,0.379,0.343,0.561,0.451,0.387,0.577,0.419,0.293,0.557,0.429,0.260,0.541,34,27
36,6653,2,1208.542,1012.252,0.880,1.000,1.000,0.880,1.000,1.000,0.880,1.000,1.000,0.291,0.090,0.362,0.319,0.148,0.418,24,14
37,6643,4,1756.897,1525.646,0.864,1.000,1.000,0.864,1.000,1.000,0.864,1.000,1.000,0.313,0.235,0.606,0.337,0.400,0.697,25,14
38,6648,8,2818.737,2541.397,0.892,1.000,1.000,0.892,1.000,1.000,0.892,1.000,1.000,0.345,0.478,0.791,0.535,0.815,0.911,25,13
39,6645,16,4836.136,4442.222,0.774,0.839,0.908,0.776,0.872,0.907,0.776,0.872,0.907,0.698,0.829,0.887,0.774,0.876,0.910,19,16
40,6640,32,8827.616,8266.028,0.670,0.764,0.843,0.655,0.755,0.839,0.676,0.777,0.843,0.672,0.759,0.841,0.677,0.747,0.845,30,28
