,instance #,labels #,moea-time,soea-time,moea-sil,moea-ARI,moea-NMI,soea-sil,soea-ARI,soea-NMI,kmeans-sil,kmeasn-ARI,kmeans-NMI,phe-sil,phe-ARI,phe-NMI,seurat_sil,seurat-ARI,seurat-NMI,phe-clusters,seurat-clusters
0,957,2,71.591,42.204,0.855,1.000,1.000,0.855,1.000,1.000,0.855,1.000,1.000,0.321,0.172,0.439,0.366,0.313,0.535,12,7
1,953,4,80.997,53.141,0.905,1.000,1.000,0.905,1.000,1.000,0.905,1.000,1.000,0.359,0.442,0.720,0.462,0.748,0.854,12,7
2,953,8,100.372,74.605,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,8,8
3,959,16,141.351,117.316,0.843,0.972,0.977,0.786,0.902,0.954,0.843,0.972,0.977,0.843,0.976,0.981,0.843,0.976,0.981,16,16
4,953,32,225.952,197.556,0.552,0.624,0.750,0.540,0.611,0.743,0.555,0.627,0.746,0.527,0.514,0.731,0.482,0.409,0.704,20,17
5,951,64,400.351,360.613,0.350,0.158,0.518,0.316,0.177,0.517,0.374,0.164,0.523,0.345,0.105,0.390,0.352,0.059,0.289,16,8
6,1892,2,95.928,61.115,0.874,1.000,1.000,0.874,1.000,1.000,0.874,1.000,1.000,0.311,0.136,0.406,0.318,0.241,0.487,16,9
7,1896,4,114.092,82.836,0.882,1.000,1.000,0.882,1.000,1.000,0.882,1.000,1.000,0.292,0.354,0.673,0.333,0.578,0.782,16,9
8,1895,8,155.756,125.098,0.898,1.000,1.000,0.898,1.000,1.000,0.898,1.000,1.000,0.422,0.706,0.876,0.898,1.000,1.000,15,8
9,1898,16,236.535,205.761,0.867,0.841,0.950,0.816,0.911,0.961,0.838,0.964,0.971,0.835,0.963,0.973,0.851,0.926,0.967,16,15
10,1900,32,404.229,365.290,0.551,0.547,0.731,0.575,0.646,0.755,0.592,0.662,0.757,0.579,0.566,0.751,0.584,0.547,0.746,22,21
11,1902,64,745.458,682.427,0.332,0.241,0.517,0.328,0.249,0.515,0.394,0.277,0.534,0.374,0.185,0.465,0.354,0.137,0.430,22,16
12,2836,2,115.003,81.753,0.881,1.000,1.000,0.881,1.000,1.000,0.881,1.000,1.000,0.310,0.110,0.384,0.302,0.203,0.458,19,11
13,2841,4,148.219,114.398,0.896,1.000,1.000,0.896,1.000,1.000,0.896,1.000,1.000,0.344,0.335,0.663,0.343,0.457,0.724,17,12
14,2843,8,213.155,175.986,0.876,1.000,1.000,0.876,1.000,1.000,0.876,1.000,1.000,0.373,0.565,0.825,0.876,1.000,1.000,20,8
15,2841,16,336.155,295.052,0.850,0.924,0.961,0.849,0.971,0.974,0.849,0.971,0.974,0.848,0.972,0.975,0.848,0.971,0.974,16,16
16,2839,32,582.020,525.756,0.596,0.649,0.757,0.569,0.637,0.754,0.603,0.663,0.762,0.573,0.594,0.755,0.578,0.550,0.745,25,22
17,2845,64,1084.334,1006.013,0.382,0.301,0.515,0.354,0.273,0.506,0.415,0.314,0.521,0.389,0.212,0.481,0.347,0.157,0.453,26,19
18,3792,2,138.340,102.844,0.866,1.000,1.000,0.866,1.000,1.000,0.866,1.000,1.000,0.280,0.103,0.375,0.311,0.197,0.454,21,11
19,3798,4,183.932,143.691,0.886,1.000,1.000,0.886,1.000,1.000,0.886,1.000,1.000,0.313,0.269,0.628,0.331,0.451,0.723,21,12
20,3788,8,270.027,227.259,0.892,1.000,1.000,0.892,1.000,1.000,0.892,1.000,1.000,0.362,0.538,0.812,0.820,0.974,0.984,22,9
21,3783,16,432.423,384.814,0.850,0.911,0.959,0.828,0.964,0.970,0.828,0.964,0.970,0.828,0.966,0.971,0.828,0.966,0.971,16,16
22,3791,32,762.061,696.626,0.659,0.761,0.839,0.648,0.761,0.839,0.661,0.777,0.845,0.652,0.774,0.847,0.635,0.683,0.832,31,25
23,3792,64,1432.668,1320.110,0.384,0.304,0.532,0.359,0.299,0.531,0.433,0.341,0.544,0.409,0.261,0.526,0.388,0.194,0.494,30,21
24,4739,2,165.112,123.545,0.885,1.000,1.000,0.885,1.000,1.000,0.885,1.000,1.000,0.304,0.104,0.378,0.311,0.176,0.441,20,12
25,4742,4,219.645,174.361,0.876,1.000,1.000,0.876,1.000,1.000,0.876,1.000,1.000,0.298,0.239,0.608,0.331,0.426,0.709,25,13
26,4744,8,329.455,279.844,0.881,1.000,1.000,0.881,1.000,1.000,0.881,1.000,1.000,0.352,0.497,0.798,0.532,0.809,0.910,24,13
27,4744,16,533.836,473.901,0.841,0.916,0.967,0.851,0.976,0.980,0.851,0.976,0.980,0.851,0.976,0.980,0.851,0.975,0.979,16,16
28,4746,32,944.811,860.950,0.674,0.773,0.841,0.664,0.782,0.842,0.674,0.780,0.840,0.677,0.755,0.842,0.651,0.689,0.831,28,25
29,4740,64,1777.108,1640.740,0.389,0.341,0.546,0.362,0.330,0.546,0.436,0.363,0.551,0.413,0.283,0.538,0.360,0.199,0.501,32,22
30,5697,2,191.159,142.492,0.870,1.000,1.000,0.870,1.000,1.000,0.870,1.000,1.000,0.299,0.091,0.364,0.312,0.148,0.419,23,14
31,5687,4,254.674,204.843,0.887,1.000,1.000,0.887,1.000,1.000,0.887,1.000,1.000,0.307,0.230,0.602,0.321,0.411,0.699,26,14
32,5690,8,387.617,330.426,0.889,1.000,1.000,0.889,1.000,1.000,0.889,1.000,1.000,0.332,0.490,0.793,0.530,0.807,0.909,25,13
33,5682,16,633.124,561.210,0.819,0.780,0.923,0.762,0.884,0.936,0.810,0.945,0.957,0.770,0.926,0.948,0.808,0.945,0.956,17,16
34,5691,32,1124.695,1031.520,0.638,0.743,0.818,0.629,0.740,0.816,0.638,0.748,0.819,0.625,0.741,0.820,0.613,0.662,0.807,30,25
35,5691,64,2118.665,1967.649,0.419,0.366,0.567,0.393,0.342,0.562,0.449,0.382,0.573,0.419,0.282,0.555,0.429,0.260,0.541,31,27
36,6653,2,212.906,164.184,0.880,1.000,1.000,0.880,1.000,1.000,0.880,1.000,1.000,0.267,0.085,0.356,0.319,0.148,0.418,26,14
37,6643,4,291.248,238.129,0.864,1.000,1.000,0.864,1.000,1.000,0.864,1.000,1.000,0.314,0.236,0.607,0.337,0.400,0.697,25,14
38,6648,8,444.610,384.708,0.892,1.000,1.000,0.892,1.000,1.000,0.892,1.000,1.000,0.340,0.464,0.785,0.535,0.815,0.911,26,13
39,6645,16,734.748,654.949,0.732,0.760,0.888,0.760,0.841,0.896,0.776,0.874,0.908,0.699,0.836,0.890,0.774,0.876,0.910,19,16
40,6640,32,1306.625,1195.838,0.666,0.709,0.834,0.662,0.763,0.839,0.677,0.775,0.842,0.675,0.756,0.845,0.677,0.747,0.845,29,28
41,6643,64,2464.771,2279.142,0.423,0.365,0.571,0.375,0.355,0.574,0.448,0.384,0.577,0.414,0.300,0.563,0.404,0.232,0.539,33,26
42,7600,2,240.209,183.724,0.885,1.000,1.000,0.885,1.000,1.000,0.885,1.000,1.000,0.294,0.080,0.353,0.303,0.135,0.405,26,16
43,7602,4,330.743,270.098,0.877,1.000,1.000,0.877,1.000,1.000,0.877,1.000,1.000,0.308,0.232,0.605,0.328,0.352,0.672,25,16
44,7598,8,500.033,433.812,0.873,1.000,1.000,0.873,1.000,1.000,0.873,1.000,1.000,0.338,0.456,0.781,0.472,0.752,0.891,27,14
45,7601,16,831.957,742.173,0.854,0.868,0.955,0.820,0.906,0.961,0.816,0.965,0.973,0.768,0.941,0.959,0.816,0.963,0.972,18,16
46,7602,32,1486.159,1363.665,0.658,0.710,0.790,0.655,0.708,0.784,0.664,0.719,0.789,0.651,0.694,0.791,0.653,0.650,0.794,28,25
47,7596,64,2804.034,2598.463,0.238,0.177,0.501,0.377,0.343,0.547,0.449,0.373,0.555,0.397,0.298,0.545,0.404,0.239,0.526,36,26
48,8560,2,263.591,205.709,0.879,1.000,1.000,0.879,1.000,1.000,0.879,1.000,1.000,0.280,0.072,0.342,0.285,0.128,0.398,30,17
