,instance #,labels #,moea-time,soea-time,moea-sil,moea-ARI,moea-NMI,soea-sil,soea-ARI,soea-NMI,kmeans-sil,kmeasn-ARI,kmeans-NMI,phe-sil,phe-ARI,phe-NMI,seurat_sil,seurat-ARI,seurat-NMI,phe-clusters,seurat-clusters
0,957,2,90.324,51.002,0.855,1.000,1.000,0.855,1.000,1.000,0.855,1.000,1.000,0.324,0.172,0.439,0.366,0.313,0.535,12,7
1,953,4,93.709,66.297,0.905,1.000,1.000,0.905,1.000,1.000,0.905,1.000,1.000,0.369,0.427,0.709,0.462,0.748,0.854,13,7
2,953,8,127.056,88.628,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,8,8
3,959,16,177.693,138.823,0.818,0.788,0.933,0.843,0.972,0.977,0.843,0.972,0.977,0.843,0.976,0.981,0.843,0.976,0.981,16,16
4,953,32,279.688,240.837,0.559,0.625,0.749,0.539,0.605,0.742,0.546,0.624,0.746,0.525,0.513,0.731,0.482,0.409,0.704,20,17
5,951,64,494.578,429.223,0.346,0.152,0.514,0.285,0.139,0.512,0.376,0.165,0.526,0.341,0.108,0.393,0.352,0.059,0.289,16,8
6,1892,2,119.192,71.966,0.874,1.000,1.000,0.874,1.000,1.000,0.874,1.000,1.000,0.309,0.128,0.399,0.318,0.241,0.487,17,9
7,1896,4,141.220,98.833,0.882,1.000,1.000,0.882,1.000,1.000,0.882,1.000,1.000,0.344,0.380,0.685,0.333,0.578,0.782,15,9
8,1895,8,193.342,149.539,0.898,1.000,1.000,0.898,1.000,1.000,0.898,1.000,1.000,0.417,0.714,0.878,0.898,1.000,1.000,15,8
9,1898,16,292.607,250.889,0.867,0.840,0.949,0.813,0.909,0.960,0.838,0.964,0.971,0.837,0.961,0.970,0.851,0.926,0.967,16,15
10,1900,32,494.222,447.715,0.532,0.558,0.730,0.559,0.617,0.747,0.594,0.661,0.758,0.584,0.569,0.750,0.584,0.547,0.746,22,21
11,1902,64,900.753,825.815,0.360,0.260,0.528,0.328,0.244,0.515,0.401,0.270,0.531,0.368,0.185,0.465,0.354,0.137,0.430,22,16
12,2836,2,138.783,106.035,0.881,1.000,1.000,0.881,1.000,1.000,0.881,1.000,1.000,0.280,0.115,0.386,0.302,0.203,0.458,19,11
13,2841,4,177.466,142.646,0.896,1.000,1.000,0.896,1.000,1.000,0.896,1.000,1.000,0.335,0.323,0.655,0.343,0.457,0.724,18,12
14,2843,8,257.455,214.895,0.876,1.000,1.000,0.876,1.000,1.000,0.876,1.000,1.000,0.364,0.581,0.832,0.876,1.000,1.000,19,8
15,2841,16,411.390,360.888,0.847,0.922,0.958,0.849,0.972,0.975,0.849,0.971,0.974,0.849,0.971,0.975,0.848,0.971,0.974,16,16
16,2839,32,718.197,641.496,0.595,0.647,0.757,0.591,0.654,0.756,0.597,0.657,0.759,0.575,0.604,0.754,0.578,0.550,0.745,25,22
17,2845,64,1319.988,1203.686,0.364,0.278,0.509,0.337,0.278,0.509,0.414,0.316,0.521,0.395,0.205,0.482,0.347,0.157,0.453,25,19
18,3792,2,168.978,129.563,0.866,1.000,1.000,0.866,1.000,1.000,0.866,1.000,1.000,0.277,0.108,0.380,0.311,0.197,0.454,20,11
19,3798,4,226.601,174.445,0.886,1.000,1.000,0.886,1.000,1.000,0.886,1.000,1.000,0.322,0.254,0.618,0.331,0.451,0.723,23,12
20,3788,8,332.195,276.074,0.892,1.000,1.000,0.892,1.000,1.000,0.892,1.000,1.000,0.360,0.503,0.802,0.820,0.974,0.984,23,9
21,3783,16,525.269,466.751,0.850,0.910,0.958,0.818,0.894,0.952,0.828,0.964,0.970,0.828,0.963,0.969,0.828,0.966,0.971,16,16
22,3791,32,928.898,839.119,0.651,0.748,0.840,0.639,0.753,0.838,0.662,0.777,0.845,0.654,0.771,0.845,0.635,0.683,0.832,31,25
23,3792,64,1730.625,1588.867,0.403,0.332,0.541,0.363,0.299,0.532,0.425,0.334,0.539,0.415,0.269,0.527,0.388,0.194,0.494,31,21
24,4739,2,198.837,151.370,0.885,1.000,1.000,0.885,1.000,1.000,0.885,1.000,1.000,0.277,0.094,0.366,0.311,0.176,0.441,23,12
25,4742,4,267.926,222.223,0.876,1.000,1.000,0.876,1.000,1.000,0.876,1.000,1.000,0.296,0.260,0.620,0.331,0.426,0.709,23,13
26,4744,8,398.682,345.875,0.881,1.000,1.000,0.881,1.000,1.000,0.881,1.000,1.000,0.358,0.496,0.795,0.532,0.809,0.910,25,13
27,4744,16,644.405,579.017,0.840,0.915,0.966,0.851,0.976,0.980,0.851,0.976,0.980,0.851,0.976,0.980,0.851,0.975,0.979,16,16
28,4746,32,1148.933,1035.592,0.663,0.732,0.827,0.656,0.760,0.833,0.662,0.773,0.839,0.679,0.758,0.842,0.651,0.689,0.831,28,25
29,4740,64,2135.303,1969.757,0.384,0.341,0.550,0.355,0.314,0.541,0.432,0.361,0.556,0.413,0.290,0.538,0.360,0.199,0.501,32,22
30,5697,2,233.711,183.874,0.870,1.000,1.000,0.870,1.000,1.000,0.870,1.000,1.000,0.273,0.095,0.367,0.312,0.148,0.419,23,14
31,5687,4,314.261,256.379,0.887,1.000,1.000,0.887,1.000,1.000,0.887,1.000,1.000,0.300,0.244,0.609,0.321,0.411,0.699,25,14
32,5690,8,473.578,401.684,0.889,1.000,1.000,0.889,1.000,1.000,0.889,1.000,1.000,0.343,0.488,0.793,0.530,0.807,0.909,25,13
33,5682,16,768.392,682.912,0.810,0.944,0.956,0.810,0.945,0.957,0.810,0.945,0.957,0.769,0.925,0.947,0.808,0.945,0.956,17,16
34,5691,32,1365.202,1236.968,0.633,0.732,0.816,0.634,0.743,0.817,0.639,0.751,0.821,0.628,0.741,0.820,0.613,0.662,0.807,30,25
35,5691,64,2565.460,2355.458,0.407,0.354,0.563,0.378,0.332,0.559,0.453,0.376,0.573,0.421,0.288,0.556,0.429,0.260,0.541,33,27
36,6653,2,266.334,203.044,0.880,1.000,1.000,0.880,1.000,1.000,0.880,1.000,1.000,0.286,0.085,0.356,0.319,0.148,0.418,26,14
37,6643,4,360.450,293.277,0.864,1.000,1.000,0.864,1.000,1.000,0.864,1.000,1.000,0.328,0.234,0.606,0.337,0.400,0.697,25,14
38,6648,8,540.983,462.116,0.892,1.000,1.000,0.892,1.000,1.000,0.892,1.000,1.000,0.346,0.471,0.789,0.535,0.815,0.911,25,13
39,6645,16,887.353,786.099,0.782,0.851,0.903,0.776,0.872,0.907,0.776,0.872,0.907,0.691,0.824,0.882,0.774,0.876,0.910,19,16
40,6640,32,1571.234,1442.000,0.672,0.764,0.843,0.667,0.771,0.842,0.677,0.776,0.842,0.675,0.756,0.845,0.677,0.747,0.845,29,28
41,6643,64,2972.712,2731.913,0.408,0.361,0.573,0.363,0.348,0.567,0.448,0.385,0.577,0.407,0.295,0.562,0.404,0.232,0.539,34,26
42,7600,2,297.967,234.526,0.885,1.000,1.000,0.885,1.000,1.000,0.885,1.000,1.000,0.280,0.075,0.345,0.303,0.135,0.405,29,16
43,7602,4,399.332,332.055,0.877,1.000,1.000,0.877,1.000,1.000,0.877,1.000,1.000,0.289,0.231,0.603,0.328,0.352,0.672,26,16
44,7598,8,619.614,533.083,0.873,1.000,1.000,0.873,1.000,1.000,0.873,1.000,1.000,0.333,0.496,0.794,0.472,0.752,0.891,25,14
45,7601,16,1006.180,905.984,0.854,0.868,0.955,0.816,0.966,0.974,0.816,0.965,0.973,0.773,0.929,0.957,0.816,0.963,0.972,18,16
46,7602,32,1797.771,1639.213,0.663,0.694,0.791,0.639,0.703,0.786,0.659,0.720,0.791,0.662,0.706,0.793,0.653,0.650,0.794,29,25
47,7596,64,3373.090,3121.522,0.405,0.349,0.551,0.376,0.329,0.546,0.451,0.370,0.554,0.405,0.288,0.545,0.404,0.239,0.526,34,26
48,8560,2,328.318,256.220,0.879,1.000,1.000,0.879,1.000,1.000,0.879,1.000,1.000,0.277,0.074,0.345,0.285,0.128,0.398,29,17
49,8550,4,448.621,361.992,0.881,1.000,1.000,0.881,1.000,1.000,0.881,1.000,1.000,0.309,0.214,0.593,0.332,0.374,0.683,28,15
50,8536,8,688.039,592.150,0.881,1.000,1.000,0.881,1.000,1.000,0.881,1.000,1.000,0.341,0.441,0.776,0.330,0.649,0.860,28,16
51,8541,16,1127.106,1002.615,0.870,0.984,0.985,0.870,0.985,0.985,0.870,0.985,0.985,0.809,0.949,0.970,0.870,0.984,0.985,18,16
52,8548,32,2005.166,1856.671,0.675,0.781,0.842,0.663,0.773,0.838,0.678,0.788,0.843,0.664,0.774,0.839,0.648,0.726,0.839,31,28
