,instance #,labels #,moea-time,soea-time,moea-sil,moea-ARI,moea-NMI,soea-sil,soea-ARI,soea-NMI,kmeans-sil,kmeasn-ARI,kmeans-NMI,phe-sil,phe-ARI,phe-NMI,seurat_sil,seurat-ARI,seurat-NMI,phe-clusters,seurat-clusters
0,957,2,88.578,50.549,0.855,1.000,1.000,0.855,1.000,1.000,0.855,1.000,1.000,0.332,0.171,0.438,0.366,0.313,0.535,12,7
1,953,4,97.442,63.034,0.905,1.000,1.000,0.905,1.000,1.000,0.905,1.000,1.000,0.359,0.442,0.720,0.462,0.748,0.854,12,7
2,953,8,121.500,87.754,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,8,8
3,959,16,167.362,135.789,0.817,0.787,0.932,0.785,0.902,0.954,0.843,0.972,0.977,0.843,0.976,0.981,0.843,0.976,0.981,16,16
4,953,32,267.143,230.268,0.547,0.621,0.744,0.541,0.623,0.743,0.556,0.627,0.747,0.524,0.512,0.731,0.482,0.409,0.704,20,17
5,951,64,469.249,415.163,0.344,0.157,0.517,0.290,0.148,0.513,0.378,0.182,0.529,0.343,0.108,0.395,0.352,0.059,0.289,16,8
6,1892,2,116.521,73.920,0.874,1.000,1.000,0.874,1.000,1.000,0.874,1.000,1.000,0.327,0.113,0.385,0.318,0.241,0.487,19,9
7,1896,4,135.483,97.857,0.882,1.000,1.000,0.882,1.000,1.000,0.882,1.000,1.000,0.340,0.380,0.685,0.333,0.578,0.782,15,9
8,1895,8,183.316,146.602,0.898,1.000,1.000,0.898,1.000,1.000,0.898,1.000,1.000,0.420,0.707,0.876,0.898,1.000,1.000,15,8
9,1898,16,278.275,238.552,0.866,0.840,0.949,0.820,0.911,0.961,0.838,0.964,0.971,0.837,0.961,0.970,0.851,0.926,0.967,16,15
10,1900,32,472.617,421.499,0.596,0.656,0.758,0.570,0.642,0.754,0.588,0.650,0.755,0.585,0.570,0.750,0.584,0.547,0.746,22,21
11,1902,64,863.462,784.472,0.316,0.224,0.517,0.335,0.257,0.525,0.398,0.276,0.534,0.379,0.187,0.465,0.354,0.137,0.430,22,16
12,2836,2,139.159,96.952,0.881,1.000,1.000,0.881,1.000,1.000,0.881,1.000,1.000,0.313,0.112,0.385,0.302,0.203,0.458,19,11
13,2841,4,173.487,133.181,0.896,1.000,1.000,0.896,1.000,1.000,0.896,1.000,1.000,0.324,0.334,0.663,0.343,0.457,0.724,17,12
14,2843,8,251.095,205.570,0.876,1.000,1.000,0.876,1.000,1.000,0.876,1.000,1.000,0.370,0.583,0.833,0.876,1.000,1.000,19,8
15,2841,16,391.729,341.956,0.847,0.922,0.958,0.849,0.971,0.974,0.849,0.971,0.974,0.848,0.972,0.975,0.848,0.971,0.974,16,16
16,2839,32,676.518,608.844,0.595,0.646,0.754,0.582,0.646,0.752,0.599,0.664,0.760,0.577,0.588,0.753,0.578,0.550,0.745,25,22
17,2845,64,1255.855,1147.093,0.363,0.292,0.513,0.354,0.279,0.508,0.413,0.312,0.520,0.384,0.198,0.479,0.347,0.157,0.453,25,19
18,3792,2,167.430,120.160,0.866,1.000,1.000,0.866,1.000,1.000,0.866,1.000,1.000,0.289,0.111,0.384,0.311,0.197,0.454,19,11
19,3798,4,215.745,167.875,0.886,1.000,1.000,0.886,1.000,1.000,0.886,1.000,1.000,0.309,0.264,0.624,0.331,0.451,0.723,22,12
20,3788,8,317.031,264.574,0.892,1.000,1.000,0.892,1.000,1.000,0.892,1.000,1.000,0.376,0.489,0.796,0.820,0.974,0.984,24,9
