,instance #,labels #,moea-time,soea-time,moea-sil,moea-ARI,moea-NMI,soea-sil,soea-ARI,soea-NMI,kmeans-sil,kmeasn-ARI,kmeans-NMI,phe-sil,phe-ARI,phe-NMI,seurat_sil,seurat-ARI,seurat-NMI,phe-clusters,seurat-clusters
0,957,2,88.022,51.829,0.855,1.000,1.000,0.855,1.000,1.000,0.855,1.000,1.000,0.345,0.172,0.439,0.366,0.313,0.535,12,7
1,953,4,99.623,63.571,0.905,1.000,1.000,0.905,1.000,1.000,0.905,1.000,1.000,0.359,0.446,0.721,0.462,0.748,0.854,12,7
2,953,8,120.694,92.241,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,8,8
3,959,16,172.534,141.982,0.843,0.972,0.977,0.843,0.974,0.978,0.843,0.972,0.977,0.843,0.976,0.981,0.843,0.976,0.981,16,16
4,953,32,278.802,244.053,0.561,0.616,0.745,0.530,0.603,0.741,0.554,0.623,0.746,0.530,0.516,0.733,0.482,0.409,0.704,20,17
5,951,64,495.513,442.162,0.323,0.140,0.511,0.304,0.142,0.507,0.370,0.170,0.521,0.344,0.108,0.393,0.352,0.059,0.289,16,8
6,1892,2,113.483,77.759,0.874,1.000,1.000,0.874,1.000,1.000,0.874,1.000,1.000,0.314,0.133,0.404,0.318,0.241,0.487,16,9
7,1896,4,135.300,101.094,0.882,1.000,1.000,0.882,1.000,1.000,0.882,1.000,1.000,0.335,0.359,0.675,0.333,0.578,0.782,16,9
8,1895,8,190.941,150.960,0.898,1.000,1.000,0.898,1.000,1.000,0.898,1.000,1.000,0.421,0.706,0.876,0.898,1.000,1.000,15,8
9,1898,16,288.315,253.163,0.867,0.840,0.949,0.838,0.964,0.971,0.838,0.964,0.971,0.837,0.963,0.971,0.851,0.926,0.967,16,15
10,1900,32,492.066,444.910,0.574,0.650,0.757,0.575,0.643,0.753,0.590,0.655,0.754,0.585,0.567,0.749,0.584,0.547,0.746,22,21
11,1902,64,914.685,838.806,0.357,0.257,0.522,0.337,0.251,0.522,0.398,0.274,0.531,0.376,0.181,0.466,0.354,0.137,0.430,22,16
12,2836,2,139.447,98.647,0.881,1.000,1.000,0.881,1.000,1.000,0.881,1.000,1.000,0.306,0.111,0.384,0.302,0.203,0.458,19,11
13,2841,4,182.609,136.223,0.896,1.000,1.000,0.896,1.000,1.000,0.896,1.000,1.000,0.314,0.319,0.654,0.343,0.457,0.724,18,12
14,2843,8,260.125,212.230,0.876,1.000,1.000,0.876,1.000,1.000,0.876,1.000,1.000,0.371,0.588,0.834,0.876,1.000,1.000,19,8
15,2841,16,408.251,359.066,0.849,0.922,0.962,0.812,0.906,0.953,0.849,0.971,0.974,0.849,0.971,0.975,0.848,0.971,0.974,16,16
16,2839,32,712.104,647.612,0.553,0.604,0.743,0.586,0.654,0.755,0.593,0.648,0.751,0.579,0.579,0.751,0.578,0.550,0.745,24,22
17,2845,64,1327.764,1224.674,0.373,0.293,0.515,0.342,0.278,0.509,0.405,0.293,0.517,0.385,0.203,0.477,0.347,0.157,0.453,25,19
