ID	did	seurat_cluster	kmeans_cluster	labels
Cell1	1	2	1	1
Cell2	1	2	1	1
Cell3	1	1	2	3
Cell4	1	1	2	3
Cell5	1	7	1	1
Cell6	1	1	2	3
Cell7	1	4	4	2
Cell8	1	6	3	4
Cell9	1	2	1	1
Cell10	1	3	3	4
Cell11	1	4	4	2
Cell12	1	1	2	3
Cell13	1	1	2	3
Cell14	1	1	2	3
Cell15	1	5	4	2
Cell17	1	2	1	1
Cell18	1	1	2	3
Cell19	1	1	2	3
Cell20	1	1	2	3
Cell21	1	1	2	3
Cell22	1	4	4	2
Cell24	1	4	4	2
Cell25	1	4	4	2
Cell26	1	1	2	3
Cell27	1	6	3	4
Cell28	1	3	3	4
Cell29	1	1	2	3
Cell30	1	2	1	1
Cell31	1	1	2	3
Cell32	1	4	4	2
Cell33	1	4	4	2
Cell34	1	5	4	2
Cell35	1	1	2	3
Cell36	1	5	4	2
Cell37	1	2	1	1
Cell38	1	5	4	2
Cell39	1	1	2	3
Cell40	1	1	2	3
Cell41	1	7	1	1
Cell42	1	1	2	3
Cell43	1	3	3	4
Cell44	1	2	1	1
Cell45	1	2	1	1
Cell46	1	1	2	3
Cell47	1	3	3	4
Cell48	1	7	1	1
Cell49	1	2	1	1
Cell50	1	3	3	4
Cell51	1	3	3	4
Cell52	1	6	3	4
Cell53	1	7	1	1
Cell54	1	2	1	1
Cell55	1	2	1	1
Cell56	1	4	4	2
Cell57	1	3	3	4
Cell58	1	3	3	4
Cell59	1	5	4	2
Cell60	1	3	3	4
Cell61	1	3	3	4
Cell62	1	1	2	3
Cell63	1	2	1	1
Cell64	1	1	2	3
Cell65	1	4	4	2
Cell66	1	5	4	2
Cell67	1	7	1	1
Cell68	1	1	2	3
Cell70	1	3	3	4
Cell71	1	1	2	3
Cell72	1	4	4	2
Cell73	1	2	1	1
Cell74	1	3	3	4
Cell75	1	1	2	3
Cell76	1	6	3	4
Cell77	1	7	1	1
Cell79	1	5	4	2
Cell80	1	4	4	2
Cell81	1	3	3	4
Cell82	1	2	1	1
Cell83	1	6	3	4
Cell84	1	1	2	3
Cell85	1	4	4	2
Cell86	1	2	1	1
Cell87	1	6	3	4
Cell88	1	2	1	1
Cell89	1	6	3	4
Cell90	1	1	2	3
Cell91	1	2	1	1
Cell92	1	2	1	1
