ID	did	seurat_cluster	kmeans_cluster	labels
Cell1	1	18	33	63
Cell2	1	22	25	61
Cell3	1	3	52	25
Cell4	1	1	5	30
Cell5	1	5	55	50
Cell6	1	5	55	25
Cell7	1	1	35	14
Cell8	1	4	27	48
Cell9	1	23	13	57
Cell10	1	7	10	49
Cell11	1	2	59	15
Cell12	1	13	48	29
Cell13	1	5	55	25
Cell14	1	13	48	29
Cell15	1	8	51	8
Cell16	1	23	13	57
Cell17	1	18	33	63
Cell18	1	10	26	28
Cell19	1	14	12	33
Cell20	1	20	30	20
Cell21	1	3	19	28
Cell22	1	4	27	17
Cell23	1	20	30	34
Cell24	1	8	3	8
Cell25	1	16	8	16
Cell26	1	6	46	32
Cell27	1	1	58	35
Cell28	1	4	27	44
Cell29	1	11	61	21
Cell30	1	5	16	56
Cell31	1	10	26	28
Cell32	1	1	37	15
Cell33	1	13	46	9
Cell34	1	3	4	6
Cell35	1	27	34	27
Cell37	1	2	37	54
Cell38	1	14	12	7
Cell39	1	2	50	20
Cell40	1	1	35	26
Cell41	1	21	28	53
Cell42	1	17	18	31
Cell43	1	26	38	47
Cell44	1	9	21	60
Cell45	1	6	46	51
Cell46	1	17	18	31
Cell47	1	6	17	40
Cell48	1	13	48	1
Cell49	1	3	56	52
Cell50	1	1	53	35
Cell51	1	1	31	45
Cell52	1	3	56	39
Cell53	1	9	21	60
Cell54	1	9	11	55
Cell55	1	22	25	58
Cell56	1	4	47	17
Cell57	1	5	49	44
Cell58	1	1	32	38
Cell59	1	19	43	7
Cell60	1	3	52	39
Cell61	1	7	10	49
Cell62	1	27	34	27
Cell63	1	6	27	51
Cell64	1	2	44	18
Cell65	1	8	14	6
Cell66	1	1	23	11
Cell67	1	1	35	54
Cell68	1	3	41	28
Cell69	1	1	32	4
Cell70	1	26	38	47
Cell71	1	17	18	31
Cell72	1	10	42	14
Cell73	1	5	49	55
Cell74	1	3	56	39
Cell75	1	17	18	25
Cell76	1	6	17	40
Cell77	1	22	25	58
Cell78	1	7	48	36
Cell79	1	1	35	14
Cell80	1	16	8	16
Cell81	1	12	54	38
Cell82	1	21	28	53
Cell83	1	19	43	42
Cell84	1	18	64	19
Cell85	1	4	47	17
Cell86	1	10	26	59
Cell87	1	26	38	47
Cell88	1	21	28	53
Cell89	1	4	27	36
Cell90	1	1	35	26
Cell91	1	4	17	51
Cell92	1	21	7	1
Cell93	1	12	54	38
Cell94	1	13	48	61
Cell95	1	26	38	47
Cell96	1	27	34	27
Cell97	1	9	21	60
Cell98	1	6	17	40
Cell99	1	5	9	10
