ID	did	seurat_cluster	kmeans_cluster	labels
Cell2	1	5	1	1
Cell3	1	8	3	3
Cell4	1	8	3	3
Cell5	1	16	4	1
Cell6	1	15	3	3
Cell7	1	2	2	2
Cell8	1	1	2	4
Cell9	1	5	1	1
Cell10	1	13	2	4
Cell11	1	6	2	2
Cell12	1	17	3	3
Cell13	1	15	3	3
Cell14	1	12	3	3
Cell15	1	2	2	2
Cell16	1	5	1	1
Cell17	1	11	1	1
Cell18	1	4	3	3
Cell19	1	4	3	3
Cell20	1	4	3	3
Cell21	1	4	3	3
Cell22	1	6	2	2
Cell23	1	10	2	4
Cell24	1	6	2	2
Cell25	1	2	2	2
Cell26	1	15	3	3
Cell27	1	9	2	4
Cell28	1	13	2	4
Cell30	1	16	4	1
Cell31	1	17	3	3
Cell32	1	7	2	2
Cell34	1	6	2	2
Cell35	1	4	3	3
Cell36	1	6	2	2
Cell37	1	16	4	1
Cell38	1	2	2	2
Cell39	1	8	3	3
Cell40	1	15	3	3
Cell41	1	16	4	1
Cell42	1	8	3	3
Cell43	1	9	2	4
Cell44	1	3	4	1
Cell45	1	5	1	1
Cell46	1	15	3	3
Cell47	1	1	2	4
Cell48	1	3	4	1
Cell49	1	5	1	1
Cell50	1	9	2	4
Cell51	1	13	2	4
Cell53	1	5	1	1
Cell54	1	18	1	1
Cell55	1	11	1	1
Cell56	1	7	2	2
Cell57	1	13	2	4
Cell59	1	2	2	2
Cell60	1	9	2	4
Cell61	1	9	2	4
Cell62	1	4	3	3
Cell63	1	5	1	1
Cell64	1	12	3	3
Cell65	1	7	2	2
Cell66	1	2	2	2
Cell69	1	6	2	2
Cell70	1	13	2	4
Cell71	1	4	3	3
Cell72	1	6	2	2
Cell73	1	5	1	1
Cell74	1	1	2	4
Cell75	1	8	3	3
Cell76	1	9	2	4
Cell77	1	16	4	1
Cell78	1	10	2	4
Cell79	1	7	2	2
Cell80	1	7	2	2
Cell81	1	1	2	4
Cell82	1	5	1	1
Cell83	1	10	2	4
Cell84	1	4	3	3
Cell85	1	2	2	2
