,Benchmark,Instance #,Cluster #,so-time
0,ICELL8_SE_A_kallisto_umap.csv,571,4,166.5955147743225
1,ICELL8_SE_B_kallisto_umap.csv,553,5,188.0474557876587
2,10X_LLU_A_cellranger2.0_umap.csv,2505,7,915.7647733688354
3,10X_LLU_A_cellranger3.1_umap.csv,2825,7,1027.2412981987
4,10X_LLU_A_umitools_umap.csv,2476,7,905.0882613658905
5,10X_LLU_A_zumi_umap.csv,2825,8,1143.9264931678772
6,10X_LLU_B_cellranger2.0_umap.csv,1211,6,419.34066224098206
7,10X_LLU_B_cellranger3.1_umap.csv,1327,6,454.999844789505
8,10X_LLU_B_umitools_umap.csv,1184,6,408.7575340270996
9,10X_LLU_B_zumi_umap.csv,1207,6,418.10782837867737
10,10X_NCI_A_cellranger2.0_umap.csv,5355,8,2109.9974994659424
11,10X_NCI_A_cellranger3.1_umap.csv,6050,10,2897.3475852012634
12,10X_NCI_A_umitools_umap.csv,5344,9,2352.112057685852
13,10X_NCI_A_zumi_umap.csv,5385,9,2393.5011324882507
14,10X_NCI_B_cellranger2.0_umap.csv,2585,7,942.717572927475
15,10X_NCI_B_cellranger3.1_umap.csv,3059,8,1250.1034457683563
16,10X_NCI_B_umitools_umap.csv,2630,7,959.5133941173553
17,10X_NCI_B_zumi_umap.csv,2836,7,1035.5372536182404
18,10X_NCI_M_A_cellranger2.0_umap.csv,5354,9,2369.0544974803925
19,10X_NCI_M_A_cellranger3.1_umap.csv,6097,9,2674.6512928009033
20,10X_NCI_M_A_umitools_umap.csv,5339,9,2523.9516344070435
21,10X_NCI_M_A_zumi_umap.csv,5416,9,3212.701302051544
22,10X_NCI_M_B_cellranger2.0_umap.csv,2589,7,1380.0653653144836
23,10X_NCI_M_B_cellranger3.1_umap.csv,3046,8,1733.8823552131653
24,10X_NCI_M_B_umitools_umap.csv,2628,7,1354.96755027771
25,10X_NCI_M_B_zumi_umap.csv,2805,8,1587.6719143390656
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,112.02942442893982
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,106.4259774684906
28,C1_FDA_HT_A_rsem_umap.csv,197,3,107.60874438285828
29,C1_FDA_HT_B_featureCounts_umap.csv,231,4,131.3574402332306
30,C1_FDA_HT_B_kallisto_umap.csv,224,4,133.81020426750183
31,C1_FDA_HT_B_rsem_umap.csv,231,4,130.27300906181335
32,C1_LLU_A_featureCounts_umap.csv,70,3,76.68146228790283
33,C1_LLU_A_kallisto_umap.csv,72,3,75.32341194152832
34,C1_LLU_A_rsem_umap.csv,71,3,70.74940776824951
35,C1_LLU_B_featureCounts_umap.csv,59,3,71.95891547203064
36,C1_LLU_B_kallisto_umap.csv,60,3,65.80609631538391
37,C1_LLU_B_rsem_umap.csv,60,3,71.55335068702698
38,ICELL8_PE_A_featureCounts_umap.csv,568,5,263.5075182914734
39,ICELL8_PE_A_kallisto_umap.csv,570,5,259.88358092308044
40,ICELL8_PE_A_rsem_umap.csv,563,5,260.9788615703583
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,211.09145736694336
42,ICELL8_PE_B_kallisto_umap.csv,551,4,217.72111654281616
43,ICELL8_PE_B_rsem_umap.csv,548,4,217.27522921562195
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,221.96269845962524
45,ICELL8_SE_A_rsem_umap.csv,569,5,259.32973313331604
46,ICELL8_SE_B_featureCounts_umap.csv,550,4,216.6165907382965
47,ICELL8_SE_B_rsem_umap.csv,549,5,250.95586848258972
