,Benchmark,Instance #,Cluster #,so-time
0,ICELL8_SE_A_kallisto_umap.csv,571,4,152.43144965171814
1,ICELL8_SE_B_kallisto_umap.csv,553,5,170.58698344230652
2,10X_LLU_A_cellranger2.0_umap.csv,2505,7,815.2877764701843
3,10X_LLU_A_cellranger3.1_umap.csv,2825,7,911.4652180671692
4,10X_LLU_A_umitools_umap.csv,2476,7,807.0478384494781
5,10X_LLU_A_zumi_umap.csv,2825,7,912.6451995372772
6,10X_LLU_B_cellranger2.0_umap.csv,1211,6,372.088889837265
7,10X_LLU_B_cellranger3.1_umap.csv,1327,6,405.8603858947754
8,10X_LLU_B_umitools_umap.csv,1184,6,369.2068672180176
9,10X_LLU_B_zumi_umap.csv,1207,6,372.3423881530762
10,10X_NCI_A_cellranger2.0_umap.csv,5355,8,1968.127866268158
11,10X_NCI_A_cellranger3.1_umap.csv,6050,10,2967.7318255901337
12,10X_NCI_A_umitools_umap.csv,5344,9,2469.3181619644165
13,10X_NCI_A_zumi_umap.csv,5385,9,2683.504231452942
14,10X_NCI_B_cellranger2.0_umap.csv,2585,7,1075.5380170345306
15,10X_NCI_B_cellranger3.1_umap.csv,3059,8,1398.5810160636902
16,10X_NCI_B_umitools_umap.csv,2630,7,1125.5561876296997
17,10X_NCI_B_zumi_umap.csv,2836,7,1222.9565184116364
18,10X_NCI_M_A_cellranger2.0_umap.csv,5354,9,2733.2654531002045
19,10X_NCI_M_A_cellranger3.1_umap.csv,6097,9,3110.9910469055176
20,10X_NCI_M_A_umitools_umap.csv,5339,9,2727.5761394500732
21,10X_NCI_M_A_zumi_umap.csv,5416,9,2782.402979373932
22,10X_NCI_M_B_cellranger2.0_umap.csv,2589,7,1119.0598695278168
23,10X_NCI_M_B_cellranger3.1_umap.csv,3046,8,1451.616720199585
24,10X_NCI_M_B_umitools_umap.csv,2628,7,1139.2872829437256
25,10X_NCI_M_B_zumi_umap.csv,2805,7,1216.895893573761
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,91.44946479797363
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,92.13726258277893
28,C1_FDA_HT_A_rsem_umap.csv,197,3,89.95065498352051
29,C1_FDA_HT_B_featureCounts_umap.csv,231,4,110.44125723838806
30,C1_FDA_HT_B_kallisto_umap.csv,224,4,109.16799569129944
31,C1_FDA_HT_B_rsem_umap.csv,231,4,112.41974592208862
32,C1_LLU_A_featureCounts_umap.csv,70,3,62.449304819107056
33,C1_LLU_A_kallisto_umap.csv,72,3,64.91267561912537
34,C1_LLU_A_rsem_umap.csv,71,3,63.419586420059204
35,C1_LLU_B_featureCounts_umap.csv,59,3,61.155489921569824
36,C1_LLU_B_kallisto_umap.csv,60,3,60.886473178863525
37,C1_LLU_B_rsem_umap.csv,60,3,62.01863765716553
38,ICELL8_PE_A_featureCounts_umap.csv,568,5,229.12519097328186
39,ICELL8_PE_A_kallisto_umap.csv,570,5,228.30654454231262
40,ICELL8_PE_A_rsem_umap.csv,563,5,225.95351934432983
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,196.1367003917694
42,ICELL8_PE_B_kallisto_umap.csv,551,5,224.59730672836304
43,ICELL8_PE_B_rsem_umap.csv,548,4,194.10156083106995
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,198.73090648651123
45,ICELL8_SE_A_rsem_umap.csv,569,5,228.7033064365387
46,ICELL8_SE_B_featureCounts_umap.csv,550,4,195.09062242507935
47,ICELL8_SE_B_rsem_umap.csv,549,5,225.75914525985718
