ID	did	seurat_cluster	kmeans_cluster	labels
Cell1	1	5	14	1
Cell2	1	4	1	16
Cell3	1	8	12	7
Cell4	1	15	9	9
Cell5	1	10	12	14
Cell6	1	8	12	7
Cell7	1	11	10	5
Cell8	1	2	2	13
Cell9	1	1	8	15
Cell10	1	2	2	13
Cell11	1	11	10	5
Cell13	1	8	12	7
Cell15	1	9	13	3
Cell16	1	1	8	15
Cell17	1	5	14	1
Cell18	1	14	16	8
Cell19	1	15	9	9
Cell20	1	16	11	6
Cell21	1	14	16	8
Cell22	1	11	10	5
Cell23	1	12	4	10
Cell24	1	9	13	3
Cell25	1	11	10	5
Cell26	1	15	9	9
Cell27	1	12	4	10
Cell28	1	3	5	12
Cell29	1	16	11	6
Cell30	1	1	8	15
Cell31	1	14	16	8
Cell32	1	11	10	5
Cell33	1	9	13	3
Cell34	1	9	13	3
Cell35	1	14	16	8
Cell36	1	13	14	2
Cell37	1	1	8	15
Cell38	1	9	13	3
Cell39	1	16	11	6
Cell40	1	14	16	8
Cell41	1	10	12	14
Cell42	1	15	9	9
Cell43	1	2	2	13
Cell44	1	4	1	16
Cell45	1	10	12	14
Cell46	1	15	9	9
Cell47	1	7	3	11
Cell48	1	5	14	1
Cell49	1	10	12	14
Cell50	1	12	7	10
Cell51	1	3	5	12
Cell52	1	7	3	11
Cell53	1	4	15	16
Cell54	1	1	8	15
Cell55	1	4	1	16
Cell56	1	11	10	5
Cell57	1	3	5	12
Cell58	1	7	3	11
Cell59	1	9	13	3
Cell60	1	7	3	11
Cell61	1	2	2	13
Cell62	1	14	16	8
Cell63	1	10	12	14
Cell64	1	16	11	6
Cell65	1	9	13	3
Cell66	1	6	11	4
Cell67	1	1	8	15
Cell68	1	14	16	8
Cell69	1	13	14	2
Cell70	1	2	2	13
Cell71	1	15	9	9
Cell72	1	11	10	5
Cell73	1	1	8	15
Cell75	1	8	12	7
Cell76	1	7	3	11
Cell77	1	4	1	16
Cell78	1	12	6	10
Cell79	1	11	10	5
Cell80	1	11	10	5
Cell81	1	7	3	11
Cell82	1	10	12	14
Cell83	1	3	5	12
Cell85	1	11	10	5
Cell86	1	4	1	16
Cell87	1	2	2	13
Cell88	1	10	12	14
Cell89	1	12	7	10
Cell90	1	14	16	8
Cell91	1	10	12	14
Cell92	1	5	14	1
Cell93	1	7	3	11
Cell94	1	4	1	16
Cell95	1	2	2	13
Cell96	1	14	16	8
Cell97	1	4	1	16
Cell98	1	7	3	11
Cell99	1	6	11	4
Cell100	1	4	1	16
Cell101	1	4	15	16
Cell102	1	3	5	12
Cell103	1	9	13	3
Cell104	1	6	11	4
Cell105	1	1	8	15
Cell106	1	1	8	6
Cell107	1	6	11	4
Cell108	1	8	12	7
Cell109	1	15	9	6
Cell110	1	9	13	3
Cell111	1	8	12	7
Cell112	1	16	11	6
Cell113	1	15	9	9
Cell114	1	13	14	2
Cell115	1	4	1	16
Cell116	1	3	5	12
Cell118	1	8	12	7
Cell119	1	1	8	15
Cell120	1	1	8	15
Cell121	1	11	10	5
Cell122	1	1	8	15
Cell123	1	16	11	6
Cell124	1	12	4	10
Cell125	1	3	5	12
Cell126	1	5	14	1
Cell127	1	3	5	12
Cell128	1	6	11	4
Cell130	1	5	14	1
Cell131	1	5	14	1
Cell132	1	4	15	16
Cell133	1	8	12	7
Cell135	1	12	6	10
Cell136	1	4	1	16
Cell137	1	4	1	16
Cell138	1	13	14	2
Cell139	1	11	10	5
Cell140	1	8	12	7
Cell141	1	15	9	9
Cell142	1	6	11	4
Cell144	1	13	14	2
Cell145	1	14	16	6
Cell146	1	11	10	5
Cell147	1	16	11	6
Cell148	1	4	1	16
Cell149	1	5	14	1
Cell150	1	6	11	4
Cell151	1	2	2	13
Cell152	1	4	1	16
Cell153	1	7	3	11
Cell154	1	14	16	8
Cell155	1	13	14	2
Cell156	1	16	11	6
Cell157	1	8	12	7
Cell158	1	15	9	9
Cell159	1	9	13	3
Cell160	1	3	5	12
Cell162	1	11	10	5
Cell163	1	8	12	7
Cell164	1	1	8	15
Cell165	1	14	16	8
Cell166	1	12	6	10
Cell167	1	11	10	5
Cell168	1	9	13	3
Cell169	1	12	4	10
Cell170	1	15	9	9
Cell171	1	3	5	12
Cell172	1	12	7	10
