,instance #,labels #,moea-time,soea-time,moea-sil,moea-ARI,moea-NMI,soea-sil,soea-ARI,soea-NMI,kmeans-sil,kmeasn-ARI,kmeans-NMI,phe-sil,phe-ARI,phe-NMI,seurat_sil,seurat-ARI,seurat-NMI,phe-clusters,seurat-clusters
0,957,2,60.109,29.316,0.855,1.000,1.000,0.855,1.000,1.000,0.855,1.000,1.000,0.324,0.171,0.439,0.366,0.313,0.535,12,7
1,953,4,59.439,34.372,0.905,1.000,1.000,0.905,1.000,1.000,0.905,1.000,1.000,0.358,0.448,0.721,0.462,0.748,0.854,12,7
2,953,8,65.187,41.542,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,8,8
3,959,16,76.420,55.116,0.817,0.788,0.931,0.843,0.972,0.977,0.843,0.972,0.977,0.843,0.976,0.981,0.843,0.976,0.981,16,16
4,953,32,103.507,80.832,0.556,0.633,0.753,0.534,0.606,0.741,0.549,0.611,0.743,0.524,0.512,0.731,0.482,0.409,0.704,20,17
5,951,64,166.344,134.202,0.326,0.133,0.510,0.293,0.153,0.517,0.368,0.145,0.521,0.352,0.102,0.384,0.352,0.059,0.289,15,8
6,1892,2,67.789,35.224,0.874,1.000,1.000,0.874,1.000,1.000,0.874,1.000,1.000,0.324,0.149,0.415,0.318,0.241,0.487,15,9
7,1896,4,70.955,42.341,0.882,1.000,1.000,0.882,1.000,1.000,0.882,1.000,1.000,0.312,0.343,0.666,0.333,0.578,0.782,17,9
8,1895,8,81.677,57.388,0.898,1.000,1.000,0.898,1.000,1.000,0.898,1.000,1.000,0.361,0.635,0.852,0.898,1.000,1.000,17,8
9,1898,16,106.646,82.813,0.837,0.964,0.972,0.838,0.964,0.971,0.838,0.964,0.971,0.837,0.962,0.970,0.851,0.926,0.967,16,15
10,1900,32,159.428,131.218,0.553,0.554,0.737,0.580,0.632,0.746,0.594,0.655,0.754,0.586,0.570,0.751,0.584,0.547,0.746,22,21
11,1902,64,277.260,232.937,0.359,0.256,0.521,0.314,0.253,0.518,0.394,0.269,0.532,0.368,0.184,0.465,0.354,0.137,0.430,22,16
12,2836,2,76.404,42.535,0.881,1.000,1.000,0.881,1.000,1.000,0.881,1.000,1.000,0.309,0.105,0.378,0.302,0.203,0.458,20,11
13,2841,4,81.758,53.414,0.896,1.000,1.000,0.896,1.000,1.000,0.896,1.000,1.000,0.329,0.330,0.661,0.343,0.457,0.724,17,12
14,2843,8,101.377,71.397,0.876,1.000,1.000,0.876,1.000,1.000,0.876,1.000,1.000,0.364,0.583,0.833,0.876,1.000,1.000,19,8
15,2841,16,137.578,107.308,0.849,0.922,0.960,0.849,0.971,0.974,0.849,0.971,0.974,0.849,0.971,0.975,0.848,0.971,0.974,16,16
16,2839,32,220.977,182.016,0.558,0.613,0.748,0.571,0.637,0.751,0.602,0.661,0.761,0.579,0.596,0.755,0.578,0.550,0.745,25,22
17,2845,64,386.965,330.123,0.362,0.279,0.512,0.343,0.283,0.509,0.421,0.311,0.520,0.397,0.197,0.475,0.347,0.157,0.453,25,19
18,3792,2,79.754,49.263,0.866,1.000,1.000,0.866,1.000,1.000,0.866,1.000,1.000,0.306,0.107,0.379,0.311,0.197,0.454,20,11
19,3798,4,98.548,62.259,0.886,1.000,1.000,0.886,1.000,1.000,0.886,1.000,1.000,0.302,0.284,0.632,0.331,0.451,0.723,21,12
20,3788,8,119.442,85.617,0.892,1.000,1.000,0.892,1.000,1.000,0.892,1.000,1.000,0.364,0.534,0.812,0.820,0.974,0.984,22,9
21,3783,16,171.106,135.802,0.830,0.867,0.948,0.828,0.964,0.970,0.828,0.964,0.970,0.828,0.965,0.970,0.828,0.966,0.971,16,16
22,3791,32,278.647,233.241,0.654,0.751,0.839,0.647,0.767,0.841,0.661,0.777,0.845,0.656,0.771,0.845,0.635,0.683,0.832,31,25
23,3792,64,493.405,426.380,0.291,0.207,0.488,0.375,0.300,0.530,0.426,0.331,0.543,0.401,0.261,0.524,0.388,0.194,0.494,31,21
24,4739,2,95.971,57.789,0.885,1.000,1.000,0.885,1.000,1.000,0.885,1.000,1.000,0.283,0.103,0.375,0.311,0.176,0.441,21,12
25,4742,4,106.335,73.434,0.876,1.000,1.000,0.876,1.000,1.000,0.876,1.000,1.000,0.315,0.264,0.624,0.331,0.426,0.709,22,13
26,4744,8,146.454,105.826,0.881,1.000,1.000,0.881,1.000,1.000,0.881,1.000,1.000,0.351,0.489,0.793,0.532,0.809,0.910,25,13
27,4744,16,207.257,166.949,0.842,0.917,0.968,0.851,0.976,0.980,0.851,0.976,0.980,0.851,0.976,0.980,0.851,0.975,0.979,16,16
28,4746,32,343.278,287.994,0.661,0.760,0.838,0.663,0.766,0.836,0.666,0.774,0.839,0.679,0.749,0.839,0.651,0.689,0.831,28,25
29,4740,64,611.438,532.092,0.394,0.347,0.546,0.343,0.315,0.546,0.437,0.371,0.554,0.412,0.282,0.539,0.360,0.199,0.501,32,22
30,5697,2,99.717,62.517,0.870,1.000,1.000,0.870,1.000,1.000,0.870,1.000,1.000,0.275,0.094,0.366,0.312,0.148,0.419,23,14
31,5687,4,122.421,83.021,0.887,1.000,1.000,0.887,1.000,1.000,0.887,1.000,1.000,0.298,0.240,0.608,0.321,0.411,0.699,25,14
32,5690,8,157.789,120.731,0.889,1.000,1.000,0.889,1.000,1.000,0.889,1.000,1.000,0.322,0.479,0.788,0.530,0.807,0.909,26,13
33,5682,16,239.723,194.971,0.808,0.898,0.950,0.810,0.945,0.957,0.810,0.945,0.957,0.767,0.921,0.946,0.808,0.945,0.956,17,16
34,5691,32,396.229,337.235,0.632,0.739,0.816,0.627,0.738,0.816,0.640,0.745,0.818,0.623,0.738,0.819,0.613,0.662,0.807,30,25
35,5691,64,737.559,630.621,0.420,0.362,0.567,0.382,0.349,0.562,0.450,0.383,0.574,0.427,0.296,0.557,0.429,0.260,0.541,32,27
36,6653,2,108.378,69.111,0.880,1.000,1.000,0.880,1.000,1.000,0.880,1.000,1.000,0.283,0.079,0.349,0.319,0.148,0.418,28,14
37,6643,4,137.994,93.216,0.864,1.000,1.000,0.864,1.000,1.000,0.864,1.000,1.000,0.308,0.243,0.609,0.337,0.400,0.697,25,14
38,6648,8,178.127,139.813,0.892,1.000,1.000,0.892,1.000,1.000,0.892,1.000,1.000,0.343,0.485,0.795,0.535,0.815,0.911,24,13
39,6645,16,265.357,221.968,0.817,0.842,0.911,0.754,0.840,0.896,0.776,0.872,0.907,0.704,0.838,0.895,0.774,0.876,0.910,18,16
40,6640,32,458.727,389.635,0.667,0.779,0.845,0.665,0.778,0.844,0.678,0.775,0.842,0.677,0.768,0.845,0.677,0.747,0.845,30,28
41,6643,64,837.950,729.494,0.420,0.372,0.577,0.344,0.333,0.564,0.441,0.380,0.578,0.409,0.299,0.568,0.404,0.232,0.539,34,26
42,7600,2,111.564,75.437,0.885,1.000,1.000,0.885,1.000,1.000,0.885,1.000,1.000,0.295,0.074,0.344,0.303,0.135,0.405,29,16
43,7602,4,150.526,102.764,0.877,1.000,1.000,0.877,1.000,1.000,0.877,1.000,1.000,0.301,0.238,0.607,0.328,0.352,0.672,25,16
44,7598,8,198.118,153.644,0.873,1.000,1.000,0.873,1.000,1.000,0.873,1.000,1.000,0.327,0.477,0.785,0.472,0.752,0.891,27,14
45,7601,16,304.779,251.201,0.854,0.868,0.955,0.811,0.906,0.961,0.816,0.965,0.973,0.729,0.920,0.951,0.816,0.963,0.972,19,16
46,7602,32,514.915,440.733,0.667,0.710,0.789,0.651,0.713,0.788,0.665,0.721,0.790,0.649,0.699,0.792,0.653,0.650,0.794,29,25
47,7596,64,950.362,840.874,0.405,0.358,0.549,0.362,0.326,0.542,0.452,0.378,0.554,0.404,0.298,0.545,0.404,0.239,0.526,35,26
48,8560,2,120.218,79.004,0.879,1.000,1.000,0.879,1.000,1.000,0.879,1.000,1.000,0.252,0.078,0.347,0.285,0.128,0.398,29,17
