,instance #,labels #,moea-time,soea-time,moea-sil,moea-ARI,moea-NMI,soea-sil,soea-ARI,soea-NMI,kmeans-sil,kmeasn-ARI,kmeans-NMI,phe-sil,phe-ARI,phe-NMI,seurat_sil,seurat-ARI,seurat-NMI,phe-clusters,seurat-clusters
0,957,2,63.835,30.966,0.855,1.000,1.000,0.855,1.000,1.000,0.855,1.000,1.000,0.333,0.173,0.439,0.366,0.313,0.535,12,7
1,953,4,66.498,33.148,0.905,1.000,1.000,0.905,1.000,1.000,0.905,1.000,1.000,0.374,0.416,0.707,0.462,0.748,0.854,13,7
2,953,8,70.774,44.659,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,8,8
3,959,16,83.012,59.016,0.818,0.788,0.933,0.843,0.974,0.979,0.843,0.972,0.977,0.843,0.976,0.981,0.843,0.976,0.981,16,16
4,953,32,112.790,85.973,0.554,0.624,0.747,0.546,0.628,0.745,0.556,0.632,0.752,0.529,0.515,0.731,0.482,0.409,0.704,20,17
5,951,64,178.894,140.724,0.315,0.158,0.514,0.283,0.130,0.506,0.381,0.162,0.517,0.340,0.108,0.394,0.352,0.059,0.289,16,8
6,1892,2,70.303,40.031,0.874,1.000,1.000,0.874,1.000,1.000,0.874,1.000,1.000,0.303,0.130,0.399,0.318,0.241,0.487,17,9
7,1896,4,71.419,44.803,0.882,1.000,1.000,0.882,1.000,1.000,0.882,1.000,1.000,0.331,0.347,0.667,0.333,0.578,0.782,17,9
8,1895,8,85.053,59.597,0.898,1.000,1.000,0.898,1.000,1.000,0.898,1.000,1.000,0.492,0.762,0.893,0.898,1.000,1.000,14,8
9,1898,16,111.659,87.386,0.848,0.921,0.964,0.838,0.964,0.971,0.838,0.964,0.971,0.836,0.961,0.972,0.851,0.926,0.967,16,15
10,1900,32,169.151,139.946,0.572,0.622,0.741,0.565,0.634,0.749,0.580,0.643,0.752,0.580,0.563,0.751,0.584,0.547,0.746,22,21
11,1902,64,290.174,246.455,0.336,0.237,0.516,0.336,0.255,0.523,0.405,0.275,0.530,0.387,0.181,0.466,0.354,0.137,0.430,22,16
12,2836,2,73.587,44.365,0.881,1.000,1.000,0.881,1.000,1.000,0.881,1.000,1.000,0.315,0.111,0.384,0.302,0.203,0.458,19,11
13,2841,4,86.715,55.919,0.896,1.000,1.000,0.896,1.000,1.000,0.896,1.000,1.000,0.331,0.317,0.653,0.343,0.457,0.724,18,12
14,2843,8,103.815,75.327,0.876,1.000,1.000,0.876,1.000,1.000,0.876,1.000,1.000,0.371,0.564,0.825,0.876,1.000,1.000,20,8
15,2841,16,144.895,113.864,0.848,0.923,0.960,0.849,0.971,0.974,0.849,0.971,0.974,0.848,0.972,0.975,0.848,0.971,0.974,16,16
16,2839,32,229.069,191.444,0.590,0.639,0.753,0.574,0.648,0.756,0.595,0.649,0.755,0.578,0.594,0.754,0.578,0.550,0.745,25,22
17,2845,64,407.102,347.615,0.380,0.299,0.515,0.331,0.267,0.503,0.420,0.322,0.524,0.391,0.191,0.473,0.347,0.157,0.453,24,19
18,3792,2,83.094,51.452,0.866,1.000,1.000,0.866,1.000,1.000,0.866,1.000,1.000,0.259,0.103,0.376,0.311,0.197,0.454,21,11
19,3798,4,97.160,65.014,0.886,1.000,1.000,0.886,1.000,1.000,0.886,1.000,1.000,0.315,0.261,0.623,0.331,0.451,0.723,22,12
20,3788,8,125.239,91.964,0.892,1.000,1.000,0.892,1.000,1.000,0.892,1.000,1.000,0.367,0.514,0.804,0.820,0.974,0.984,23,9
21,3783,16,176.022,143.942,0.850,0.910,0.958,0.828,0.964,0.970,0.828,0.964,0.970,0.828,0.966,0.971,0.828,0.966,0.971,16,16
22,3791,32,288.495,244.717,0.661,0.759,0.842,0.626,0.753,0.839,0.662,0.776,0.844,0.652,0.772,0.846,0.635,0.683,0.832,31,25
23,3792,64,522.904,450.561,0.398,0.325,0.539,0.351,0.303,0.535,0.420,0.334,0.545,0.390,0.243,0.517,0.388,0.194,0.494,29,21
24,4739,2,92.482,58.279,0.885,1.000,1.000,0.885,1.000,1.000,0.885,1.000,1.000,0.307,0.097,0.370,0.311,0.176,0.441,22,12
25,4742,4,109.237,75.616,0.876,1.000,1.000,0.876,1.000,1.000,0.876,1.000,1.000,0.306,0.265,0.624,0.331,0.426,0.709,22,13
26,4744,8,144.893,108.015,0.881,1.000,1.000,0.881,1.000,1.000,0.881,1.000,1.000,0.351,0.504,0.799,0.532,0.809,0.910,24,13
27,4744,16,210.265,171.593,0.840,0.913,0.964,0.851,0.976,0.980,0.851,0.976,0.980,0.851,0.976,0.980,0.851,0.975,0.979,16,16
28,4746,32,347.617,297.993,0.602,0.557,0.789,0.676,0.781,0.844,0.672,0.780,0.840,0.679,0.750,0.840,0.651,0.689,0.831,28,25
29,4740,64,638.218,555.603,0.385,0.343,0.547,0.377,0.339,0.551,0.431,0.363,0.555,0.412,0.278,0.535,0.360,0.199,0.501,31,22
30,5697,2,100.040,63.363,0.870,1.000,1.000,0.870,1.000,1.000,0.870,1.000,1.000,0.298,0.091,0.364,0.312,0.148,0.419,23,14
31,5687,4,118.818,83.088,0.887,1.000,1.000,0.887,1.000,1.000,0.887,1.000,1.000,0.295,0.253,0.615,0.321,0.411,0.699,24,14
32,5690,8,163.086,124.843,0.889,1.000,1.000,0.889,1.000,1.000,0.889,1.000,1.000,0.331,0.498,0.795,0.530,0.807,0.909,25,13
33,5682,16,241.461,200.036,0.812,0.773,0.920,0.810,0.946,0.958,0.810,0.945,0.957,0.769,0.925,0.947,0.808,0.945,0.956,17,16
34,5691,32,408.336,354.690,0.637,0.731,0.815,0.631,0.743,0.817,0.639,0.751,0.820,0.625,0.739,0.819,0.613,0.662,0.807,30,25
35,5691,64,752.191,660.807,0.410,0.360,0.567,0.384,0.352,0.565,0.452,0.377,0.572,0.427,0.294,0.557,0.429,0.260,0.541,34,27
36,6653,2,110.578,70.695,0.880,1.000,1.000,0.880,1.000,1.000,0.880,1.000,1.000,0.256,0.082,0.353,0.319,0.148,0.418,27,14
37,6643,4,132.553,94.369,0.864,1.000,1.000,0.864,1.000,1.000,0.864,1.000,1.000,0.319,0.217,0.596,0.337,0.400,0.697,27,14
38,6648,8,179.078,140.006,0.892,1.000,1.000,0.892,1.000,1.000,0.892,1.000,1.000,0.348,0.482,0.794,0.535,0.815,0.911,24,13
39,6645,16,275.412,228.515,0.819,0.841,0.910,0.768,0.837,0.906,0.777,0.873,0.908,0.697,0.832,0.889,0.774,0.876,0.910,19,16
